datetime,isig,glucose
2010-10-07 16:28:00,24.96,141
2010-10-07 16:33:00,27.74,164
2010-10-07 16:38:00,29.8,183
2010-10-07 16:43:00,31.88,198
2010-10-07 16:48:00,32.98,210
2010-10-07 16:53:00,34.4,220
2010-10-07 16:58:00,35.36,228
2010-10-07 17:03:00,35.3,233
2010-10-07 17:08:00,36.34,237
2010-10-07 17:13:00,36.72,241
2010-10-07 17:18:00,38.06,247
2010-10-07 17:23:00,38.62,252
2010-10-07 17:28:00,38.92,256
2010-10-07 17:33:00,39.42,260
2010-10-07 17:38:00,38.74,259
2010-10-07 17:43:00,38.32,258
2010-10-07 17:48:00,38.04,256
2010-10-07 17:53:00,36.92,251
2010-10-07 17:58:00,35.98,245
2010-10-07 18:03:00,34.66,238
2010-10-07 18:08:00,34.54,234
2010-10-07 18:13:00,33.18,227
2010-10-07 18:18:00,32.26,221
2010-10-07 18:23:00,31.32,215
2010-10-07 18:28:00,30.32,208
2010-10-07 18:33:00,31.02,207
2010-10-07 18:38:00,31.2,207
2010-10-07 18:43:00,29.66,203
2010-10-07 18:48:00,30.08,201
2010-10-07 18:53:00,30.32,201
2010-10-07 18:58:00,29.6,199
2010-10-07 19:03:00,28.68,179
2010-10-07 19:08:00,28.1,176
2010-10-07 19:13:00,27.16,171
2010-10-07 19:18:00,25.36,163
2010-10-07 19:23:00,22.86,152
2010-10-07 19:28:00,20.02,137
2010-10-07 19:33:00,16.38,119
2010-10-07 19:38:00,12.48,98
2010-10-07 19:43:00,9.44,77
2010-10-07 19:48:00,7.76,61
2010-10-07 19:53:00,6.84,50
2010-10-07 19:58:00,6.76,45
2010-10-07 20:03:00,8.62,47
2010-10-07 20:08:00,11.8,59
2010-10-07 20:13:00,14.34,71
2010-10-07 20:18:00,16.84,86
2010-10-07 20:23:00,18.68,99
2010-10-07 20:28:00,19.86,109
2010-10-07 20:33:00,20.28,116
2010-10-07 20:38:00,19.68,117
2010-10-07 20:43:00,18.84,115
2010-10-07 20:48:00,18,111
2010-10-07 20:53:00,17.5,107
2010-10-07 20:58:00,16.32,102
2010-10-07 21:03:00,14.96,96
2010-10-07 21:08:00,14.74,91
2010-10-07 21:13:00,15.32,90
2010-10-07 21:18:00,16.6,94
2010-10-07 21:23:00,16.7,97
2010-10-07 21:28:00,16.36,97
2010-10-07 21:33:00,15.4,95
2010-10-07 21:38:00,14.84,92
2010-10-07 21:43:00,13.96,87
2010-10-07 21:48:00,13.76,84
2010-10-07 21:53:00,14.16,84
2010-10-07 21:58:00,14,83
2010-10-07 22:03:00,14.42,84
2010-10-07 22:08:00,14.78,86
2010-10-07 22:13:00,14.56,86
2010-10-07 22:18:00,14.24,86
2010-10-07 22:23:00,13.8,84
2010-10-07 22:28:00,13.68,82
2010-10-07 22:33:00,13.66,82
2010-10-07 22:38:00,13.6,81
2010-10-07 22:43:00,13.64,81
2010-10-07 22:48:00,13.94,82
2010-10-07 22:53:00,14.66,84
2010-10-07 22:58:00,15.02,87
2010-10-07 23:03:00,15.32,89
2010-10-07 23:08:00,15.52,91
2010-10-07 23:13:00,15.82,92
2010-10-07 23:18:00,16.1,94
2010-10-07 23:23:00,15.5,93
2010-10-07 23:28:00,15.5,93
2010-10-07 23:33:00,16.14,94
2010-10-07 23:38:00,16.72,96
2010-10-07 23:43:00,17.6,100
2010-10-07 23:48:00,17.1,101
2010-10-07 23:53:00,16.06,99
2010-10-07 23:58:00,16.12,97
