Country ,Continent,female literacy,fertility,population
Cameroun,AF,67.8,4.541,19088385.0
Angola,AF,57,5.637,18020668.0
Chili,LAT,98.7,1.926,16803952.0
Netherlands,EUR,99,1.747,16445593.0
Kazakhstan,ASI,99.5,2.294,15674833.0
Burkina Faso,AF,21.6,5.841,15233884.0
Malawi,AF,65.8,5.455,14846182.0
Niger,AF,15.1,7.069,14704318.0
Cambodge,ASI,70.9,2.859,14562008.0
Guatemala,LAT,68.7,4.018,13686128.0
Equateur,LAT,81.7,2.513,13481424.0
Mali,AF,18.2,5.405,12705736.0
Zambie,AF,61,5.737,12620219.0
Zimbabwe,AF,88.8,3.363,12462879.0
Sénégal,AF,33,4.89,12211181.0
Grèce,EUR,95.9,1.385,11237094.0
Cuba,LAT,99.8,1.505,11204735.0
Tchad,AF,21.9,6.081,10913667.0
Belgium,EUR,99,1.784,10708433.0
Portugal,EUR,92.9,1.378,10622413.0
Czech rep,EUR,99,1.45,10424336.0
Tunisie,AF,71,1.841,10327800.0
Hongrie,EUR,98.9,1.37,10038188.0
République dominicaine,LAT,88.3,2.612,9952711.0
Guinée,AF,26.4,5.329,9833055.0
Rwanda,AF,66.1,5.33,9720694.0
Bolivie,LAT,86,3.371,9694113.0
Bélarus,EUR,99.7,1.281,9680850.0
Sweden,EUR,99,1.871,9219637.0
Azerbaïdjan,ASI,99.2,2.153,8680100.0
Bénin,AF,28.1,5.378,8662086.0
Burundi,AF,59.9,4.45,8074254.0
Switzerland,EUR,99,1.46,7647675.0
Bulgarie,EUR,97.9,1.436,7623395.0
Serbie,EUR,96.2,1.612,7350221.0
Honduras,LAT,83.5,3.19,7318789.0
Israel,ASI,95.9,2.752,7308800.0
Tadjikistan,ASI,99.5,3.35,6836083.0
Papouasie-Nouvelle-Guinée,OCE,55.6,4.01,6576822.0
Togo,AF,53.7,4.166,6458605.0
Jamahiriya arabe libyenne,AF,81.3,2.642,6294181.0
Paraguay,LAT,93.5,2.977,6237855.0
Rép. démocratique populaire lao,ASI,63.2,3.415,6205341.0
El Salvador,LAT,81.4,2.295,6133910.0
Jordanie,ASI,88.9,3.019,5906042.87150034
Nicaragua,LAT,77.9,2.683,5667325.0
Sierra Leone,AF,28.9,5.165,5559853.0
Denmark,EUR,99,1.849,5493621.0
Finland,EUR,100,1.836,5313399.0
Kirghizistan,ASI,99.1,2.518,5277900.0
Turkménistan,ASI,99.3,2.43,5043618.0
Erythrée,AF,54.5,4.528,4926877.0
Singapour,ASI,91.6,1.263,4839400.0
Norway,EUR,100,1.885,4768212.0
Costa Rica,LAT,96.2,1.943,4519126.0
Emirats arabes unis,ASI,91.5,1.899,4484935.0
Croatie,EUR,98,1.442,4434000.0
Ireland,EUR,99,1.953,4425675.0
République centrafricaine,AF,41.1,4.697,4339263.0
Géorgie,ASI,99.7,1.582,4307011.0
New Zealand,OCE,99,2.025,4268900.0
Liban,ASI,86,1.841,4193758.0
Libéria,AF,53,5.011,3793400.0
Bosnie-Herzégovine,EUR,95.9,1.212,3773100.0
République de Moldova,EUR,97.8,1.502,3633369.0
Panama,LAT,92.8,2.516,3398823.0
Lituanie,EUR,99.7,1.367,3358115.0
Uruguay,LAT,98.5,2.089,3334052.0
Mauritanie,AF,49.5,4.388,3215043.0
Albanie,EUR,98.7,1.854,3143291.0
Arménie,ASI,99.4,1.748,3077087.0
Oman,ASI,80.9,2.978,2785361.0
Koweït,ASI,93.1,2.152,2728040.83948046
Jamaïque,LAT,90.8,2.362,2687200.0
Mongolie,ASI,97.8,1.988,2641216.0
Lettonie,EUR,99.8,1.426,2266094.0
Namibie,AF,87.7,3.29,2129854.0
Lesotho,AF,95.1,3.264,2049429.0
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1.436,2041342.0
Slovénie,EUR,99.7,1.393,2021316.0
Botswana,AF,83.5,2.822,1921122.0
Gambie,AF,34.3,4.969,1660200.0
Guinée-Bissau,AF,36.5,5.659,1575446.0
Gabon,AF,83.2,3.24,1448159.0
Estonie,EUR,99.8,1.693,1340675.0
Trinité-et-Tobago,LAT,98.2,1.647,1333388.0
Qatar,ASI,90.4,2.36,1280862.0
Maurice,AF,84.8,1.792,1268854.0
Swaziland,AF,85.6,3.45,1167834.0
Chypre,EUR,96.7,1.516,862434.0
Bahreïn,ASI,89.4,2.233,775585.0
Bhoutan,ASI,38.7,2.563,686789.0
Guinée équatoriale,AF,89.1,5.283,659197.0
Comores,AF,67.8,3.885,643571.312838574
"Macao, Chine",ASI,90.7,0.966,526178.0
Suriname,LAT,88.4,2.373,515124.0
Cap-Vert,AF,79.3,2.663,498672.0
Malte,EUR,93.5,1.251,411950.0
Brunéi Darussalam,ASI,93.3,2.052,392280.0
Bahamas,LAT,96.5,3.371,337668.0
Iceland,EUR,99,2.093,317414.0
Maldives,ASI,98.4,2,305027.0
Vanuatu,OCE,79.5,3.883,233866.0
Samoa,OCE,98.5,3.852,178869.0
Sao Tomé-et-Principe,AF,83.3,3.718,160174.0
Aruba,LAT,98,1.732,105455.0
Tonga,ASI,99.1,3.928,103566.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Country ,Continent,female literacy,fertility,
Antigua-et-Barbuda,,99.4,,
Antilles néerlandaises,,96.3,,
Iles Caïmanes,,99,,
Seychelles,,92.3,,
Territoires autonomes palestiniens,,90.9,,
WORLD,WORLD,77,,
