,adj_close,close,date,high,low,open,volume
85,25.47,52.38,2000-06-30,54.94,51.69,52.81,11550000
86,25.92,53.31,2000-07-03,54.31,52.13,52.13,2535000
87,25.11,51.63,2000-07-05,55.19,50.75,53.25,9478800
88,25.19,51.81,2000-07-06,52.94,49.63,52.5,11063800
89,26.47,54.44,2000-07-07,54.81,52.13,52.59,9422600
90,27.78,57.13,2000-07-10,58.25,53.75,54.09,14211000
91,27.69,56.94,2000-07-11,59.25,55.44,57.0,12783200
92,28.63,58.88,2000-07-12,58.94,56.38,58.13,8057600
93,27.47,56.5,2000-07-13,60.63,54.75,58.5,15925600
94,28.05,57.69,2000-07-14,59.0,56.88,57.13,6804400
95,28.35,58.31,2000-07-17,58.81,57.13,58.25,9289000
96,27.84,57.25,2000-07-18,58.88,56.88,58.5,11378200
97,25.62,52.69,2000-07-19,56.81,51.75,55.19,16359600
98,26.81,55.13,2000-07-20,57.06,54.13,55.0,16631800
99,26.04,53.56,2000-07-21,55.63,52.94,54.36,7013200
100,23.68,48.69,2000-07-24,52.88,47.5,52.56,14720600
101,24.34,50.06,2000-07-25,50.63,49.06,50.31,7567200
102,24.34,50.06,2000-07-26,51.25,49.25,49.84,7526200
103,25.29,52.0,2000-07-27,53.25,49.88,50.0,10543800
104,23.49,48.31,2000-07-28,52.5,46.88,52.28,8505400
105,24.71,50.81,2000-07-31,51.63,48.75,49.16,5550000
106,23.98,49.31,2000-08-01,51.16,49.25,50.31,4904600
107,22.98,47.25,2000-08-02,49.94,47.19,49.0,5808800
108,23.34,48.0,2000-08-03,48.06,44.25,45.56,12150000
109,23.04,47.38,2000-08-04,51.25,46.31,49.47,9406800
110,23.31,47.94,2000-08-07,49.06,47.19,47.88,6697200
111,22.73,46.75,2000-08-08,48.0,46.31,47.94,6315400
112,23.1,47.5,2000-08-09,48.44,47.25,48.13,13569000
113,23.13,47.56,2000-08-10,48.44,47.38,48.0,8995400
114,23.19,47.69,2000-08-11,48.0,45.56,46.84,8503200
115,22.88,47.06,2000-08-14,47.69,46.31,47.59,5603400
116,22.7,46.69,2000-08-15,47.94,46.5,47.25,4089000
117,23.58,48.5,2000-08-16,49.0,46.81,46.88,5137600
118,25.01,51.44,2000-08-17,52.44,48.31,48.38,9683400
119,24.31,50.0,2000-08-18,51.81,49.88,51.38,6798800
120,24.56,50.5,2000-08-21,51.56,49.63,50.25,4803800
121,25.14,51.69,2000-08-22,52.81,50.38,50.63,9889000
122,26.41,54.31,2000-08-23,54.75,51.06,51.47,8470400
123,27.28,56.11,2000-08-24,56.63,53.38,54.67,11109400
124,27.63,56.81,2000-08-25,57.5,56.38,56.5,11947800
125,28.23,58.06,2000-08-28,59.0,57.06,57.25,12822600
126,28.78,59.19,2000-08-29,59.44,57.69,57.88,9546200
127,28.93,59.5,2000-08-30,60.0,58.7,59.0,10199600
128,29.63,60.94,2000-08-31,61.5,58.94,58.97,14988800
129,30.85,63.44,2000-09-01,63.63,61.13,61.31,9181800
130,30.36,62.44,2000-09-05,64.12,62.25,62.66,10669000
131,28.42,58.44,2000-09-06,62.38,57.75,61.38,12700400
132,30.15,62.0,2000-09-07,62.56,58.25,59.13,7770400
133,28.63,58.88,2000-09-08,61.63,58.5,61.63,6984400
134,28.42,58.44,2000-09-11,60.38,58.13,58.69,6699000
135,28.08,57.75,2000-09-12,60.06,57.0,57.34,6722200
136,28.2,58.0,2000-09-13,59.5,56.75,56.75,10932600
137,27.65,56.86,2000-09-14,59.63,56.81,58.56,15241800
138,26.86,55.23,2000-09-15,58.19,54.25,57.75,14095400
139,29.5,60.66,2000-09-18,60.75,55.06,55.25,15163200
140,29.15,59.94,2000-09-19,60.5,58.56,59.75,9706200
141,29.69,61.05,2000-09-20,61.44,58.56,59.41,8121600
142,27.57,56.69,2000-09-21,59.63,55.25,58.5,18238400
143,25.38,52.19,2000-09-22,52.44,50.0,50.31,25961200
144,26.02,53.5,2000-09-25,55.5,52.06,52.75,15564000
145,25.01,51.44,2000-09-26,54.75,51.38,53.31,10396600
146,23.8,48.94,2000-09-27,52.75,48.25,51.75,14370000
147,26.02,53.5,2000-09-28,53.81,48.13,49.31,34988200
148,12.52,25.75,2000-09-29,29.0,25.37,28.19,265069000
149,11.79,24.25,2000-10-02,26.75,23.5,26.69,86610600
150,10.85,22.31,2000-10-03,25.0,22.19,24.94,72795600
151,11.49,23.62,2000-10-04,23.75,21.87,22.37,52368200
152,10.73,22.06,2000-10-05,24.5,22.0,23.5,31189400
153,10.79,22.19,2000-10-06,22.94,21.0,22.69,21881000
154,10.58,21.75,2000-10-09,22.87,21.12,22.62,21342600
155,10.15,20.87,2000-10-10,22.44,20.5,21.62,24683400
156,9.54,19.62,2000-10-11,21.0,19.12,20.12,42801200
157,9.73,20.0,2000-10-12,20.81,19.5,20.31,42548200
158,10.73,22.06,2000-10-13,22.12,20.0,20.25,44564000
159,10.45,21.5,2000-10-16,23.25,21.37,22.31,29298800
160,9.78,20.12,2000-10-17,21.94,19.69,21.69,21495600
161,9.78,20.12,2000-10-18,21.06,18.75,19.44,29803800
162,9.21,18.94,2000-10-19,19.81,18.31,19.16,53818200
163,9.48,19.5,2000-10-20,20.37,18.94,19.06,28270400
164,9.91,20.37,2000-10-23,20.56,19.44,20.27,19694000
165,9.18,18.87,2000-10-24,20.87,18.81,20.69,28736200
166,9.0,18.5,2000-10-25,19.19,18.44,19.06,23720600
167,9.0,18.5,2000-10-26,18.87,17.5,18.81,25780600
168,9.03,18.56,2000-10-27,19.19,17.87,18.87,26594600
169,9.39,19.31,2000-10-30,19.94,18.75,19.12,22832800
170,9.51,19.56,2000-10-31,20.25,19.25,19.75,31649000
171,9.97,20.5,2000-11-01,20.87,19.44,19.44,20553800
172,10.85,22.31,2000-11-02,22.44,21.06,21.12,21105400
173,10.82,22.25,2000-11-03,23.0,21.94,23.0,18423400
174,10.43,21.44,2000-11-06,22.62,20.87,22.44,14060000
175,10.36,21.31,2000-11-07,21.81,20.81,21.5,10786800
176,9.75,20.06,2000-11-08,21.44,19.81,21.37,15082800
177,9.82,20.19,2000-11-09,20.5,19.06,19.87,17035400
178,9.27,19.06,2000-11-10,19.87,19.06,19.36,15080600
179,9.42,19.37,2000-11-13,20.0,18.25,18.75,15423200
180,9.85,20.25,2000-11-14,20.5,19.56,19.94,14611200
181,9.66,19.87,2000-11-15,20.19,19.25,20.03,10086600
182,9.24,19.0,2000-11-16,19.81,18.87,19.5,8554000
183,9.0,18.5,2000-11-17,19.25,18.25,19.19,15943400
184,9.21,18.94,2000-11-20,19.5,18.25,18.59,14581600
185,9.15,18.81,2000-11-21,19.5,18.75,19.19,10786200
186,9.0,18.5,2000-11-22,19.12,18.37,18.81,10029600
187,9.39,19.31,2000-11-24,19.5,18.81,18.86,5751800
188,9.09,18.69,2000-11-27,19.94,18.5,19.87,9244000
189,8.77,18.03,2000-11-28,19.0,17.94,18.69,9618200
190,8.54,17.56,2000-11-29,18.31,17.25,18.09,17586200
191,8.02,16.5,2000-11-30,17.0,16.12,16.69,28922200
192,8.3,17.06,2000-12-01,17.5,16.81,17.0,13783800
193,8.12,16.69,2000-12-04,17.19,16.44,17.19,13273400
194,8.27,17.0,2000-12-05,17.44,16.37,16.94,21932200
195,6.96,14.31,2000-12-06,15.0,14.0,14.63,49092400
196,6.96,14.31,2000-12-07,14.88,14.0,14.44,14606600
197,7.32,15.06,2000-12-08,15.31,14.44,14.81,15568200
198,7.39,15.19,2000-12-11,15.38,14.88,15.19,11884000
199,7.48,15.38,2000-12-12,16.0,15.0,15.25,13803400
200,7.29,15.0,2000-12-13,15.56,14.88,15.56,12327200
201,7.02,14.44,2000-12-14,15.25,14.44,15.03,9406600
202,6.84,14.06,2000-12-15,14.69,14.0,14.56,18363800
203,6.93,14.25,2000-12-18,14.63,13.94,14.56,11645000
204,6.81,14.0,2000-12-19,15.25,14.0,14.38,13367200
205,6.99,14.38,2000-12-20,14.63,13.63,13.78,20196200
206,6.84,14.06,2000-12-21,15.0,13.88,14.25,13102600
207,7.29,15.0,2000-12-22,15.0,14.13,14.13,11369600
208,7.14,14.69,2000-12-26,15.0,14.25,14.88,7745400
209,7.2,14.81,2000-12-27,14.81,14.19,14.34,11626000
210,7.2,14.81,2000-12-28,14.94,14.31,14.38,10910000
211,7.24,14.88,2000-12-29,15.0,14.5,14.69,22518800
212,7.24,14.88,2001-01-02,15.25,14.56,14.88,16161800
213,7.96,16.37,2001-01-03,16.69,14.44,14.5,29181800
214,8.3,17.06,2001-01-04,18.5,16.81,18.14,26411000
215,7.96,16.37,2001-01-05,17.37,16.06,16.94,14731000
216,8.05,16.56,2001-01-08,16.98,15.94,16.94,13350000
217,8.36,17.19,2001-01-09,17.64,16.56,16.81,21040600
218,8.05,16.56,2001-01-10,17.0,16.06,16.69,20743400
219,8.75,18.0,2001-01-11,18.5,16.25,16.25,28707600
220,8.36,17.19,2001-01-12,18.0,17.06,17.87,15121000
221,8.33,17.12,2001-01-16,18.25,17.0,17.44,10940000
222,8.17,16.81,2001-01-17,17.56,16.5,17.56,30037600
223,9.09,18.69,2001-01-18,18.75,17.62,17.81,43822800
224,9.48,19.5,2001-01-19,19.56,18.69,19.44,27748200
225,9.36,19.25,2001-01-22,19.62,18.44,19.06,18551600
226,9.97,20.5,2001-01-23,20.94,19.06,19.31,31418400
227,9.97,20.5,2001-01-24,20.69,19.56,20.62,25616200
228,9.7,19.94,2001-01-25,20.56,19.75,20.56,17495000
229,9.51,19.56,2001-01-26,19.81,19.06,19.5,17245600
230,10.55,21.69,2001-01-29,21.75,19.56,19.56,30562800
231,10.58,21.75,2001-01-30,22.0,20.87,21.56,24734600
232,10.51,21.62,2001-01-31,22.5,21.44,21.5,26106000
233,10.27,21.12,2001-02-01,21.5,20.5,20.69,13205400
234,10.03,20.62,2001-02-02,21.94,20.5,21.12,15263400
235,9.82,20.19,2001-02-05,20.56,19.75,20.5,10228800
236,10.27,21.12,2001-02-06,21.39,20.0,20.16,16528400
237,10.09,20.75,2001-02-07,20.87,19.81,20.66,14071600
238,10.09,20.75,2001-02-08,21.06,20.19,20.56,21585000
239,9.3,19.12,2001-02-09,20.81,18.69,20.5,21082600
240,9.57,19.69,2001-02-12,20.0,18.81,19.06,9795600
241,9.3,19.12,2001-02-13,20.44,19.0,19.94,8470600
242,9.48,19.5,2001-02-14,19.62,18.5,19.19,11040000
243,9.75,20.06,2001-02-15,20.56,19.69,19.69,11123200
244,9.24,19.0,2001-02-16,19.5,18.75,19.0,9428400
245,8.9,18.31,2001-02-20,19.44,18.19,19.19,11249600
246,9.18,18.87,2001-02-21,19.94,18.25,18.25,13947800
247,9.15,18.81,2001-02-22,19.37,18.0,19.06,15431200
248,9.15,18.81,2001-02-23,18.87,18.25,18.62,10503800
249,9.48,19.5,2001-02-26,19.69,18.56,19.06,7380000
250,9.42,19.37,2001-02-27,19.44,18.69,19.28,12451000
251,8.87,18.25,2001-02-28,19.44,18.12,19.37,18157600
252,9.12,18.75,2001-03-01,18.75,17.19,17.81,11803400
253,9.36,19.25,2001-03-02,20.44,18.25,18.31,14511200
254,9.91,20.37,2001-03-05,20.5,19.25,19.37,11587600
255,10.45,21.5,2001-03-06,22.06,20.69,20.72,26144600
256,10.33,21.25,2001-03-07,21.62,20.75,21.31,14985600
257,10.12,20.81,2001-03-08,21.12,20.44,20.69,7325600
258,9.85,20.25,2001-03-09,20.69,20.0,20.62,10685400
259,9.05,18.62,2001-03-12,19.87,18.12,19.69,13967800
260,9.51,19.56,2001-03-13,19.56,18.19,18.87,15840600
261,9.94,20.44,2001-03-14,20.5,18.44,18.5,17065400
262,9.57,19.69,2001-03-15,21.37,19.69,20.87,18906600
263,9.54,19.62,2001-03-16,20.31,18.87,19.0,16806600
264,10.0,20.56,2001-03-19,20.62,19.5,19.75,12722800
265,9.57,19.69,2001-03-20,20.94,19.69,20.72,17833800
266,9.78,20.12,2001-03-21,20.87,19.37,19.78,13265400
267,10.51,21.62,2001-03-22,21.75,20.19,20.37,25839000
268,11.18,23.0,2001-03-23,23.56,22.0,22.06,33749400
269,10.59,21.78,2001-03-26,23.75,21.13,23.13,26230400
270,11.12,22.87,2001-03-27,23.05,21.9,21.94,19422200
271,10.78,22.17,2001-03-28,22.5,21.5,22.08,20880800
272,10.96,22.53,2001-03-29,23.45,21.5,21.77,21895200
273,10.73,22.07,2001-03-30,22.72,21.34,22.55,14298200
274,10.5,21.59,2001-04-02,22.66,21.4,22.09,12175400
275,9.84,20.24,2001-04-03,21.4,20.13,21.36,13167400
276,9.48,19.5,2001-04-04,20.25,18.75,19.76,24481600
277,10.15,20.87,2001-04-05,22.5,20.0,20.6,15955800
278,10.01,20.59,2001-04-06,21.04,19.9,20.8,11603200
279,9.99,20.54,2001-04-09,21.34,20.06,20.69,9520800
280,10.72,22.04,2001-04-10,22.7,20.78,20.9,16334800
281,10.6,21.8,2001-04-11,23.0,21.28,22.98,11932000
282,10.9,22.42,2001-04-12,23.02,21.15,21.42,10676200
283,10.43,21.44,2001-04-16,22.4,20.86,22.09,10186600
284,9.92,20.4,2001-04-17,21.21,19.6,21.2,24471400
285,11.08,22.79,2001-04-18,24.08,21.08,21.57,39315800
286,12.51,25.72,2001-04-19,25.75,23.6,25.55,66916800
287,12.18,25.04,2001-04-20,25.63,24.6,24.93,24764400
288,11.79,24.25,2001-04-23,25.0,24.0,24.34,19340200
289,11.69,24.03,2001-04-24,24.75,23.51,24.33,13469200
290,12.02,24.72,2001-04-25,24.86,23.57,24.21,11813600
291,12.01,24.69,2001-04-26,26.1,24.68,25.17,28560600
292,12.74,26.2,2001-04-27,26.29,24.75,25.2,16179000
293,12.4,25.49,2001-04-30,27.12,24.87,26.7,17670600
294,12.61,25.93,2001-05-01,26.5,25.2,25.41,15259000
295,12.93,26.59,2001-05-02,26.7,25.76,26.34,13161600
296,12.14,24.96,2001-05-03,26.25,24.73,25.97,10769400
297,12.52,25.75,2001-05-04,25.85,23.96,24.24,10037600
298,12.14,24.96,2001-05-07,25.76,24.84,25.62,9876800
299,11.95,24.57,2001-05-08,25.45,23.95,25.35,11265600
300,11.66,23.98,2001-05-09,24.55,23.67,24.14,11603200
301,11.18,23.0,2001-05-10,24.5,22.95,24.21,10320600
302,11.11,22.85,2001-05-11,23.49,22.76,23.01,7251600
303,11.33,23.29,2001-05-14,23.68,22.75,22.89,11043600
304,11.27,23.18,2001-05-15,25.5,23.04,23.37,8465200
305,11.72,24.1,2001-05-16,24.5,22.85,23.26,11511800
306,11.45,23.55,2001-05-17,24.33,23.25,24.23,11861400
307,11.44,23.53,2001-05-18,23.64,23.12,23.36,5680400
308,11.46,23.56,2001-05-21,23.91,23.05,23.63,16464200
309,11.43,23.5,2001-05-22,24.13,23.4,24.0,14747000
310,11.3,23.23,2001-05-23,23.75,22.86,23.75,10037200
311,11.28,23.2,2001-05-24,23.3,22.62,23.29,9705600
312,11.07,22.76,2001-05-25,23.29,22.5,23.2,5669400
313,10.44,21.47,2001-05-29,22.5,20.81,22.32,18428200
314,9.62,19.78,2001-05-30,20.76,19.3,20.76,27752800
315,9.7,19.95,2001-05-31,20.24,19.49,19.8,15817600
316,10.16,20.89,2001-06-01,21.09,19.98,20.13,16288400
317,10.05,20.66,2001-06-04,21.11,20.46,21.08,10068600
318,10.18,20.94,2001-06-05,21.1,20.35,20.8,16849800
319,10.08,20.73,2001-06-06,20.93,20.33,20.93,7970600
320,10.53,21.66,2001-06-07,21.7,20.45,20.71,11613600
321,10.37,21.32,2001-06-08,21.65,20.71,21.65,12236600
322,9.74,20.04,2001-06-11,21.07,19.95,21.05,10500000
323,9.88,20.31,2001-06-12,20.69,19.76,19.77,10849800
324,9.95,20.47,2001-06-13,21.73,20.06,21.42,18267400
325,9.67,19.88,2001-06-14,20.45,19.77,20.04,10619600
326,9.94,20.44,2001-06-15,20.75,19.35,20.1,16236600
327,9.89,20.33,2001-06-18,20.85,20.0,20.41,12354000
328,9.82,20.19,2001-06-19,21.4,20.01,20.85,11467400
329,10.54,21.67,2001-06-20,21.85,19.98,20.0,15415000
330,10.94,22.49,2001-06-21,23.0,21.1,21.55,12190400
331,10.82,22.26,2001-06-22,23.0,21.76,22.48,10215200
332,11.67,23.99,2001-06-25,24.0,22.45,22.5,15698200
333,11.55,23.75,2001-06-26,23.77,23.01,23.34,9742200
334,11.35,23.34,2001-06-27,24.0,22.5,23.83,13361800
335,11.45,23.54,2001-06-28,23.91,22.94,23.05,12443200
336,11.31,23.25,2001-06-29,25.1,23.2,23.66,18406800
337,11.62,23.9,2001-07-02,24.23,23.14,23.64,8216000
338,11.59,23.84,2001-07-03,24.18,23.5,23.51,4019400
339,11.28,23.19,2001-07-05,23.77,23.01,23.6,5439000
340,10.71,22.03,2001-07-06,22.96,21.72,22.76,10818600
341,11.04,22.7,2001-07-09,23.0,21.68,22.09,12052400
342,10.28,21.14,2001-07-10,23.07,20.84,22.95,14116800
343,10.96,22.54,2001-07-11,22.55,21.0,21.03,16803800
344,11.85,24.36,2001-07-12,24.81,23.3,23.3,21957200
345,12.08,24.85,2001-07-13,25.01,23.84,24.13,16240800
346,11.65,23.96,2001-07-16,25.1,23.91,24.88,9952400
347,12.21,25.1,2001-07-17,25.22,23.01,23.98,23136800
348,10.11,20.79,2001-07-18,22.78,20.42,21.78,40607600
349,9.71,19.96,2001-07-19,21.42,19.75,21.23,30755000
350,9.72,19.98,2001-07-20,20.06,19.49,19.7,15878000
351,9.5,19.54,2001-07-23,20.5,19.51,20.09,8620000
352,9.28,19.09,2001-07-24,19.92,18.73,19.39,12442000
353,8.98,18.47,2001-07-25,19.3,17.97,19.12,15852800
354,9.04,18.59,2001-07-26,18.8,17.85,18.48,13183600
355,9.22,18.96,2001-07-27,19.25,18.5,18.75,11933400
356,9.21,18.93,2001-07-30,19.36,18.51,19.12,8691400
357,9.14,18.79,2001-07-31,19.42,18.51,19.27,8393800
358,9.27,19.06,2001-08-01,19.78,18.95,19.01,10862000
359,9.64,19.82,2001-08-02,19.87,19.26,19.65,9003200
360,9.48,19.5,2001-08-03,19.9,19.0,19.89,6644800
361,9.3,19.13,2001-08-06,19.66,19.0,19.04,3559000
362,9.36,19.25,2001-08-07,19.67,18.98,19.33,6019600
363,9.19,18.9,2001-08-08,19.7,18.54,19.26,9863200
364,9.26,19.05,2001-08-09,19.15,18.72,18.96,7166600
365,9.25,19.02,2001-08-10,19.32,18.59,19.04,6677200
366,9.28,19.09,2001-08-13,19.33,18.76,19.1,5285600
367,9.11,18.73,2001-08-14,19.36,18.67,19.2,8176800
368,8.97,18.44,2001-08-15,18.94,18.2,18.76,10331400
369,9.07,18.65,2001-08-16,18.75,17.97,18.27,10289000
370,8.79,18.07,2001-08-17,18.45,17.99,18.0,7443800
371,8.81,18.12,2001-08-20,18.23,17.81,18.14,9010800
372,8.71,17.92,2001-08-21,18.14,17.7,18.14,6632200
373,8.86,18.21,2001-08-22,18.25,17.61,17.94,6213400
374,8.66,17.81,2001-08-23,18.34,17.58,18.2,7752800
375,9.03,18.57,2001-08-24,18.62,17.65,18.0,10369000
376,9.2,18.92,2001-08-27,19.3,18.16,18.6,6273000
377,8.95,18.4,2001-08-28,19.14,18.4,18.9,6133400
378,8.67,17.83,2001-08-29,18.83,17.83,18.44,8570400
379,8.67,17.83,2001-08-30,18.18,17.28,17.74,13167600
380,9.02,18.55,2001-08-31,18.6,17.65,17.73,7746600
381,8.87,18.25,2001-09-04,19.08,18.18,18.5,12436200
382,9.02,18.55,2001-09-05,18.95,18.12,18.24,12859200
383,8.62,17.72,2001-09-06,18.93,17.65,18.4,10084600
384,8.4,17.28,2001-09-07,18.1,17.2,17.5,8636800
385,8.45,17.37,2001-09-10,17.5,16.92,17.0,11030200
386,8.26,16.99,2001-09-17,17.07,15.73,16.0,16357400
387,7.92,16.28,2001-09-18,17.72,16.17,16.9,11682200
388,8.28,17.02,2001-09-19,17.1,15.6,16.5,13332800
389,7.62,15.68,2001-09-20,16.95,15.5,16.29,14684800
390,7.65,15.73,2001-09-21,16.25,14.68,14.8,20375600
391,8.0,16.45,2001-09-24,16.84,15.95,16.11,10519200
392,7.56,15.54,2001-09-25,16.22,15.35,16.14,13371600
393,7.37,15.15,2001-09-26,15.89,14.93,15.81,17635600
394,7.54,15.51,2001-09-27,15.75,15.2,15.25,11508600
395,7.54,15.51,2001-09-28,15.91,15.39,15.71,13039600
396,7.56,15.54,2001-10-01,15.99,15.23,15.49,7436000
397,7.32,15.05,2001-10-02,15.83,14.88,15.43,8424400
398,7.28,14.98,2001-10-03,15.36,14.83,14.95,24394400
399,7.72,15.88,2001-10-04,16.25,14.99,15.35,14325800
400,7.85,16.14,2001-10-05,16.15,14.99,15.4,12238800
401,7.88,16.2,2001-10-08,16.35,15.5,15.57,7428000
402,7.78,16.0,2001-10-09,16.2,15.63,16.05,6215200
403,8.18,16.82,2001-10-10,16.85,15.95,16.1,10991400
404,8.63,17.74,2001-10-11,17.74,16.85,16.92,11934400
405,8.76,18.01,2001-10-12,18.08,16.86,17.31,10279000
406,8.75,17.99,2001-10-15,18.38,17.95,17.95,11384000
407,8.76,18.01,2001-10-16,18.2,17.77,18.09,7248200
408,8.26,16.99,2001-10-17,18.41,16.96,18.34,10197800
409,8.75,18.0,2001-10-18,18.23,17.29,17.29,21877600
410,8.9,18.3,2001-10-19,18.4,17.88,17.94,5956800
411,9.25,19.02,2001-10-22,19.07,18.09,18.21,13997800
412,8.82,18.14,2001-10-23,19.42,17.87,19.12,24463600
413,9.21,18.95,2001-10-24,19.09,17.75,18.06,13372400
414,9.33,19.19,2001-10-25,19.25,18.16,18.44,9105400
415,9.08,18.67,2001-10-26,19.25,18.62,18.86,9963000
416,8.57,17.63,2001-10-29,18.67,17.6,18.57,8542200
417,8.56,17.6,2001-10-30,18.0,17.06,17.38,9884400
418,8.54,17.56,2001-10-31,18.4,17.44,17.73,9776800
419,9.04,18.59,2001-11-01,18.78,17.25,17.65,11178400
420,9.03,18.57,2001-11-02,18.86,18.16,18.52,7043000
421,9.27,19.07,2001-11-05,19.25,18.61,18.84,8421200
422,9.52,19.57,2001-11-06,19.62,18.53,18.96,11286400
