Year,Winner,Jockey,Trainer,Owner,Time,Track,miles
1959,Sword Dancer,Bill Shoemaker,J. Elliott Burch,Brookmeade Stable,2:28.40,Belmont,1.5
1958,Cavan,Pete Anderson,Thomas J. Barry,Joseph E. O'Connell,2:30.20,Belmont,1.5
1957,Gallant Man,Bill Shoemaker,John A. Nerud,Ralph Lowe,2:26.60,Belmont,1.5
1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,2:29.80,Belmont,1.5
1955,Nashua,Eddie Arcaro,Jim Fitzsimmons,Belair Stud,2:29.00,Belmont,1.5
1954,High Gun,Eric Guerin,Max Hirsch,King Ranch,2:30.80,Belmont,1.5
1953,Native Dancer,Eric Guerin,Bill Winfrey,Alfred G. Vanderbilt II,2:28.60,Belmont,1.5
1952,One Count,Eddie Arcaro,Oscar White,Sarah F. Jeffords,2:30.20,Belmont,1.5
1951,Counterpoint,David Gorman,Sylvester Veitch,C. V. Whitney,2:29.00,Belmont,1.5
1950,Middleground,William Boland,Max Hirsch,King Ranch,2:28.60,Belmont,1.5
1949,Capot,Ted Atkinson,"John M. Gaver, Sr.",Greentree Stable,2:30.20,Belmont,1.5
1948,Citation,Eddie Arcaro,Horace A. Jones,Calumet Farm,2:28.20,Belmont,1.5
1947,Phalanx,Ruperto Donoso,Sylvester Veitch,C. V. Whitney,2:29.40,Belmont,1.5
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,2:30.80,Belmont,1.5
1945,Pavot,Eddie Arcaro,Oscar White,"Walter M. Jeffords, Sr.",2:30.20,Belmont,1.5
1944,Bounding Home,Gayle Smith,Matt Brady,"William Ziegler, Jr.",2:32.20,Belmont,1.5
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,2:28.20,Belmont,1.5
1942,Shut Out,Eddie Arcaro,"John M. Gaver, Sr.",Greentree Stable,2:29.20,Belmont,1.5
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,2:31.00,Belmont,1.5
1940,Bimelech,Fred A. Smith,William A. Hurley,Edward R. Bradley,2:29.60,Belmont,1.5
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,2:29.60,Belmont,1.5
1938,Pasteurized,James Stout,George M. Odom,Carol Harriman Plunkett,2:29.40,Belmont,1.5
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,2:28.60,Belmont,1.5
1936,Granville,James Stout,Jim Fitzsimmons,Belair Stud,2:30.00,Belmont,1.5
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,2:30.60,Belmont,1.5
1934,Peace Chance,Wayne D. Wright,Pete Coyne,Joseph E. Widener,2:29.20,Belmont,1.5
1933,Hurryoff,Mack Garner,Henry McDaniel,Joseph E. Widener,2:32.60,Belmont,1.5
1932,Faireno,Tommy Malley,Jim Fitzsimmons,Belair Stud,2:32.80,Belmont,1.5
1931,Twenty Grand,Charley Kurtsinger,"James G. Rowe, Jr.",Greentree Stable,2:29.60,Belmont,1.5
1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,2:31.60,Belmont,1.5
1929,Blue Larkspur,Mack Garner,Herbert J. Thompson,Edward R. Bradley,2:32.80,Belmont,1.5
1928,Vito,Clarence Kummer,Max Hirsch,Alfred H. Cosden,2:33.20,Belmont,1.5
1927,Chance Shot,Earl Sande,Pete Coyne,Joseph E. Widener,2:32.40,Belmont,1.5
1926,Crusader,Albert Johnson,George Conway,Glen Riddle Farm,2:32.20,Belmont,1.5
