state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
ND,Rolette County,4534,3403,1045,86,76.51,west
MT,Lincoln County,9227,3025,5704,498,34.65,west
ND,Bottineau County,3516,1387,2059,70,40.25,west
MT,Glacier County,4970,3423,1451,96,70.23,west
MT,Hill County,6624,3596,2787,241,56.34,west
MT,Blaine County,2924,1702,1139,83,59.91,west
MT,Daniels County,1073,343,694,36,33.08,west
ND,Pembina County,3307,1494,1722,91,46.46,west
MN,Kittson County,2568,1492,1016,60,59.49,west
ND,Towner County,1197,621,536,40,53.67,west
ND,Cavalier County,2130,930,1128,72,45.19,west
WA,Okanogan County,16870,7613,8798,459,46.39,west
WA,Stevens County,22341,8499,13132,710,39.29,west
WA,Pend Oreille County,6552,2562,3717,273,40.80,west
WA,Ferry County,3501,1467,1916,118,43.36,west
MT,Liberty County,1001,367,594,40,38.19,west
ND,Divide County,1131,464,630,37,42.42,west
ND,Burke County,943,286,640,17,30.89,west
MT,Toole County,2121,737,1317,67,35.88,west
ND,Renville County,1346,505,799,42,38.73,west
MN,Roseau County,7700,3097,4438,165,41.10,west
MT,Sheridan County,2006,953,987,66,49.13,west
ID,Bonner County,19547,7840,11145,562,41.30,west
ND,Ward County,25621,10144,15061,416,40.25,west
WA,San Juan County,10531,7374,2958,199,71.37,west
MN,Koochiching County,6802,3649,2962,191,55.20,west
WA,Skagit County,55886,30053,24687,1146,54.91,west
ND,Williams County,9373,2921,6291,161,31.71,west
ND,McHenry County,2416,981,1374,61,41.65,west
MN,Saint Louis County,118814,77351,38742,2721,66.63,west
MT,Roosevelt County,4150,2564,1473,113,63.51,west
WA,Chelan County,31958,13781,17605,572,43.91,west
ND,Mountrail County,2938,1477,1406,55,51.23,west
MN,Marshall County,4739,2311,2285,143,50.28,west
ND,Pierce County,2139,792,1301,46,37.84,west
ND,Ramsey County,4762,2314,2361,87,49.50,west
ND,Walsh County,4882,2325,2415,142,49.05,west
MN,Beltrami County,22236,12019,9762,455,55.18,west
MT,Pondera County,2885,1223,1588,74,43.51,west
WA,Island County,42159,22058,19426,675,53.17,west
WA,Clallam County,38519,19470,18199,850,51.69,west
ND,Benson County,2334,1569,733,32,68.15,west
MT,Chouteau County,2861,1122,1634,105,40.71,west
WA,Snohomish County,320333,187294,126722,6317,59.65,west
MT,Sanders County,5849,1970,3563,316,35.60,west
MN,Cook County,3348,2019,1240,89,61.95,west
MI,Keweenaw County,1410,610,756,44,44.65,east
MN,Lake County,6969,4174,2636,159,61.29,west
ND,Nelson County,1752,907,800,45,53.14,west
ND,Grand Forks County,31153,16104,14520,529,52.58,west
MN,Polk County,15334,7850,7148,336,52.34,west
MN,Pennington County,6822,3394,3248,180,51.10,west
MT,Richland County,4516,1203,3184,129,27.42,west
WA,Douglas County,15209,5848,9098,263,39.13,west
ND,McKenzie County,2715,933,1740,42,34.90,west
WA,Jefferson County,19991,13252,6330,409,67.68,west
MT,Teton County,3272,1294,1874,104,40.85,west
MT,McCone County,4567,1607,2822,138,36.29,west
ID,Shoshone County,5666,2521,2953,192,46.05,west
MT,Lake County,13913,6766,6498,649,51.01,west
WA,Spokane County,219511,105786,108314,5411,49.41,west
MN,Clearwater County,4261,1877,2291,93,45.03,west
ID,Kootenai County,61932,22120,38387,1425,36.56,west
MT,Garfield County,727,110,598,19,15.54,west
MN,Red Lake County,2191,1120,983,88,53.26,west
WA,Grant County,27438,9601,17153,684,35.88,west
WA,Lincoln County,5977,2032,3803,142,34.83,west
MT,Lewis and Clark County,32873,17114,14966,793,53.35,west
WA,Kitsap County,124337,68624,53297,2416,56.29,west
MN,Itasca County,24395,13460,10309,626,56.63,west
ND,McLean County,4736,1867,2767,102,40.29,west
ND,Eddy County,1165,583,548,34,51.55,west
ND,Wells County,2377,841,1468,68,36.42,west
ND,Sheridan County,803,229,555,19,29.21,west
ND,Dunn County,1644,527,1080,37,32.80,west
MT,Fergus County,6232,1933,4108,191,32.00,west
MT,Dawson County,4432,1593,2639,200,37.64,west
WA,King County,922032,648230,259716,14086,71.39,west
MT,Cascade County,35388,17664,16857,867,51.17,west
ND,Steele County,1032,614,404,14,60.31,west
ND,Griggs County,1314,598,682,34,46.72,west
ND,Traill County,4041,2136,1845,60,53.65,west
WA,Mason County,28306,15050,12600,656,54.43,west
MT,Missoula County,59075,36531,20743,1801,63.79,west
MT,Powell County,2814,1021,1683,110,37.76,west
MT,Petroleum County,300,68,227,5,23.05,west
WA,Kittitas County,17868,8030,9471,367,45.88,west
ND,Foster County,1651,687,914,50,42.91,west
ND,Mercer County,4397,1476,2789,132,34.61,west
WA,Grays Harbor County,29184,16354,12104,726,57.47,west
MN,Mahnomen County,2343,1436,843,64,63.01,west
MN,Norman County,3434,2129,1204,101,63.88,west
MT,Mineral County,1995,845,1053,97,44.52,west
MN,Cass County,16307,7276,8660,371,45.66,west
ME,Aroostook County,35994,19345,15898,751,54.89,east
MT,Judith Basin County,1236,397,801,38,33.14,west
ID,Benewah County,4164,1407,2646,111,34.72,west
MN,Hubbard County,11638,4872,6558,208,42.62,west
WA,Pierce County,329520,181824,141673,6023,56.21,west
MT,Wibaux County,561,146,379,36,27.81,west
ND,Billings County,499,114,375,10,23.32,west
ND,Golden Valley County,875,210,642,23,24.65,west
ND,Kidder County,1228,422,752,54,35.94,west
ND,Stutsman County,9784,4056,5499,229,42.45,west
ND,Burleigh County,41772,15600,25443,729,38.01,west
ND,Oliver County,1040,332,682,26,32.74,west
MI,Houghton County,15972,7476,8101,395,48.00,east
WA,Adams County,4858,1552,3222,84,32.51,west
WA,Whitman County,17589,9070,8104,415,52.82,west
ND,Barnes County,5694,2741,2826,127,49.24,west
ND,Cass County,71419,37622,32566,1231,53.60,west
WA,Thurston County,126709,75882,48366,2461,61.07,west
MT,Prairie County,735,211,503,21,29.55,west
MN,Becker County,16965,7687,8851,427,46.48,west
MN,Clay County,29259,16666,11978,615,58.18,west
ID,Latah County,17714,9195,7988,531,53.52,west
WA,Yakima County,77062,33792,41946,1324,44.62,west
MT,Meagher County,966,298,624,44,32.32,west
WI,Ashland County,8574,5818,2634,122,68.84,east
MN,Aitkin County,9410,4595,4589,226,50.03,west
MI,Ontonagon County,3885,1966,1823,96,51.89,east
ND,Stark County,11070,3802,7024,244,35.12,west
WI,Bayfield County,9468,5972,3365,131,63.96,east
ND,Morton County,13264,5079,7869,316,39.22,west
MI,Marquette County,33185,19635,12906,644,60.34,east
MI,Baraga County,3644,1725,1846,73,48.31,east
ID,Clearwater County,3906,1211,2569,126,32.03,west
MT,Custer County,5452,2267,3047,138,42.66,west
MT,Rosebud County,3810,1919,1768,123,52.05,west
MT,Granite County,1715,601,1013,101,37.23,west
MN,Wadena County,7169,2882,4128,159,41.11,west
MN,Crow Wing County,35165,15859,18567,739,46.07,west
WA,Pacific County,10937,6094,4555,288,57.23,west
WA,Lewis County,34705,13624,20278,803,40.19,west
MT,Broadwater County,1149,365,756,28,32.56,west
MI,Chippewa County,16708,8184,8267,257,49.75,east
MN,Carlton County,18449,11501,6549,399,63.72,west
MI,Gogebic County,8264,4757,3330,177,58.82,east
MT,Musselshell County,2306,636,1581,89,28.69,west
MI,Luce County,2740,1191,1490,59,44.43,east
WI,Douglas County,24066,15830,7835,401,66.89,east
MT,Golden Valley County,491,124,343,24,26.55,west
MT,Wheatland County,981,289,657,35,30.55,west
WA,Franklin County,19696,7361,12037,298,37.95,west
WA,Benton County,72911,26288,45345,1278,36.70,west
MN,Otter Tail County,32687,13856,18077,754,43.39,west
ND,Grant County,1329,280,587,462,32.30,west
WA,Garfield County,1373,385,968,20,28.46,west
MI,Alger County,4750,2472,2188,90,53.05,east
MT,Fallon County,1432,318,1064,50,23.01,west
ID,Idaho County,8210,2017,5895,298,25.50,west
MT,Ravalli County,22083,8400,13002,681,39.25,west
ND,Emmons County,1837,546,1230,61,30.74,west
ND,Logan County,1057,299,726,32,29.17,west
ID,Nez Perce County,17823,7123,10357,343,40.75,west
ND,Slope County,411,106,297,8,26.30,west
ND,LaMoure County,2241,868,1310,63,39.85,west
ND,Hettinger County,1348,406,893,49,31.25,west
MN,Wilkin County,3414,1550,1786,78,46.46,west
ND,Ransom County,2433,1371,998,64,57.87,west
ND,Richland County,7563,3513,3900,150,47.39,west
WA,Columbia County,2228,686,1499,43,31.40,west
WA,Walla Walla County,24727,10081,14182,464,41.55,west
WI,Iron County,3432,1914,1464,54,56.66,east
ME,Somerset County,25758,13335,11867,556,52.91,east
ME,Piscataquis County,9434,4430,4785,219,48.08,east
MT,Jefferson County,6340,2582,3538,220,42.19,west
MI,Schoolcraft County,4326,2184,2058,84,51.49,east
MT,Yellowstone County,70416,32038,36483,1895,46.76,west
MT,Treasure County,486,156,314,16,33.19,west
ID,Lewis County,1804,479,1275,50,27.31,west
WA,Asotin County,9780,4139,5451,190,43.16,west
ND,Sioux County,1378,1145,215,18,84.19,west
MI,Iron County,6162,3080,2947,135,51.10,east
MN,Pine County,14383,7084,6862,437,50.79,west
ME,Penobscot County,80367,41514,37495,1358,52.55,east
WA,Skamania County,5490,2817,2524,149,52.74,west
WA,Cowlitz County,45229,24597,19554,1078,55.71,west
WA,Wahkiakum County,2294,1121,1105,68,50.36,west
MN,Todd County,12257,5277,6637,343,44.29,west
MN,Morrison County,16743,6547,9735,461,40.21,west
WI,Vilas County,13750,6491,7055,204,47.92,east
OR,Clatsop County,18548,10701,7192,655,59.80,west
ND,Adams County,1271,435,788,48,35.57,west
ND,Sargent County,1927,1115,778,34,58.90,west
ND,McIntosh County,1532,579,916,37,38.73,west
ND,Dickey County,2620,1044,1525,51,40.64,west
ND,Bowman County,1640,478,1107,55,30.16,west
MT,Deer Lodge County,5074,3402,1502,170,69.37,west
MI,Dickinson County,13311,5995,7049,267,45.96,east
MI,Mackinac County,6396,3027,3268,101,48.09,east
MN,Mille Lacs County,13544,6072,7049,423,46.27,west
MT,Sweet Grass County,2083,541,1494,48,26.58,west
MT,Gallatin County,48155,24205,22578,1372,51.73,west
MT,Park County,8892,4173,4376,343,48.81,west
MT,Silver Bow County,16965,11676,4818,471,70.79,west
OR,Columbia County,24768,13390,10413,965,56.25,west
MN,Kanabec County,8499,3743,4479,277,45.52,west
WI,Burnett County,8688,4337,4200,151,50.80,east
MI,Delta County,19064,9974,8763,327,53.23,east
WI,Sawyer County,9085,4765,4199,121,53.16,east
WI,Washburn County,9112,4693,4303,116,52.17,east
MT,Carter County,715,111,573,31,16.22,west
MT,Stillwater County,4667,1512,2991,164,33.58,west
MN,Grant County,3605,1850,1646,109,52.92,west
MN,Douglas County,20918,9256,11241,421,45.16,west
WI,Forest County,4683,2673,1963,47,57.66,east
WA,Clark County,182764,95356,84212,3196,53.10,west
WA,Klickitat County,10164,4965,4944,255,50.11,west
MT,Big Horn County,5218,3516,1628,74,68.35,west
MN,Traverse County,2035,1043,933,59,52.78,west
WI,Florence County,2685,1134,1512,39,42.86,east
OR,Umatilla County,25523,9484,15254,785,38.34,west
OR,Wallowa County,4465,1492,2836,137,34.47,west
MI,Menominee County,11072,5981,4855,236,55.20,east
WI,Price County,8194,4559,3461,174,56.85,east
SD,Perkins County,1686,499,1102,85,31.17,west
SD,Corson County,1406,837,535,34,61.01,west
SD,Harding County,734,135,575,24,19.01,west
SD,Campbell County,854,243,591,20,29.13,west
MT,Beaverhead County,4763,1617,3008,138,34.96,west
SD,McPherson County,1375,441,915,19,32.52,west
SD,Brown County,17426,9041,8067,318,52.85,west
SD,Roberts County,4536,2672,1781,83,60.01,west
SD,Marshall County,2191,1261,900,30,58.35,west
OR,Morrow County,4058,1410,2509,139,35.98,west
WI,Oneida County,21927,11907,9630,390,55.28,east
OR,Union County,12594,4613,7581,400,37.83,west
MT,Madison County,1091,321,726,44,30.66,west
MI,Charlevoix County,14367,6817,7306,244,48.27,east
MN,Benton County,19339,8454,10338,547,44.98,west
OR,Gilliam County,1110,430,648,32,39.89,west
WI,Marinette County,21255,11195,9726,334,53.51,east
MT,Powder River County,1038,208,802,28,20.60,west
MI,Emmet County,18149,8515,9314,320,47.76,east
MI,Cheboygan County,13901,6720,6920,261,49.27,east
OR,Tillamook County,13297,7072,5757,468,55.12,west
OR,Washington County,236632,141544,89185,5903,61.35,west
MN,Stearns County,78756,35690,41194,1872,46.42,west
MN,Stevens County,5634,2781,2710,143,50.65,west
MN,Pope County,6536,3317,3069,150,51.94,west
OR,Sherman County,1047,385,634,28,37.78,west
MN,Isanti County,20053,8248,11324,481,42.14,west
MN,Chisago County,29305,12783,15789,733,44.74,west
WI,Polk County,22643,10876,11282,485,49.08,east
OR,Multnomah County,364710,279696,75171,9843,78.82,west
OR,Hood River County,9830,6302,3265,263,65.88,west
OR,Wasco County,11380,5906,5103,371,53.65,west
ID,Lemhi County,4105,1061,2938,106,26.53,west
ME,Washington County,16654,8246,8077,331,50.52,east
ME,Franklin County,17178,10113,6627,438,60.41,east
MI,Presque Isle County,7505,3722,3606,177,50.79,east
WI,Barron County,22886,12078,10457,351,53.60,east
WI,Rusk County,7272,3855,3253,164,54.24,east
MT,Carbon County,5746,2443,3108,195,44.01,west
SD,Walworth County,2650,923,1668,59,35.62,west
SD,Edmunds County,2076,819,1213,44,40.30,west
SD,Day County,3205,1785,1372,48,56.54,west
MN,Big Stone County,2990,1552,1362,76,53.26,west
MN,Sherburne County,44990,17957,26140,893,40.72,west
WI,Lincoln County,15268,8424,6519,325,56.37,east
MI,Leelanau County,14464,7355,6938,171,51.46,east
SD,Dewey County,2019,1328,659,32,66.84,west
SD,Ziebach County,891,554,312,25,63.97,west
WI,Langlade County,10402,5182,5081,139,50.49,east
OR,Clackamas County,191878,103476,83595,4807,55.31,west
OR,Yamhill County,43526,20797,21390,1339,49.30,west
MN,Wright County,65578,26343,37779,1456,41.08,west
WI,Door County,17481,10142,7112,227,58.78,east
MN,Anoka County,182224,86976,91357,3891,48.77,west
MN,Kandiyohi County,21895,10125,11319,451,47.21,west
MN,Swift County,5244,2907,2184,153,57.10,west
WI,Taylor County,9346,4563,4586,197,49.87,east
WI,Oconto County,18968,9927,8755,286,53.14,east
ME,Oxford County,31650,17940,12863,847,58.24,east
SD,Grant County,3830,1786,1951,93,47.79,west
MN,Meeker County,12545,5380,6737,428,44.40,west
NH,Coos County,16259,9532,6558,169,59.25,east
MN,Washington County,137059,70277,64334,2448,52.20,west
WI,Chippewa County,30231,16239,13492,500,54.62,east
OR,Marion County,124563,61816,59059,3688,51.14,west
ID,Adams County,2320,728,1517,75,32.43,west
MN,Lac qui Parle County,4192,2160,1912,120,53.05,west
ME,Hancock County,32165,18895,12686,584,59.83,east
SD,Potter County,1440,482,937,21,33.97,west
SD,Faulk County,1192,426,739,27,36.57,west
MN,Hennepin County,663780,420958,231054,11768,64.56,west
SD,Spink County,3269,1550,1660,59,48.29,west
ID,Valley County,5296,2405,2772,119,46.46,west
SD,Butte County,4256,1306,2821,129,31.65,west
WI,Saint Croix County,44821,21177,22837,807,48.12,east
WI,Dunn County,22989,13002,9566,421,57.61,east
MI,Alpena County,15085,7705,7125,255,51.96,east
MI,Antrim County,13852,6079,7506,267,44.75,east
MI,Otsego County,12616,5634,6752,230,45.49,east
MI,Montmorency County,5360,2403,2841,116,45.82,east
SD,Clark County,1940,830,1065,45,43.80,west
SD,Codington County,12185,5595,6374,216,46.75,west
MN,Chippewa County,6356,3280,2907,169,53.01,west
MN,Ramsey County,277386,182974,88942,5470,67.29,west
WI,Marathon County,67940,36367,30345,1228,54.52,east
WI,Menominee County,1448,1257,185,6,87.17,east
OR,Baker County,8777,2805,5650,322,33.18,west
OR,Polk County,36207,17536,17714,957,49.75,west
OR,Wheeler County,812,281,498,33,36.07,west
OR,Lincoln County,23889,14258,8791,840,61.86,west
SD,Meade County,11606,3751,7515,340,33.30,west
WI,Clark County,14187,7454,6383,350,53.87,east
WI,Shawano County,20089,10259,9538,292,51.82,east
VT,Franklin County,21460,13179,7853,428,62.66,east
VT,Essex County,3101,1733,1284,84,57.44,east
VT,Grand Isle County,4269,2694,1490,85,64.39,east
NY,Saint Lawrence County,41326,23706,16956,664,58.30,east
NY,Clinton County,33337,20216,12579,542,61.64,east
VT,Orleans County,12771,7998,4482,291,64.08,east
WY,Park County,14985,3757,10839,389,25.74,west
WY,Big Horn County,5310,1108,4045,157,21.50,west
WY,Campbell County,16320,2990,13011,319,18.69,west
WY,Sheridan County,14981,4458,10177,346,30.46,west
NY,Franklin County,17520,10571,6676,273,61.29,east
WY,Crook County,3683,612,2967,104,17.10,west
OR,Grant County,3909,1006,2785,118,26.54,west
MI,Grand Traverse County,48733,23258,24716,759,48.48,east
MN,McLeod County,19029,7505,10993,531,40.57,west
MN,Carver County,49683,20654,28156,873,42.31,west
SD,Deuel County,2218,1054,1088,76,49.21,west
MN,Yellow Medicine County,5569,2816,2579,174,52.20,west
MN,Dakota County,225472,116778,104364,4330,52.80,west
SD,Sully County,833,233,581,19,28.62,west
SD,Hyde County,785,226,547,12,29.24,west
SD,Hand County,2011,718,1247,46,36.54,west
MN,Renville County,8135,3904,3956,275,49.67,west
ID,Custer County,2352,611,1694,47,26.51,west
WI,Pierce County,22107,11803,9812,492,54.61,east
MI,Alcona County,6420,2896,3404,120,45.97,east
MI,Kalkaska County,8499,3780,4527,192,45.50,east
MI,Crawford County,7178,3441,3561,176,49.14,east
WI,Eau Claire County,55010,33146,20959,905,61.26,east
MI,Oscoda County,4328,1887,2320,121,44.86,east
ID,Washington County,4506,1241,3168,97,28.15,west
OR,Jefferson County,8318,3682,4402,234,45.55,west
MN,Scott County,67132,29208,36724,1200,44.30,west
SD,Hamlin County,2787,1043,1661,83,38.57,west
VT,Lamoille County,12668,8914,3515,239,71.72,east
OR,Linn County,51982,22163,28071,1748,44.12,west
SD,Stanley County,1553,510,1017,26,33.40,west
MI,Benzie County,10309,5451,4687,171,53.77,east
VT,Caledonia County,14728,8900,5472,356,61.93,east
ME,Waldo County,21850,11967,9423,460,55.94,east
ID,Fremont County,5880,1065,4700,115,18.47,west
SD,Haakon County,1153,187,939,27,16.61,west
VT,Chittenden County,83440,59611,22237,1592,72.83,east
OR,Benton County,46478,29901,15264,1313,66.20,west
ME,Kennebec County,65986,37238,27482,1266,57.53,east
MN,Sibley County,7729,2998,4492,239,40.03,west
MN,Goodhue County,25795,12420,12775,600,49.29,west
MN,Redwood County,7806,3250,4308,248,43.00,west
WI,Portage County,39422,24817,13810,795,64.25,east
WI,Wood County,39052,21710,16581,761,56.70,east
WI,Brown County,124754,67269,55854,1631,54.64,east
WI,Pepin County,3771,2102,1616,53,56.54,east
WI,Waupaca County,25511,12952,12232,327,51.43,east
WI,Kewaunee County,10787,5902,4711,174,55.61,east
WY,Teton County,12316,7472,4565,279,62.07,west
SD,Beadle County,7714,3493,4054,167,46.28,west
MN,Lincoln County,3126,1517,1491,118,50.43,west
MN,Lyon County,12708,6110,6315,283,49.18,west
SD,Lawrence County,12055,4932,6787,336,42.08,west
WI,Buffalo County,7000,3949,2923,128,57.46,east
WI,Trempealeau County,13314,8321,4808,185,63.38,east
WI,Jackson County,9251,5572,3552,127,61.07,east
WI,Outagamie County,91563,50294,39677,1592,55.90,east
ID,Clark County,375,64,305,6,17.35,west
WY,Johnson County,4354,908,3334,112,21.40,west
OR,Crook County,10352,3632,6371,349,36.31,west
SD,Hughes County,8468,3037,5298,133,36.44,west
NY,Essex County,18595,10390,7913,292,56.77,east
MN,Le Sueur County,15009,6994,7636,379,47.80,west
MN,Rice County,31799,17381,13723,695,55.88,west
SD,Kingsbury County,2784,1277,1435,72,47.09,west
SD,Brookings County,13945,7207,6431,307,52.84,west
MI,Manistee County,13009,7235,5510,264,56.77,east
MI,Wexford County,15704,7379,8044,281,47.85,east
MI,Roscommon County,14051,7082,6727,242,51.28,east
MI,Missaukee County,7492,2898,4469,125,39.34,east
MI,Iosco County,14187,7309,6583,295,52.61,east
MI,Ogemaw County,10768,5391,5133,244,51.23,east
ID,Gem County,7947,2166,5585,196,27.95,west
SD,Pennington County,46280,17802,27603,875,39.21,west
VT,Washington County,32200,22324,9129,747,70.98,east
MN,Brown County,13620,5809,7456,355,43.79,west
ME,Androscoggin County,54850,31017,22671,1162,57.77,east
MN,Nicollet County,18245,9887,7968,390,55.38,west
MN,Wabasha County,11893,5646,5935,312,48.75,west
OR,Malheur County,10433,2949,7157,327,29.18,west
NH,Grafton County,49602,31446,17687,469,64.00,east
OR,Deschutes County,79782,38819,39064,1899,49.85,west
NY,Jefferson County,38886,18166,20220,500,47.33,east
ME,Knox County,22980,13728,8816,436,60.90,east
ID,Boise County,3773,1240,2433,100,33.76,west
ME,Lincoln County,21584,11886,9287,411,56.14,east
WI,Manitowoc County,42414,22428,19234,752,53.83,east
VT,Addison County,19238,13202,5667,369,69.96,east
OR,Lane County,182910,114037,63835,5038,64.11,west
NH,Carroll County,28910,15221,13387,302,53.20,east
MN,Blue Earth County,35070,19325,14782,963,56.66,west
WI,Juneau County,11530,6186,5148,196,54.58,east
WI,Adams County,9986,5806,3974,206,59.36,east
WI,Waushara County,11849,5868,5770,211,50.42,east
WI,Winnebago County,87677,48167,37946,1564,55.94,east
WI,Calumet County,26474,13295,12722,457,51.10,east
ID,Butte County,1410,318,1056,36,23.14,west
VT,Orange County,15179,9799,5047,333,66.01,east
NY,Lewis County,11138,4986,5969,183,45.52,east
SD,Lyman County,1641,710,894,37,44.27,west
MN,Pipestone County,4801,2023,2652,126,43.27,west
MN,Murray County,4813,2345,2320,148,50.27,west
SD,Jerauld County,1105,542,546,17,49.82,west
MN,Steele County,19656,9016,10068,572,47.24,west
MN,Dodge County,10214,4463,5468,283,44.94,west
SD,Moody County,3254,1663,1508,83,52.45,west
MN,Waseca County,9888,4401,5211,276,45.79,west
SD,Buffalo County,619,454,156,9,74.43,west
SD,Sanborn County,1207,500,669,38,42.77,west
MN,Olmsted County,76470,38711,36202,1557,51.67,west
MN,Cottonwood County,6036,2759,3157,120,46.64,west
SD,Lake County,6157,3033,2993,131,50.33,west
SD,Miner County,1218,605,577,36,51.19,west
MN,Winona County,27935,16308,10975,652,59.77,west
WY,Weston County,3393,658,2618,117,20.08,west
MI,Mason County,15223,7817,7147,259,52.24,east
ME,Cumberland County,164151,105218,56186,2747,65.19,east
SD,Jones County,627,147,463,17,24.10,west
WY,Washakie County,4089,1042,2956,91,26.06,west
ME,Sagadahoc County,21301,12152,8721,428,58.22,east
MI,Lake County,5292,2919,2269,104,56.26,east
MI,Osceola County,11026,4855,5973,198,44.84,east
MI,Arenac County,8128,4155,3807,166,52.18,east
MI,Clare County,14567,7496,6793,278,52.46,east
MI,Gladwin County,13241,6590,6391,260,50.76,east
WI,Monroe County,19152,10198,8666,288,54.06,east
ID,Payette County,8613,2415,5988,210,28.74,west
NY,Hamilton County,3411,1225,2141,45,36.39,east
MN,Watonwan County,5258,2562,2526,170,50.36,west
ID,Elmore County,8436,2591,5665,180,31.38,west
NY,Herkimer County,27184,12094,14619,471,45.27,east
WI,La Crosse County,63218,38524,23701,993,61.91,east
WY,Hot Springs County,2546,619,1834,93,25.23,west
MI,Huron County,17135,8367,8434,334,49.80,east
ID,Jefferson County,10441,1641,8540,260,16.12,west
OR,Harney County,3683,950,2595,138,26.79,west
WY,Fremont County,17592,6016,11083,493,35.19,west
MI,Bay County,57428,32589,23795,1044,57.80,east
SD,Jackson County,1133,435,668,30,39.44,west
ID,Blaine County,10571,6947,3439,185,66.89,west
ID,Teton County,4658,2302,2263,93,50.43,west
WI,Green Lake County,9536,4000,5393,143,42.59,east
WI,Marquette County,7846,4068,3654,124,52.68,east
VT,Windsor County,31165,21444,9084,637,70.24,east
OR,Douglas County,52937,20298,30919,1720,39.63,west
WI,Fond du Lac County,52323,23463,28164,696,45.44,east
SD,Aurora County,1495,655,794,46,45.20,west
SD,Brule County,2439,965,1407,67,40.68,west
ID,Madison County,13057,1627,11131,299,12.75,west
WI,Sheboygan County,62107,30395,30801,911,49.67,east
ID,Canyon County,64246,20147,42752,1347,32.03,west
SD,Mellette County,843,373,445,25,45.60,west
ID,Camas County,618,187,422,9,30.71,west
VT,Rutland County,31617,19355,11584,678,62.56,east
SD,Custer County,4507,1475,2909,123,33.65,west
MN,Rock County,4975,2079,2775,121,42.83,west
MN,Nobles County,8813,4244,4368,201,49.28,west
MN,Freeborn County,17280,9915,6955,410,58.77,west
MN,Mower County,19187,11605,7075,507,62.13,west
MN,Houston County,10883,5906,4743,234,55.46,west
SD,Davison County,8455,3554,4731,170,42.89,west
