"Name","Team","Position","Height","Weight","Age","PosCategory"
"George_Kottaras","BOS","Catcher",72,180,23.79,"Catcher"
"Kevin_Youkilis","BOS","First_Baseman",73,220,27.96,"Infielder"
"Dustin_Pedroia","BOS","Second_Baseman",69,180,23.54,"Infielder"
"Alex_Cora","BOS","Shortstop",72,180,31.37,"Infielder"
"Julio_Lugo","BOS","Shortstop",73,170,31.29,"Infielder"
"Mike_Lowell","BOS","Third_Baseman",75,210,33.01,"Infielder"
"Wily_Mo_Pe?a","BOS","Outfielder",75,215,25.1,"Outfielder"
"J.D._Drew","BOS","Outfielder",73,200,31.28,"Outfielder"
"Manny_Ramirez","BOS","Outfielder",72,213,34.75,"Outfielder"
"Brandon_Moss","BOS","Outfielder",72,180,23.46,"Outfielder"
"David_Murphy","BOS","Outfielder",76,192,25.37,"Outfielder"
"Eric_Hinske","BOS","Outfielder",74,235,29.57,"Outfielder"
"Coco_Crisp","BOS","Outfielder",72,185,27.33,"Outfielder"
"Curt_Schilling","BOS","Starting_Pitcher",77,235,40.29,"Pitcher"
"Tim_Wakefield","BOS","Starting_Pitcher",74,210,40.58,"Pitcher"
"Josh_Beckett","BOS","Starting_Pitcher",77,222,26.79,"Pitcher"
"Matt_Clement","BOS","Starting_Pitcher",75,210,32.55,"Pitcher"
"Jonathan_Papelbon","BOS","Starting_Pitcher",76,230,26.27,"Pitcher"
"Kyle_Snyder","BOS","Starting_Pitcher",80,220,29.47,"Pitcher"
"Devern_Hansack","BOS","Starting_Pitcher",74,180,29.07,"Pitcher"
"Jon_Lester","BOS","Starting_Pitcher",74,190,23.15,"Pitcher"
"Kason_Gabbard","BOS","Starting_Pitcher",75,200,24.9,"Pitcher"
"Craig_Hansen","BOS","Relief_Pitcher",78,210,23.29,"Pitcher"
"Hideki_Okajima","BOS","Relief_Pitcher",73,194,31.18,"Pitcher"
"Craig_Breslow","BOS","Relief_Pitcher",73,180,26.56,"Pitcher"
"Manny_Delcarmen","BOS","Relief_Pitcher",74,190,25.03,"Pitcher"
"Brendan_Donnelly","BOS","Relief_Pitcher",75,240,35.66,"Pitcher"
"Javier_Lopez","BOS","Relief_Pitcher",76,200,29.64,"Pitcher"
"J.C._Romero","BOS","Relief_Pitcher",71,198,30.74,"Pitcher"
"Joel_Pineiro","BOS","Relief_Pitcher",73,200,28.43,"Pitcher"
"Julian_Tavarez","BOS","Relief_Pitcher",74,195,33.77,"Pitcher"
"Mike_Timlin","BOS","Relief_Pitcher",76,210,40.97,"Pitcher"
"Nick_DeBarr","BOS","Relief_Pitcher",76,220,23.52,"Pitcher"
"Victor_Martinez","CLE","Catcher",74,190,28.19,"Catcher"
"Kelly_Shoppach","CLE","Catcher",73,210,26.84,"Catcher"
"Ryan_Garko","CLE","First_Baseman",74,225,26.16,"Infielder"
"Joe_Inglett","CLE","Second_Baseman",70,180,28.67,"Infielder"
"Josh_Barfield","CLE","Second_Baseman",72,185,24.2,"Infielder"
"Hector_Luna","CLE","Second_Baseman",73,170,27.08,"Infielder"
"Jhonny_Peralta","CLE","Shortstop",73,185,24.76,"Infielder"
"Andy_Marte","CLE","Third_Baseman",73,185,23.36,"Infielder"
"Ben_Francisco","CLE","Outfielder",73,180,25.35,"Outfielder"
"Shin-Soo_Choo","CLE","Outfielder",71,178,24.63,"Outfielder"
"Franklin_Gutierrez","CLE","Outfielder",74,175,24.02,"Outfielder"
"Grady_Sizemore","CLE","Outfielder",74,200,24.58,"Outfielder"
"Jason_Michaels","CLE","Outfielder",72,204,30.82,"Outfielder"
"Trot_Nixon","CLE","Outfielder",74,211,32.89,"Outfielder"
"David_Dellucci","CLE","Outfielder",71,190,33.33,"Outfielder"
"Casey_Blake","CLE","Outfielder",74,210,33.52,"Outfielder"
"Paul_Byrd","CLE","Starting_Pitcher",73,190,36.24,"Pitcher"
"Cliff_Lee","CLE","Starting_Pitcher",75,190,28.5,"Pitcher"
"Jake_Westbrook","CLE","Starting_Pitcher",75,185,29.42,"Pitcher"
"C.C._Sabathia","CLE","Starting_Pitcher",79,290,26.61,"Pitcher"
"Jeremy_Sowers","CLE","Starting_Pitcher",73,175,23.79,"Pitcher"
"Rafael_Perez","CLE","Relief_Pitcher",75,185,24.96,"Pitcher"
"Brian_Slocum","CLE","Relief_Pitcher",76,200,25.93,"Pitcher"
"Edward_Mujica","CLE","Relief_Pitcher",74,220,22.81,"Pitcher"
"Fernando_Cabrera","CLE","Relief_Pitcher",76,170,25.29,"Pitcher"
"Tom_Mastny","CLE","Relief_Pitcher",78,220,26.07,"Pitcher"
"Juan_Lara","CLE","Relief_Pitcher",74,190,26.09,"Pitcher"
"Fausto_Carmona","CLE","Relief_Pitcher",76,220,23.23,"Pitcher"
"Aaron_Fultz","CLE","Relief_Pitcher",72,205,33.49,"Pitcher"
"Rafael_Betancourt","CLE","Relief_Pitcher",74,200,31.84,"Pitcher"
"Roberto_Hernandez","CLE","Relief_Pitcher",76,250,42.3,"Pitcher"
"Joe_Borowski","CLE","Relief_Pitcher",74,225,35.82,"Pitcher"
"Matt_Miller","CLE","Relief_Pitcher",75,215,35.27,"Pitcher"
"Jason_Davis","CLE","Relief_Pitcher",78,210,26.81,"Pitcher"
"Mike_Piazza","OAK","Catcher",75,215,38.49,"Catcher"
"Jason_Kendall","OAK","Catcher",72,195,32.68,"Catcher"
"Adam_Melhuse","OAK","Catcher",74,200,34.93,"Catcher"
"Nick_Swisher","OAK","First_Baseman",72,194,26.26,"Infielder"
"Dan_Johnson","OAK","First_Baseman",74,220,27.56,"Infielder"
"Donald_Murphy","OAK","Second_Baseman",70,180,23.98,"Infielder"
"Mark_Ellis","OAK","Second_Baseman",71,180,29.73,"Infielder"
"Marco_Scutaro","OAK","Shortstop",70,170,31.33,"Infielder"
"Bobby_Crosby","OAK","Shortstop",75,195,27.13,"Infielder"
"Mark_Kiger","OAK","Shortstop",71,180,26.75,"Infielder"
"Antonio_Perez","OAK","Third_Baseman",71,170,27.09,"Infielder"
"Eric_Chavez","OAK","Third_Baseman",73,206,29.23,"Infielder"
"Milton_Bradley","OAK","Outfielder",72,205,28.88,"Outfielder"
"Shannon_Stewart","OAK","Outfielder",71,200,33.01,"Outfielder"
"Bobby_Kielty","OAK","Outfielder",73,225,30.57,"Outfielder"
"Mark_Kotsay","OAK","Outfielder",72,201,31.24,"Outfielder"
"Ryan_Goleski","OAK","Outfielder",75,225,24.95,"Outfielder"
"Jason_Windsor","OAK","Starting_Pitcher",74,233,24.62,"Pitcher"
"David_Shafer","OAK","Starting_Pitcher",74,180,24.98,"Pitcher"
"Joe_Blanton","OAK","Starting_Pitcher",75,225,26.22,"Pitcher"
"Brad_Halsey","OAK","Starting_Pitcher",73,180,26.04,"Pitcher"
"Dan_Haren","OAK","Starting_Pitcher",77,220,26.45,"Pitcher"
"Rich_Harden","OAK","Starting_Pitcher",73,180,25.25,"Pitcher"
"Joe_Kennedy","OAK","Starting_Pitcher",76,237,27.77,"Pitcher"
"Esteban_Loaiza","OAK","Starting_Pitcher",75,215,35.16,"Pitcher"
"Alan_Embree","OAK","Relief_Pitcher",74,190,37.1,"Pitcher"
"Jay_Witasick","OAK","Relief_Pitcher",76,235,34.51,"Pitcher"
"Justin_Duchscherer","OAK","Relief_Pitcher",75,190,29.28,"Pitcher"
"Kiko_Calero","OAK","Relief_Pitcher",73,180,32.14,"Pitcher"
"Chad_Gaudin","OAK","Relief_Pitcher",71,165,23.94,"Pitcher"
"Lenny_DiNardo","OAK","Relief_Pitcher",76,195,27.45,"Pitcher"
"Scott_Dunn","OAK","Relief_Pitcher",75,200,28.77,"Pitcher"
"Huston_Street","OAK","Relief_Pitcher",72,190,23.58,"Pitcher"
"Ron_Flores","OAK","Relief_Pitcher",71,190,27.56,"Pitcher"
"Jay_Marshall","OAK","Relief_Pitcher",77,185,24.01,"Pitcher"
"Marcus_McBeth","OAK","Relief_Pitcher",73,185,26.52,"Pitcher"
"Jorge_Posada","NYY","Catcher",74,205,35.54,"Catcher"
"Wil_Nieves","NYY","Catcher",71,190,29.43,"Catcher"
"Andy_Phillips","NYY","First_Baseman",72,205,29.9,"Infielder"
"Doug_Mientkiewicz","NYY","First_Baseman",74,206,32.7,"Infielder"
"Josh_Phelps","NYY","First_Baseman",75,220,28.8,"Infielder"
"Miguel_Cairo","NYY","Second_Baseman",73,208,32.82,"Infielder"
"Robinson_Cano","NYY","Second_Baseman",72,170,24.36,"Infielder"
"Derek_Jeter","NYY","Shortstop",75,195,32.68,"Infielder"
"Alex_Rodriguez","NYY","Third_Baseman",75,210,31.59,"Infielder"
"Johnny_Damon","NYY","Outfielder",74,190,33.32,"Outfielder"
"Bobby_Abreu","NYY","Outfielder",72,211,32.97,"Outfielder"
"Hideki_Matsui","NYY","Outfielder",74,230,32.72,"Outfielder"
"Melky_Cabrera","NYY","Outfielder",71,170,22.55,"Outfielder"
"Kevin_Thompson","NYY","Outfielder",70,185,27.45,"Outfielder"
"Mike_Mussina","NYY","Starting_Pitcher",74,185,38.23,"Pitcher"
"Carl_Pavano","NYY","Starting_Pitcher",77,241,31.14,"Pitcher"
"Andy_Pettitte","NYY","Starting_Pitcher",77,225,34.71,"Pitcher"
"Darrell_Rasner","NYY","Starting_Pitcher",75,210,26.13,"Pitcher"
"Jeff_Karstens","NYY","Starting_Pitcher",75,175,24.43,"Pitcher"
"Humberto_Sanchez","NYY","Starting_Pitcher",78,230,23.76,"Pitcher"
"Chien-Ming_Wang","NYY","Starting_Pitcher",75,200,26.92,"Pitcher"
"Sean_Henn","NYY","Relief_Pitcher",76,215,25.85,"Pitcher"
"Scott_Proctor","NYY","Relief_Pitcher",73,198,30.16,"Pitcher"
"Brian_Bruney","NYY","Relief_Pitcher",75,226,25.03,"Pitcher"
"Chris_Britton","NYY","Relief_Pitcher",75,278,24.21,"Pitcher"
"T.J._Beam","NYY","Relief_Pitcher",79,215,26.51,"Pitcher"
"Jose_Veras","NYY","Relief_Pitcher",77,230,26.36,"Pitcher"
"Kyle_Farnsworth","NYY","Relief_Pitcher",76,240,30.88,"Pitcher"
"Luis_Vizcaino","NYY","Relief_Pitcher",71,184,32.57,"Pitcher"
"Mike_Myers","NYY","Relief_Pitcher",75,219,37.68,"Pitcher"
"Mariano_Rivera","NYY","Relief_Pitcher",74,170,37.25,"Pitcher"
"Ivan_Rodriguez","DET","Catcher",69,218,35.25,"Catcher"
"Vance_Wilson","DET","Catcher",71,190,33.95,"Catcher"
"Sean_Casey","DET","First_Baseman",76,225,32.66,"Infielder"
"Chris_Shelton","DET","First_Baseman",72,220,26.68,"Infielder"
"Omar_Infante","DET","Second_Baseman",72,176,25.18,"Infielder"
"Placido_Polanco","DET","Second_Baseman",70,190,31.39,"Infielder"
"Neifi_Perez","DET","Second_Baseman",72,197,33.74,"Infielder"
"Carlos_Guillen","DET","Shortstop",73,204,31.42,"Infielder"
"Ramon_Santiago","DET","Shortstop",71,167,27.5,"Infielder"
"Tony_Giarratano","DET","Shortstop",72,180,24.25,"Infielder"
"Brandon_Inge","DET","Third_Baseman",71,195,29.78,"Infielder"
"Craig_Monroe","DET","Outfielder",73,220,30,"Outfielder"
"Magglio_Ordo?ez","DET","Outfielder",72,215,33.09,"Outfielder"
"Curtis_Granderson","DET","Outfielder",73,185,25.96,"Outfielder"
"Brent_Clevlen","DET","Outfielder",74,190,23.34,"Outfielder"
"Marcus_Thames","DET","Outfielder",74,205,29.98,"Outfielder"
"Gary_Sheffield","DET","Outfielder",72,205,38.28,"Outfielder"
"Zach_Miner","DET","Starting_Pitcher",75,200,24.97,"Pitcher"
"Jeremy_Bonderman","DET","Starting_Pitcher",74,210,24.34,"Pitcher"
"Nate_Robertson","DET","Starting_Pitcher",74,215,29.49,"Pitcher"
"Justin_Verlander","DET","Starting_Pitcher",77,200,24.02,"Pitcher"
"Virgil_Vasquez","DET","Starting_Pitcher",75,205,24.73,"Pitcher"
"Kenny_Rogers","DET","Starting_Pitcher",73,211,42.3,"Pitcher"
"Mike_Maroth","DET","Starting_Pitcher",72,190,29.54,"Pitcher"
"Fernando_Rodney","DET","Relief_Pitcher",71,208,29.95,"Pitcher"
"Chad_Durbin","DET","Relief_Pitcher",74,200,29.24,"Pitcher"
"Jason_Grilli","DET","Relief_Pitcher",77,210,30.3,"Pitcher"
"Jose_Mesa","DET","Relief_Pitcher",75,232,40.77,"Pitcher"
"Todd_Jones","DET","Relief_Pitcher",75,230,38.85,"Pitcher"
"Joel_Zumaya","DET","Relief_Pitcher",75,210,22.31,"Pitcher"
"Jordan_Tata","DET","Relief_Pitcher",78,220,25.44,"Pitcher"
"Andrew_Miller","DET","Relief_Pitcher",78,210,21.78,"Pitcher"
"Yorman_Bazardo","DET","Relief_Pitcher",74,202,22.64,"Pitcher"
"Wilfredo_Ledezma","DET","Relief_Pitcher",76,212,26.11,"Pitcher"
"Roman_Colon","DET","Relief_Pitcher",78,225,27.55,"Pitcher"
"Edward_Campusano","DET","Relief_Pitcher",76,170,24.63,"Pitcher"
"Rene_Rivera","SEA","Catcher",70,190,23.58,"Catcher"
"Kenji_Johjima","SEA","Catcher",72,200,30.73,"Catcher"
"Richie_Sexson","SEA","First_Baseman",80,237,32.17,"Infielder"
"Ben_Broussard","SEA","First_Baseman",74,220,30.43,"Infielder"
"Jose_Lopez","SEA","Second_Baseman",74,170,23.27,"Infielder"
"Jose_Vidro","SEA","Second_Baseman",71,193,32.51,"Infielder"
"Yuniesky_Betancourt","SEA","Shortstop",70,190,25.08,"Infielder"
"Oswaldo_Navarro","SEA","Shortstop",72,150,22.41,"Infielder"
"Adrian_Beltre","SEA","Third_Baseman",71,220,27.9,"Infielder"
"Raul_Ibanez","SEA","Outfielder",74,200,34.74,"Outfielder"
"Jose_Guillen","SEA","Outfielder",71,190,30.79,"Outfielder"
"Jeremy_Reed","SEA","Outfielder",72,185,25.71,"Outfielder"
"Willie_Bloomquist","SEA","Outfielder",71,185,29.26,"Outfielder"
"Adam_Jones","SEA","Outfielder",74,200,21.58,"Outfielder"
"Ichiro_Suzuki","SEA","Outfielder",69,172,33.36,"Outfielder"
"Mike_Morse","SEA","Outfielder",76,220,24.94,"Outfielder"
"Felix_Hernandez","SEA","Starting_Pitcher",75,225,20.9,"Pitcher"
"Ryan_Feierabend","SEA","Starting_Pitcher",75,190,21.52,"Pitcher"
"Sean_White","SEA","Starting_Pitcher",76,195,25.85,"Pitcher"
"Horacio_Ramirez","SEA","Starting_Pitcher",73,219,27.27,"Pitcher"
"Cha_Baek","SEA","Starting_Pitcher",76,190,26.75,"Pitcher"
"Miguel_Batista","SEA","Starting_Pitcher",73,197,36.03,"Pitcher"
"Jeff_Weaver","SEA","Starting_Pitcher",77,200,30.52,"Pitcher"
"Jarrod_Washburn","SEA","Starting_Pitcher",73,195,32.55,"Pitcher"
"George_Sherrill","SEA","Relief_Pitcher",72,210,29.86,"Pitcher"
"Julio_Mateo","SEA","Relief_Pitcher",72,177,29.58,"Pitcher"
"J.J._Putz","SEA","Relief_Pitcher",77,220,30.02,"Pitcher"
"Chris_Reitsma","SEA","Relief_Pitcher",77,235,29.16,"Pitcher"
"Cesar_Jimenez","SEA","Relief_Pitcher",71,180,22.3,"Pitcher"
"Eric_O'Flaherty","SEA","Relief_Pitcher",74,195,22.06,"Pitcher"
"Jon_Huber","SEA","Relief_Pitcher",74,195,25.65,"Pitcher"
"Jake_Woods","SEA","Relief_Pitcher",73,190,25.49,"Pitcher"
"Sean_Green","SEA","Relief_Pitcher",78,230,27.86,"Pitcher"
"Mark_Lowe","SEA","Relief_Pitcher",75,190,23.73,"Pitcher"
"Josh_Paul","TB","Catcher",73,200,31.78,"Catcher"
"Dioner_Navarro","TB","Catcher",70,190,23.06,"Catcher"
"Shawn_Riggans","TB","Catcher",74,190,26.6,"Catcher"
"Ty_Wigginton","TB","First_Baseman",72,200,29.39,"Infielder"
"Brendan_Harris","TB","Second_Baseman",73,200,26.51,"Infielder"
"Jorge_Cantu","TB","Second_Baseman",73,184,25.08,"Infielder"
"Ben_Zobrist","TB","Shortstop",75,200,25.76,"Infielder"
"B.J._Upton","TB","Third_Baseman",75,180,22.52,"Infielder"
"Carl_Crawford","TB","Outfielder",74,219,25.57,"Outfielder"
"Rocco_Baldelli","TB","Outfielder",76,187,25.43,"Outfielder"
"Greg_Norton","TB","Outfielder",73,200,34.65,"Outfielder"
"Elijah_Dukes","TB","Outfielder",74,220,22.68,"Outfielder"
"Delmon_Young","TB","Outfielder",75,205,21.46,"Outfielder"
"Edwin_Jackson","TB","Starting_Pitcher",75,190,23.47,"Pitcher"
"Scott_Kazmir","TB","Starting_Pitcher",72,170,23.1,"Pitcher"
"Casey_Fossum","TB","Starting_Pitcher",73,160,29.14,"Pitcher"
"Jae_Seo","TB","Starting_Pitcher",73,215,29.77,"Pitcher"
"J.P._Howell","TB","Starting_Pitcher",72,175,23.85,"Pitcher"
"Tim_Corcoran","TB","Starting_Pitcher",74,205,28.88,"Pitcher"
"Jason_Hammel","TB","Starting_Pitcher",78,200,24.49,"Pitcher"
"James_Shields","TB","Starting_Pitcher",76,214,25.19,"Pitcher"
"Brian_Stokes","TB","Starting_Pitcher",73,200,27.48,"Pitcher"
"Juan_Salas","TB","Relief_Pitcher",74,190,28.31,"Pitcher"
"Jeff_Ridgway","TB","Relief_Pitcher",75,180,26.54,"Pitcher"
"Ruddy_Lugo","TB","Relief_Pitcher",70,205,26.77,"Pitcher"
"Jae-Kuk_Ryu","TB","Relief_Pitcher",75,220,23.75,"Pitcher"
"Chad_Orvella","TB","Relief_Pitcher",71,190,26.41,"Pitcher"
"Dan_Miceli","TB","Relief_Pitcher",72,215,36.47,"Pitcher"
"Seth_McClung","TB","Relief_Pitcher",78,235,26.06,"Pitcher"
"Jon_Switzer","TB","Relief_Pitcher",75,191,27.55,"Pitcher"
"Shawn_Camp","TB","Relief_Pitcher",73,200,31.28,"Pitcher"
"Scott_Dohmann","TB","Relief_Pitcher",73,181,29.04,"Pitcher"
"Jason_LaRue","KC","Catcher",71,200,32.95,"Catcher"
"John_Buck","KC","Catcher",75,210,26.65,"Catcher"
"Ryan_Shealy","KC","First_Baseman",77,240,27.5,"Infielder"
"Ross_Gload","KC","First_Baseman",72,185,30.9,"Infielder"
"Esteban_German","KC","Second_Baseman",69,165,29.09,"Infielder"
"Mark_Grudzielanek","KC","Second_Baseman",73,190,36.67,"Infielder"
"Angel_Sanchez","KC","Second_Baseman",74,185,23.44,"Infielder"
"Angel_Berroa","KC","Shortstop",72,175,29.09,"Infielder"
"Andres_Blanco","KC","Shortstop",70,155,22.89,"Infielder"
"Mark_Teahen","KC","Third_Baseman",75,210,25.48,"Infielder"
"Joey_Gathright","KC","Outfielder",70,170,25.84,"Outfielder"
"David_DeJesus","KC","Outfielder",72,175,27.2,"Outfielder"
"Shane_Costa","KC","Outfielder",72,220,25.22,"Outfielder"
"Mitch_Maier","KC","Outfielder",74,210,24.67,"Outfielder"
"Reggie_Sanders","KC","Outfielder",73,205,39.25,"Outfielder"
"Emil_Brown","KC","Outfielder",74,200,32.17,"Outfielder"
"John_Bale","KC","Starting_Pitcher",76,205,32.77,"Pitcher"
"Luke_Hudson","KC","Starting_Pitcher",75,195,29.83,"Pitcher"
"Scott_Elarton","KC","Starting_Pitcher",80,240,31.02,"Pitcher"
"Odalis_Perez","KC","Starting_Pitcher",72,150,29.73,"Pitcher"
"Gil_Meche","KC","Starting_Pitcher",75,200,28.48,"Pitcher"
"Neal_Musser","KC","Starting_Pitcher",73,215,26.51,"Pitcher"
"Brian_Bannister","KC","Starting_Pitcher",74,202,26,"Pitcher"
"Zack_Greinke","KC","Starting_Pitcher",74,200,23.36,"Pitcher"
"Jorge_De_La_Rosa","KC","Starting_Pitcher",73,190,25.9,"Pitcher"
"Todd_Wellemeyer","KC","Relief_Pitcher",75,205,28.5,"Pitcher"
"Jimmy_Gobble","KC","Relief_Pitcher",75,190,25.62,"Pitcher"
