id, name, rating, position, height, foot, rare, pace, shooting, passing, dribbling, defending, heading, diving, handling, kicking, reflexes, speed, positioning
105113, Sven Müller, 63, M, 191, Right, 0, 72, 60, 62, 56, 67, 63, , , , , ,
105308, Jean Francois Gillet, 77, GK, 181, Left, 0, , , , , , , 75, 73, 74, 80, 60, 76
105314, Lionel Pizzinat, 55, M, 183, Right, 0, 49, 55, 52, 58, 55, 54, , , , , ,
105318, Jaime Valdés, 76, M, 176, Right, 0, 76, 75, 73, 77, 54, 46, , , , , ,
105327, Richarlyson, 74, M, 176, Left, 0, 77, 69, 68, 75, 71, 65, , , , , ,
105330, Gaetano D'Agostino, 75, M, 182, Left, 0, 67, 71, 79, 70, 68, 57, , , , , ,
105338, Moris Carrozzieri, 72, D, 192, Right, 1, 33, 41, 49, 26, 81, 65, , , , , ,
105342, Patrick Owomoyela, 73, D, 187, Right, 1, 63, 55, 72, 71, 75, 83, , , , , ,
10535, Xavi, 92, M, 170, Right, 1, 67, 72, 92, 85, 68, 53, , , , , ,
105430, Grétar Steinsson, 75, D, 189, Right, 0, 55, 52, 74, 60, 77, 73, , , , , ,
105454, Zoran Tošić, 77, M, 171, Left, 1, 91, 75, 72, 85, 40, 57, , , , , ,
105466, Daniele Martinelli, 63, D, 181, Right, 0, 61, 46, 58, 52, 63, 62, , , , , ,
105471, François-Joseph Modesto, 70, M, 183, Right, 0, 63, 50, 63, 60, 75, 70, , , , , ,
105474, Daniele Conti, 76, M, 178, Right, 0, 53, 71, 80, 71, 72, 64, , , , , ,
105477, David Suazo, 76, A, 182, Right, 1, 91, 76, 56, 65, 58, 71, , , , , ,
105530, Aleksandar Vuković, 65, M, 186, Right, 0, 49, 56, 64, 54, 69, 59, , , , , ,
105533, Łukasz Załuska, 69, GK, 191, Right, 0, , , , , , , 67, 68, 66, 72, 45, 68
105558, Alexander Iashvili, 68, A, 175, Left, 0, 75, 66, 64, 75, 42, 54, , , , , ,
105663, Dennis Kruppke, 66, M, 179, Right, 0, 71, 67, 60, 63, 59, 70, , , , , ,
105748, Lars Jungnickel, 65, D, 180, Right, 0, 74, 50, 57, 51, 66, 71, , , , , ,
105803, Gurpegi, 75, M, 181, Right, 0, 65, 54, 67, 62, 79, 82, , , , , ,
10584, Luciano Zauri, 72, D, 178, Right, 0, 54, 58, 70, 67, 74, 66, , , , , ,
105846, Artur Boruc, 78, GK, 193, Right, 0, , , , , , , 77, 77, 69, 79, 41, 77
105865, Tomasz Kiełbowicz, 64, D, 179, Left, 1, 63, 52, 72, 53, 64, 52, , , , , ,
105866, Cesare Bovo, 78, D, 181, Right, 0, 65, 61, 64, 54, 78, 77, , , , , ,
105945, Karel Geraerts, 67, M, 186, Right, 0, 60, 65, 65, 55, 71, 69, , , , , ,
106019, Adriano, 77, A, 190, Left, 0, 62, 80, 52, 71, 59, 67, , , , , ,
106036, Dennis Eilhoff, 69, GK, 190, Right, 0, , , , , , , 74, 66, 63, 75, 49, 64
106112, Julien François, 66, M, 192, Left, 0, 51, 52, 64, 55, 68, 67, , , , , ,
106134, Andrew Frampton, 63, D, 185, Left, 1, 50, 43, 66, 50, 67, 68, , , , , ,
106202, Marek Saganowski, 63, A, 178, Right, 1, 67, 63, 41, 60, 61, 69, , , , , ,
106213, Iraola, 79, D, 182, Right, 0, 82, 69, 78, 75, 79, 63, , , , , ,
106222, Arriaga, 59, A, 171, Right, 0, 69, 58, 50, 63, 40, 51, , , , , ,
106231, Aduriz, 79, A, 182, Right, 1, 72, 75, 62, 75, 60, 91, , , , , ,
106436, Łukasz Surma, 60, M, 173, Right, 0, 59, 46, 58, 56, 63, 62, , , , , ,
106510, Dickson Choto, 68, D, 192, Right, 1, 54, 32, 54, 45, 77, 56, , , , , ,
106539, Gabri, 68, M, 175, Right, 0, 66, 60, 68, 66, 67, 67, , , , , ,
106560, Grégory Pujol, 77, A, 183, Right, 0, 62, 76, 70, 74, 63, 81, , , , , ,
106573, Valdés, 85, GK, 183, Right, 1, , , , , , , 83, 81, 78, 84, 60, 91
106582, Dani Tortolero, 63, D, 184, Right, 0, 52, 48, 53, 49, 66, 63, , , , , ,
106710, Giacomo Tedesco, 67, M, 176, Left, 0, 59, 63, 72, 66, 65, 57, , , , , ,
106795, Gianluca Pegolo, 62, GK, 183, Left, 1, , , , , , , 57, 68, 58, 66, 47, 60
106850, Mirko Vučinić, 81, A, 186, Right, 1, 82, 80, 70, 84, 60, 71, , , , , ,
106868, Alberto Comazzi, 61, D, 178, Right, 0, 52, 37, 58, 39, 63, 73, , , , , ,
106874, Davide Brivio, 70, D, 185, Left, 0, 66, 50, 67, 61, 74, 62, , , , , ,
107078, Max von Schlebrügge, 70, D, 188, Left, 0, 54, 56, 50, 43, 70, 67, , , , , ,
107084, Michael Langer, 65, GK, 193, Right, 0, , , , , , , 64, 65, 58, 69, 51, 65
107103, Marc Ziegler, 72, GK, 193, Right, 1, , , , , , , 73, 69, 73, 70, 27, 74
107263, Fahid Ben Khalfallah, 71, M, 170, Right, 0, 76, 62, 69, 74, 49, 50, , , , , ,
107280, Benjamin Genton, 66, D, 188, Right, 0, 41, 32, 60, 39, 68, 72, , , , , ,
107298, Yohann Pelé, 75, GK, 196, Right, 0, , , , , , , 76, 73, 70, 83, 51, 71
107305, Mickaël Tacalfred, 64, D, 175, Right, 0, 64, 55, 63, 60, 66, 68, , , , , ,
107320, Johan Audel, 73, M, 180, Left, 1, 76, 67, 68, 76, 55, 61, , , , , ,
107494, Andrea Campagnolo, 71, GK, 184, Right, 1, , , , , , , 70, 70, 65, 72, 51, 74
1075, Alessandro Del Piero, 80, A, 173, Right, 1, 56, 79, 82, 84, 50, 43, , , , , ,
107528, John Mensah, 76, D, 180, Right, 0, 61, 43, 56, 29, 78, 77, , , , , ,
107579, Federico Agliardi, 66, GK, 190, Right, 0, , , , , , , 65, 63, 55, 70, 50, 67
107634, René Renno, 60, GK, 186, Right, 0, , , , , , , 66, 60, 63, 51, 30, 64
10764, Juanfran, 71, D, 182, Left, 0, 70, 52, 67, 63, 75, 64, , , , , ,
107647, Hamit Altintop, 76, M, 183, Right, 0, 74, 78, 77, 74, 73, 67, , , , , ,
107713, Tom Starke, 76, GK, 195, Right, 0, , , , , , , 78, 77, 68, 78, 52, 74
107715, Lúcio, 85, D, 188, Right, 1, 76, 61, 61, 66, 85, 83, , , , , ,
107758, Markus Thorandt, 68, D, 187, Right, 0, 67, 44, 59, 49, 70, 71, , , , , ,
107794, Markus Bollmann, 64, D, 190, Right, 0, 54, 30, 44, 41, 68, 73, , , , , ,
107796, Markus Krösche, 65, M, 180, Right, 0, 61, 49, 48, 46, 70, 73, , , , , ,
10780, César Navas, 75, D, 194, Right, 1, 67, 42, 57, 43, 77, 74, , , , , ,
107901, Collin Benjamin, 68, M, 182, Right, 0, 68, 61, 71, 70, 68, 66, , , , , ,
107904, Deniz Dogan, 66, D, 182, Left, 0, 66, 52, 41, 39, 69, 72, , , , , ,
108061, Reto Ziegler, 78, D, 183, Left, 0, 76, 70, 76, 75, 73, 69, , , , , ,
108075, Eduardo, 69, A, 178, Right, 0, 76, 68, 63, 71, 45, 66, , , , , ,
108080, Stephan Lichtsteiner, 79, D, 183, Right, 0, 79, 58, 74, 71, 79, 73, , , , , ,
10824, Patrick Mtiliga, 69, D, 171, Left, 1, 86, 58, 57, 64, 67, 65, , , , , ,
108583, Kris De Wree, 64, D, 185, Right, 0, 63, 53, 58, 55, 64, 64, , , , , ,
10862, Delron Buckley, 65, M, 177, Left, 0, 75, 64, 57, 68, 48, 56, , , , , ,
10863, Enzo Maresca, 73, M, 180, Right, 1, 53, 75, 80, 72, 63, 49, , , , , ,
108658, Marco Streller, 74, A, 195, Left, 1, 64, 64, 58, 73, 61, 73, , , , , ,
108734, Frankie Hejduk, 62, D, 173, Right, 0, 70, 53, 51, 55, 63, 64, , , , , ,
108750, David Degen, 68, M, 185, Right, 1, 82, 60, 63, 69, 59, 56, , , , , ,
108784, Wim De Decker, 64, M, 186, Right, 0, 43, 52, 56, 50, 68, 69, , , , , ,
1088, Alessandro Nesta, 85, D, 187, Right, 1, 54, 36, 58, 57, 83, 78, , , , , ,
10884, Michael Flynn, 60, M, 178, Right, 0, 57, 58, 55, 56, 67, 65, , , , , ,
10899, Chris Porter, 65, A, 185, Right, 0, 66, 62, 52, 59, 54, 71, , , , , ,
1092, Alan Murphy, 56, A, 174, Left, 0, 59, 57, 54, 57, 41, 53, , , , , ,
109321, Christian Weber, 64, D, 175, Right, 0, 70, 51, 60, 61, 65, 66, , , , , ,
109416, Alexandr Kerzhakov, 82, A, 176, Right, 1, 87, 82, 74, 75, 55, 75, , , , , ,
109493, Bram Castro, 65, GK, 191, Right, 0, , , , , , , 65, 65, 67, 66, 54, 64
10959, Pablo Aimar, 83, M, 170, Right, 1, 75, 73, 83, 86, 49, 62, , , , , ,
109693, Yakubu, 73, A, 183, Right, 1, 67, 74, 57, 72, 57, 75, , , , , ,
109724, Peter Løvenkrands, 71, A, 180, Left, 1, 69, 70, 75, 74, 54, 66, , , , , ,
109809, Youssef El-Akchaoui, 66, D, 174, Left, 0, 65, 66, 68, 64, 66, 65, , , , , ,
109852, Gareth McAuley, 69, D, 191, Right, 0, 55, 38, 52, 36, 73, 75, , , , , ,
1099, Marco Di Vaio, 81, A, 179, Right, 0, 79, 78, 65, 77, 58, 73, , , , , ,
109910, Mark Wilson, 73, D, 178, Right, 0, 72, 36, 67, 66, 71, 74, , , , , ,
109969, Juan Pablo, 73, GK, 187, Right, 1, , , , , , , 77, 72, 69, 79, 55, 68
109973, Ochoa, 62, D, 191, Left, 0, 43, 41, 49, 41, 65, 60, , , , , ,
11, Romain Rocchi, 67, M, 183, Right, 0, 61, 67, 65, 70, 61, 65, , , , , ,
110019, Dorado, 73, D, 180, Left, 0, 59, 33, 55, 45, 72, 72, , , , , ,
110020, Pelegrín, 70, D, 184, Left, 0, 53, 39, 50, 49, 73, 70, , , , , ,
110023, Generelo, 67, M, 183, Right, 0, 57, 67, 71, 57, 67, 52, , , , , ,
110026, Cani, 79, M, 180, Right, 0, 81, 74, 76, 81, 57, 59, , , , , ,
110082, Pinto, 72, GK, 185, Right, 1, , , , , , , 78, 75, 78, 69, 43, 68
110108, Luciano, 62, D, 184, Right, 0, 45, 43, 56, 53, 65, 61, , , , , ,
110117, Borja Oubiña, 64, M, 181, Right, 1, 57, 56, 67, 67, 52, 49, , , , , ,
110146, Dani Mallo, 62, GK, 186, Right, 0, , , , , , , 66, 60, 55, 64, 41, 57
1102, Carlo Cudicini, 76, GK, 185, Right, 0, , , , , , , 74, 79, 69, 77, 42, 76
110272, Josemi, 68, D, 182, Right, 0, 73, 49, 66, 57, 72, 64, , , , , ,
110283, Duda, 76, M, 175, Left, 1, 68, 77, 84, 74, 61, 60, , , , , ,
110291, Manolo, 68, D, 173, Right, 0, 75, 50, 65, 59, 73, 66, , , , , ,
110297, Nacho, 69, D, 175, Left, 0, 73, 55, 69, 68, 70, 60, , , , , ,
110301, Juanma, 67, M, 176, Right, 0, 69, 60, 66, 67, 56, 52, , , , , ,
11031, Sylvain Wiltord, 70, A, 174, Right, 0, 72, 68, 67, 70, 51, 67, , , , , ,
110363, Carlos García, 69, D, 184, Right, 0, 46, 32, 52, 47, 73, 63, , , , , ,
110368, Edu Albácar, 68, D, 177, Left, 0, 74, 65, 68, 65, 67, 63, , , , , ,
110371, Moises Hurtado, 72, M, 185, Right, 1, 43, 50, 62, 52, 77, 63, , , , , ,
110375, Crusat, 74, A, 162, Left, 1, 93, 62, 56, 77, 46, 53, , , , , ,
110376, Jonathan Soriano, 74, A, 180, Right, 1, 74, 72, 59, 70, 52, 74, , , , , ,
110377, Corominas, 68, A, 171, Right, 0, 78, 62, 54, 75, 50, 62, , , , , ,
110379, Tariq, 65, A, 183, Right, 0, 41, 64, 40, 50, 54, 80, , , , , ,
110381, Maximiliano Rodríguez, 78, A, 180, Right, 0, 70, 76, 76, 80, 60, 63, , , , , ,
110389, Carmelo, 70, M, 180, Right, 0, 68, 59, 67, 77, 52, 54, , , , , ,
110402, Sergio, 71, D, 191, Right, 1, 36, 44, 55, 50, 76, 69, , , , , ,
11044, Traianos Dellas, 72, D, 196, Right, 1, 33, 49, 59, 38, 77, 69, , , , , ,
110525, Dele Adebola, 64, A, 191, Left, 1, 34, 65, 50, 62, 58, 75, , , , , ,
11056, Grégory Proment, 69, M, 176, Right, 0, 53, 63, 72, 53, 68, 58, , , , , ,
11061, Paolo Orlandoni, 70, GK, 186, Right, 0, , , , , , , 72, 68, 64, 68, 51, 75
110627, Jofre, 67, M, 171, Left, 0, 71, 57, 60, 73, 43, 54, , , , , ,
110638, Alberto, 64, GK, 190, Right, 1, , , , , , , 57, 68, 60, 61, 47, 75
110652, Riera, 77, A, 188, Left, 0, 77, 74, 75, 79, 58, 65, , , , , ,
110657, Güiza, 74, A, 180, Right, 1, 73, 74, 56, 68, 50, 63, , , , , ,
110677, Moyá, 75, GK, 185, Right, 0, , , , , , , 80, 69, 82, 79, 48, 72
110691, Kike Mateo, 66, M, 176, Right, 0, 63, 63, 60, 64, 62, 68, , , , , ,
110774, Rubén, 74, D, 187, Right, 0, 55, 38, 62, 44, 75, 73, , , , , ,
110787, Borja, 70, M, 188, Right, 0, 51, 66, 73, 54, 74, 65, , , , , ,
110810, Gaspar, 65, D, 182, Right, 0, 49, 44, 54, 45, 69, 59, , , , , ,
110811, Mario, 74, D, 178, Left, 1, 66, 46, 52, 48, 74, 81, , , , , ,
110842, Óscar, 71, M, 176, Right, 1, 69, 72, 71, 68, 51, 62, , , , , ,
110852, De Lucas, 73, M, 175, Right, 1, 72, 72, 77, 71, 50, 55, , , , , ,
110854, Aganzo, 72, A, 177, Left, 1, 67, 66, 46, 69, 49, 84, , , , , ,
110879, Kevin Kyle, 69, A, 191, Right, 0, 68, 67, 55, 61, 68, 71, , , , , ,
110880, Simon Ramsden, 61, D, 183, Right, 0, 65, 42, 49, 55, 66, 66, , , , , ,
110907, Stefan Buck, 64, D, 189, Left, 1, 61, 48, 52, 56, 68, 75, , , , , ,
110920, Alexander Schnetzler, 61, D, 173, Left, 0, 68, 46, 58, 63, 57, 58, , , , , ,
110961, Aranburu, 74, M, 180, Left, 0, 55, 67, 65, 59, 75, 64, , , , , ,
11097, Christian Timm, 63, M, 180, Right, 1, 78, 59, 54, 68, 47, 60, , , , , ,
110974, Riesgo, 73, GK, 185, Right, 1, , , , , , , 77, 72, 61, 72, 59, 76
110979, Labaka, 70, D, 185, Right, 0, 53, 50, 55, 51, 73, 73, , , , , ,
110984, Mikel Alonso, 65, M, 180, Right, 0, 56, 61, 66, 57, 61, 56, , , , , ,
111008, Albelda, 77, M, 181, Right, 0, 49, 64, 70, 63, 79, 62, , , , , ,
111022, David Navarro, 74, D, 183, Right, 1, 65, 49, 62, 53, 76, 75, , , , , ,
111023, Garrido, 74, D, 180, Left, 1, 72, 66, 72, 66, 71, 66, , , , , ,
111033, Tena, 66, D, 185, Right, 0, 61, 41, 45, 49, 68, 79, , , , , ,
111038, Jandro, 70, M, 175, Right, 0, 71, 68, 64, 68, 57, 62, , , , , ,
111040, Pablo Redondo, 68, M, 175, Right, 0, 73, 62, 69, 68, 52, 56, , , , , ,
111041, Albiol, 60, M, 177, Right, 0, 68, 45, 60, 60, 62, 54, , , , , ,
111083, Dani Bautista, 65, D, 177, Left, 0, 75, 51, 65, 60, 66, 66, , , , , ,
111085, Abel, 69, M, 182, Right, 0, 61, 67, 74, 62, 61, 54, , , , , ,
111091, Arteaga, 65, A, 167, Left, 0, 76, 56, 61, 63, 47, 48, , , , , ,
111093, Reyes, 85, A, 176, Left, 1, 88, 79, 78, 87, 47, 52, , , , , ,
111114, Javi Venta, 71, D, 180, Right, 0, 66, 49, 68, 61, 72, 64, , , , , ,
111125, Oguchi Onyewu, 73, D, 194, Right, 1, 50, 44, 49, 33, 81, 62, , , , , ,
111137, Martí, 74, M, 180, Right, 1, 49, 67, 76, 67, 71, 63, , , , , ,
