county,state,total,Obama,Romney,winner,voters,turnout,margin
Juniata,PA,9480,26.719409282700425,71.95147679324894,Romney,13547,69.97859304643094,45.232067510548525
Lackawanna,PA,97116,63.129659376415844,35.76135755179373,Obama,149474,64.97183456654669,27.368301824622126
Lancaster,PA,219677,39.65276292010543,58.888276879236344,Romney,314567,69.83472519367892,19.235513959130913
Lawrence,PA,38816,44.896434460016486,53.882419620774925,Romney,61709,62.90168370902137,8.985985160758432
Lebanon,PA,53771,35.28853843149653,63.24970709118298,Romney,81476,65.9961215572684,27.961168659686443
Lehigh,PA,144922,53.15204040794358,45.60453209312596,Obama,226453,63.99650258552547,7.547508314817626
Luzerne,PA,123741,51.69992161046056,46.847043421339734,Obama,194137,63.73900905030984,4.852878189120819
Lycoming,PA,46214,32.68273683299433,65.97567836586315,Romney,68064,67.89786083685942,33.29294153286882
McKean,PA,15014,35.03396829625683,63.23431463966964,Romney,25861,58.056533003364144,28.200346343412814
Mercer,PA,48065,48.022469572453964,50.56486008530116,Romney,75238,63.88394162524257,2.542390512847209
Mifflin,PA,16311,26.111213291643683,72.91398442768684,Romney,24445,66.72530169768869,46.802771136043155
Monroe,PA,59312,56.364647963312656,42.31858645805233,Obama,108879,54.47515131476226,14.046061505260319
Montgomery,PA,401787,56.63722320533019,42.28683357102146,Obama,551105,72.90570762377405,14.350389634308724
Montour,PA,7787,38.85963785796841,59.535122640297935,Romney,13518,57.604675247817724,20.675484782329523
Northampton,PA,125883,51.64637004202314,47.061159966000176,Obama,209414,60.11202689409495,4.585210076022974
Northumberland,PA,31512,39.32470170093932,58.75856816450876,Romney,54978,57.31747244352287,19.433866463569434
Perry,PA,18240,29.76973684210527,68.59100877192985,Romney,27245,66.94806386492934,38.82127192982458
Philadelphia,PA,653598,85.2242509922001,14.051450585834106,Obama,1099197,59.4614068269837,71.172800406366
Pike,PA,23164,43.90433431186324,54.88257641167329,Romney,41840,55.36328871892925,10.97824209981005
Potter,PA,7205,26.259541984732827,72.15822345593337,Romney,10913,66.02217538715294,45.89868147120054
Schuylkill,PA,57505,42.52325884705678,55.91861577254152,Romney,86316,66.62148385003938,13.39535692548474
Snyder,PA,14962,31.22577195562091,67.17016441652187,Romney,21573,69.35521253418625,35.94439246090096
Somerset,PA,33875,27.80811808118081,70.65682656826569,Romney,51860,65.3200925568839,42.84870848708487
Sullivan,PA,2934,35.03749147920927,63.36059986366735,Romney,4242,69.16548797736917,28.323108384458084
Susquehanna,PA,17930,38.432794199665366,59.87172336865589,Romney,26163,68.53189618927493,21.438929168990526
Tioga,PA,15943,31.69416044659098,66.48058709151353,Romney,26001,61.31687242798354,34.78642664492255
Union,PA,16187,37.455983196392175,60.93161178723668,Romney,23950,67.5866388308977,23.47562859084451
Venango,PA,20775,35.951865222623354,62.22864019253911,Romney,32773,63.39059591737101,26.276774969915756
Warren,PA,16462,41.112865994411365,57.192321710606244,Romney,29111,56.54907079798015,16.079455716194886
Washington,PA,90078,42.74406625369125,56.01256688647617,Romney,142331,63.28768855695527,13.268500632784919
Wayne,PA,20966,38.815224649432416,59.768196127062865,Romney,32577,64.35828959081562,20.952971477630445
Westmoreland,PA,168709,37.56764606511804,61.306154384176295,Romney,238006,70.88434745342555,23.73850831905825
Wyoming,PA,11214,42.91064740502943,55.18994114499732,Romney,17255,64.98985801217039,12.279293739967898
York,PA,186394,38.695451570329524,59.8602959322725,Romney,280280,66.50278293135436,21.164844361942972
