mpg,cyl,displ,hp,weight,accel,yr,origin,name
17.0,6,250.0,100,3329,15.5,1971-01-01,US,chevrolet chevelle malibu
19.0,6,250.0,88,3302,15.5,1971-01-01,US,ford torino 500
18.0,6,232.0,100,3288,15.5,1971-01-01,US,amc matador
14.0,8,350.0,165,4209,12.0,1971-01-01,US,chevrolet impala
14.0,8,400.0,175,4464,11.5,1971-01-01,US,pontiac catalina brougham
14.0,8,351.0,153,4154,13.5,1971-01-01,US,ford galaxie 500
14.0,8,318.0,150,4096,13.0,1971-01-01,US,plymouth fury iii
12.0,8,383.0,180,4955,11.5,1971-01-01,US,dodge monaco (sw)
13.0,8,400.0,170,4746,12.0,1971-01-01,US,ford country squire (sw)
13.0,8,400.0,175,5140,12.0,1971-01-01,US,pontiac safari (sw)
18.0,6,258.0,110,2962,13.5,1971-01-01,US,amc hornet sportabout (sw)
22.0,4,140.0,72,2408,19.0,1971-01-01,US,chevrolet vega (sw)
19.0,6,250.0,100,3282,15.0,1971-01-01,US,pontiac firebird
18.0,6,250.0,88,3139,14.5,1971-01-01,US,ford mustang
23.0,4,122.0,86,2220,14.0,1971-01-01,US,mercury capri 2000
28.0,4,116.0,90,2123,14.0,1971-01-01,Europe,opel 1900
30.0,4,79.0,70,2074,19.5,1971-01-01,Europe,peugeot 304
30.0,4,88.0,76,2065,14.5,1971-01-01,Europe,fiat 124b
31.0,4,71.0,65,1773,19.0,1971-01-01,Asia,toyota corolla 1200
35.0,4,72.0,69,1613,18.0,1971-01-01,Asia,datsun 1200
27.0,4,97.0,60,1834,19.0,1971-01-01,Europe,volkswagen model 111
26.0,4,91.0,70,1955,20.5,1971-01-01,US,plymouth cricket
24.0,4,113.0,95,2278,15.5,1972-01-01,Asia,toyota corona hardtop
25.0,4,97.5,80,2126,17.0,1972-01-01,US,dodge colt hardtop
23.0,4,97.0,54,2254,23.5,1972-01-01,Europe,volkswagen type 3
20.0,4,140.0,90,2408,19.5,1972-01-01,US,chevrolet vega
21.0,4,122.0,86,2226,16.5,1972-01-01,US,ford pinto runabout
13.0,8,350.0,165,4274,12.0,1972-01-01,US,chevrolet impala
14.0,8,400.0,175,4385,12.0,1972-01-01,US,pontiac catalina
15.0,8,318.0,150,4135,13.5,1972-01-01,US,plymouth fury iii
14.0,8,351.0,153,4129,13.0,1972-01-01,US,ford galaxie 500
17.0,8,304.0,150,3672,11.5,1972-01-01,US,amc ambassador sst
11.0,8,429.0,208,4633,11.0,1972-01-01,US,mercury marquis
13.0,8,350.0,155,4502,13.5,1972-01-01,US,buick lesabre custom
12.0,8,350.0,160,4456,13.5,1972-01-01,US,oldsmobile delta 88 royale
13.0,8,400.0,190,4422,12.5,1972-01-01,US,chrysler newport royal
19.0,3,70.0,97,2330,13.5,1972-01-01,Asia,mazda rx2 coupe
15.0,8,304.0,150,3892,12.5,1972-01-01,US,amc matador (sw)
13.0,8,307.0,130,4098,14.0,1972-01-01,US,chevrolet chevelle concours (sw)
13.0,8,302.0,140,4294,16.0,1972-01-01,US,ford gran torino (sw)
14.0,8,318.0,150,4077,14.0,1972-01-01,US,plymouth satellite custom (sw)
18.0,4,121.0,112,2933,14.5,1972-01-01,Europe,volvo 145e (sw)
22.0,4,121.0,76,2511,18.0,1972-01-01,Europe,volkswagen 411 (sw)
21.0,4,120.0,87,2979,19.5,1972-01-01,Europe,peugeot 504 (sw)
26.0,4,96.0,69,2189,18.0,1972-01-01,Europe,renault 12 (sw)
22.0,4,122.0,86,2395,16.0,1972-01-01,US,ford pinto (sw)
28.0,4,97.0,92,2288,17.0,1972-01-01,Asia,datsun 510 (sw)
23.0,4,120.0,97,2506,14.5,1972-01-01,Asia,toyouta corona mark ii (sw)
28.0,4,98.0,80,2164,15.0,1972-01-01,US,dodge colt (sw)
27.0,4,97.0,88,2100,16.5,1972-01-01,Asia,toyota corolla 1600 (sw)
13.0,8,350.0,175,4100,13.0,1973-01-01,US,buick century 350
14.0,8,304.0,150,3672,11.5,1973-01-01,US,amc matador
13.0,8,350.0,145,3988,13.0,1973-01-01,US,chevrolet malibu
14.0,8,302.0,137,4042,14.5,1973-01-01,US,ford gran torino
15.0,8,318.0,150,3777,12.5,1973-01-01,US,dodge coronet custom
12.0,8,429.0,198,4952,11.5,1973-01-01,US,mercury marquis brougham
13.0,8,400.0,150,4464,12.0,1973-01-01,US,chevrolet caprice classic
13.0,8,351.0,158,4363,13.0,1973-01-01,US,ford ltd
14.0,8,318.0,150,4237,14.5,1973-01-01,US,plymouth fury gran sedan
13.0,8,440.0,215,4735,11.0,1973-01-01,US,chrysler new yorker brougham
12.0,8,455.0,225,4951,11.0,1973-01-01,US,buick electra 225 custom
13.0,8,360.0,175,3821,11.0,1973-01-01,US,amc ambassador brougham
18.0,6,225.0,105,3121,16.5,1973-01-01,US,plymouth valiant
16.0,6,250.0,100,3278,18.0,1973-01-01,US,chevrolet nova custom
18.0,6,232.0,100,2945,16.0,1973-01-01,US,amc hornet
18.0,6,250.0,88,3021,16.5,1973-01-01,US,ford maverick
23.0,6,198.0,95,2904,16.0,1973-01-01,US,plymouth duster
26.0,4,97.0,46,1950,21.0,1973-01-01,Europe,volkswagen super beetle
11.0,8,400.0,150,4997,14.0,1973-01-01,US,chevrolet impala
12.0,8,400.0,167,4906,12.5,1973-01-01,US,ford country
13.0,8,360.0,170,4654,13.0,1973-01-01,US,plymouth custom suburb
12.0,8,350.0,180,4499,12.5,1973-01-01,US,oldsmobile vista cruiser
18.0,6,232.0,100,2789,15.0,1973-01-01,US,amc gremlin
20.0,4,97.0,88,2279,19.0,1973-01-01,Asia,toyota carina
21.0,4,140.0,72,2401,19.5,1973-01-01,US,chevrolet vega
22.0,4,108.0,94,2379,16.5,1973-01-01,Asia,datsun 610
18.0,3,70.0,90,2124,13.5,1973-01-01,Asia,maxda rx3
19.0,4,122.0,85,2310,18.5,1973-01-01,US,ford pinto
21.0,6,155.0,107,2472,14.0,1973-01-01,US,mercury capri v6
26.0,4,98.0,90,2265,15.5,1973-01-01,Europe,fiat 124 sport coupe
15.0,8,350.0,145,4082,13.0,1973-01-01,US,chevrolet monte carlo s
16.0,8,400.0,230,4278,9.5,1973-01-01,US,pontiac grand prix
29.0,4,68.0,49,1867,19.5,1973-01-01,Europe,fiat 128
24.0,4,116.0,75,2158,15.5,1973-01-01,Europe,opel manta
20.0,4,114.0,91,2582,14.0,1973-01-01,Europe,audi 100ls
19.0,4,121.0,112,2868,15.5,1973-01-01,Europe,volvo 144ea
15.0,8,318.0,150,3399,11.0,1973-01-01,US,dodge dart custom
24.0,4,121.0,110,2660,14.0,1973-01-01,Europe,saab 99le
20.0,6,156.0,122,2807,13.5,1973-01-01,Asia,toyota mark ii
11.0,8,350.0,180,3664,11.0,1973-01-01,US,oldsmobile omega
20.0,6,198.0,95,3102,16.5,1974-01-01,US,plymouth duster
19.0,6,232.0,100,2901,16.0,1974-01-01,US,amc hornet
15.0,6,250.0,100,3336,17.0,1974-01-01,US,chevrolet nova
31.0,4,79.0,67,1950,19.0,1974-01-01,Asia,datsun b210
26.0,4,122.0,80,2451,16.5,1974-01-01,US,ford pinto
32.0,4,71.0,65,1836,21.0,1974-01-01,Asia,toyota corolla 1200
25.0,4,140.0,75,2542,17.0,1974-01-01,US,chevrolet vega
16.0,6,250.0,100,3781,17.0,1974-01-01,US,chevrolet chevelle malibu classic
16.0,6,258.0,110,3632,18.0,1974-01-01,US,amc matador
18.0,6,225.0,105,3613,16.5,1974-01-01,US,plymouth satellite sebring
16.0,8,302.0,140,4141,14.0,1974-01-01,US,ford gran torino
13.0,8,350.0,150,4699,14.5,1974-01-01,US,buick century luxus (sw)
14.0,8,318.0,150,4457,13.5,1974-01-01,US,dodge coronet custom (sw)
14.0,8,302.0,140,4638,16.0,1974-01-01,US,ford gran torino (sw)
14.0,8,304.0,150,4257,15.5,1974-01-01,US,amc matador (sw)
29.0,4,98.0,83,2219,16.5,1974-01-01,Europe,audi fox
26.0,4,79.0,67,1963,15.5,1974-01-01,Europe,volkswagen dasher
26.0,4,97.0,78,2300,14.5,1974-01-01,Europe,opel manta
31.0,4,76.0,52,1649,16.5,1974-01-01,Asia,toyota corona
32.0,4,83.0,61,2003,19.0,1974-01-01,Asia,datsun 710
28.0,4,90.0,75,2125,14.5,1974-01-01,US,dodge colt
24.0,4,90.0,75,2108,15.5,1974-01-01,Europe,fiat 128
26.0,4,116.0,75,2246,14.0,1974-01-01,Europe,fiat 124 tc
24.0,4,120.0,97,2489,15.0,1974-01-01,Asia,honda civic
26.0,4,108.0,93,2391,15.5,1974-01-01,Asia,subaru
31.0,4,79.0,67,2000,16.0,1974-01-01,Europe,fiat x1.9
19.0,6,225.0,95,3264,16.0,1975-01-01,US,plymouth valiant custom
18.0,6,250.0,105,3459,16.0,1975-01-01,US,chevrolet nova
15.0,6,250.0,72,3432,21.0,1975-01-01,US,mercury monarch
15.0,6,250.0,72,3158,19.5,1975-01-01,US,ford maverick
16.0,8,400.0,170,4668,11.5,1975-01-01,US,pontiac catalina
15.0,8,350.0,145,4440,14.0,1975-01-01,US,chevrolet bel air
16.0,8,318.0,150,4498,14.5,1975-01-01,US,plymouth grand fury
14.0,8,351.0,148,4657,13.5,1975-01-01,US,ford ltd
17.0,6,231.0,110,3907,21.0,1975-01-01,US,buick century
16.0,6,250.0,105,3897,18.5,1975-01-01,US,chevroelt chevelle malibu
15.0,6,258.0,110,3730,19.0,1975-01-01,US,amc matador
18.0,6,225.0,95,3785,19.0,1975-01-01,US,plymouth fury
21.0,6,231.0,110,3039,15.0,1975-01-01,US,buick skyhawk
20.0,8,262.0,110,3221,13.5,1975-01-01,US,chevrolet monza 2+2
13.0,8,302.0,129,3169,12.0,1975-01-01,US,ford mustang ii
29.0,4,97.0,75,2171,16.0,1975-01-01,Asia,toyota corolla
23.0,4,140.0,83,2639,17.0,1975-01-01,US,ford pinto
20.0,6,232.0,100,2914,16.0,1975-01-01,US,amc gremlin
23.0,4,140.0,78,2592,18.5,1975-01-01,US,pontiac astro
24.0,4,134.0,96,2702,13.5,1975-01-01,Asia,toyota corona
25.0,4,90.0,71,2223,16.5,1975-01-01,Europe,volkswagen dasher
24.0,4,119.0,97,2545,17.0,1975-01-01,Asia,datsun 710
18.0,6,171.0,97,2984,14.5,1975-01-01,US,ford pinto
29.0,4,90.0,70,1937,14.0,1975-01-01,Europe,volkswagen rabbit
19.0,6,232.0,90,3211,17.0,1975-01-01,US,amc pacer
23.0,4,115.0,95,2694,15.0,1975-01-01,Europe,audi 100ls
23.0,4,120.0,88,2957,17.0,1975-01-01,Europe,peugeot 504
22.0,4,121.0,98,2945,14.5,1975-01-01,Europe,volvo 244dl
25.0,4,121.0,115,2671,13.5,1975-01-01,Europe,saab 99le
33.0,4,91.0,53,1795,17.5,1975-01-01,Asia,honda civic cvcc
28.0,4,107.0,86,2464,15.5,1976-01-01,Europe,fiat 131
25.0,4,116.0,81,2220,16.9,1976-01-01,Europe,opel 1900
25.0,4,140.0,92,2572,14.9,1976-01-01,US,capri ii
26.0,4,98.0,79,2255,17.7,1976-01-01,US,dodge colt
27.0,4,101.0,83,2202,15.3,1976-01-01,Europe,renault 12tl
17.5,8,305.0,140,4215,13.0,1976-01-01,US,chevrolet chevelle malibu classic
16.0,8,318.0,150,4190,13.0,1976-01-01,US,dodge coronet brougham
15.5,8,304.0,120,3962,13.9,1976-01-01,US,amc matador
14.5,8,351.0,152,4215,12.8,1976-01-01,US,ford gran torino
22.0,6,225.0,100,3233,15.4,1976-01-01,US,plymouth valiant
22.0,6,250.0,105,3353,14.5,1976-01-01,US,chevrolet nova
24.0,6,200.0,81,3012,17.6,1976-01-01,US,ford maverick
22.5,6,232.0,90,3085,17.6,1976-01-01,US,amc hornet
29.0,4,85.0,52,2035,22.2,1976-01-01,US,chevrolet chevette
24.5,4,98.0,60,2164,22.1,1976-01-01,US,chevrolet woody
29.0,4,90.0,70,1937,14.2,1976-01-01,Europe,vw rabbit
33.0,4,91.0,53,1795,17.4,1976-01-01,Asia,honda civic
20.0,6,225.0,100,3651,17.7,1976-01-01,US,dodge aspen se
18.0,6,250.0,78,3574,21.0,1976-01-01,US,ford granada ghia
18.5,6,250.0,110,3645,16.2,1976-01-01,US,pontiac ventura sj
17.5,6,258.0,95,3193,17.8,1976-01-01,US,amc pacer d/l
29.5,4,97.0,71,1825,12.2,1976-01-01,Europe,volkswagen rabbit
32.0,4,85.0,70,1990,17.0,1976-01-01,Asia,datsun b-210
28.0,4,97.0,75,2155,16.4,1976-01-01,Asia,toyota corolla
26.5,4,140.0,72,2565,13.6,1976-01-01,US,ford pinto
20.0,4,130.0,102,3150,15.7,1976-01-01,Europe,volvo 245
13.0,8,318.0,150,3940,13.2,1976-01-01,US,plymouth volare premier v8
19.0,4,120.0,88,3270,21.9,1976-01-01,Europe,peugeot 504
19.0,6,156.0,108,2930,15.5,1976-01-01,Asia,toyota mark ii
16.5,6,168.0,120,3820,16.7,1976-01-01,Europe,mercedes-benz 280s
16.5,8,350.0,180,4380,12.1,1976-01-01,US,cadillac seville
13.0,8,350.0,145,4055,12.0,1976-01-01,US,chevy c10
13.0,8,302.0,130,3870,15.0,1976-01-01,US,ford f108
13.0,8,318.0,150,3755,14.0,1976-01-01,US,dodge d100
31.5,4,98.0,68,2045,18.5,1977-01-01,Asia,honda accord cvcc
30.0,4,111.0,80,2155,14.8,1977-01-01,US,buick opel isuzu deluxe
36.0,4,79.0,58,1825,18.6,1977-01-01,Europe,renault 5 gtl
25.5,4,122.0,96,2300,15.5,1977-01-01,US,plymouth arrow gs
33.5,4,85.0,70,1945,16.8,1977-01-01,Asia,datsun f-10 hatchback
17.5,8,305.0,145,3880,12.5,1977-01-01,US,chevrolet caprice classic
17.0,8,260.0,110,4060,19.0,1977-01-01,US,oldsmobile cutlass supreme
15.5,8,318.0,145,4140,13.7,1977-01-01,US,dodge monaco brougham
15.0,8,302.0,130,4295,14.9,1977-01-01,US,mercury cougar brougham
17.5,6,250.0,110,3520,16.4,1977-01-01,US,chevrolet concours
20.5,6,231.0,105,3425,16.9,1977-01-01,US,buick skylark
19.0,6,225.0,100,3630,17.7,1977-01-01,US,plymouth volare custom
18.5,6,250.0,98,3525,19.0,1977-01-01,US,ford granada
16.0,8,400.0,180,4220,11.1,1977-01-01,US,pontiac grand prix lj
15.5,8,350.0,170,4165,11.4,1977-01-01,US,chevrolet monte carlo landau
15.5,8,400.0,190,4325,12.2,1977-01-01,US,chrysler cordoba
16.0,8,351.0,149,4335,14.5,1977-01-01,US,ford thunderbird
29.0,4,97.0,78,1940,14.5,1977-01-01,Europe,volkswagen rabbit custom
24.5,4,151.0,88,2740,16.0,1977-01-01,US,pontiac sunbird coupe
26.0,4,97.0,75,2265,18.2,1977-01-01,Asia,toyota corolla liftback
25.5,4,140.0,89,2755,15.8,1977-01-01,US,ford mustang ii 2+2
30.5,4,98.0,63,2051,17.0,1977-01-01,US,chevrolet chevette
33.5,4,98.0,83,2075,15.9,1977-01-01,US,dodge colt m/m
30.0,4,97.0,67,1985,16.4,1977-01-01,Asia,subaru dl
30.5,4,97.0,78,2190,14.1,1977-01-01,Europe,volkswagen dasher
22.0,6,146.0,97,2815,14.5,1977-01-01,Asia,datsun 810
21.5,4,121.0,110,2600,12.8,1977-01-01,Europe,bmw 320i
21.5,3,80.0,110,2720,13.5,1977-01-01,Asia,mazda rx-4
43.1,4,90.0,48,1985,21.5,1978-01-01,Europe,volkswagen rabbit custom diesel
36.1,4,98.0,66,1800,14.4,1978-01-01,US,ford fiesta
32.8,4,78.0,52,1985,19.4,1978-01-01,Asia,mazda glc deluxe
39.4,4,85.0,70,2070,18.6,1978-01-01,Asia,datsun b210 gx
36.1,4,91.0,60,1800,16.4,1978-01-01,Asia,honda civic cvcc
19.9,8,260.0,110,3365,15.5,1978-01-01,US,oldsmobile cutlass salon brougham
19.4,8,318.0,140,3735,13.2,1978-01-01,US,dodge diplomat
20.2,8,302.0,139,3570,12.8,1978-01-01,US,mercury monarch ghia
19.2,6,231.0,105,3535,19.2,1978-01-01,US,pontiac phoenix lj
20.5,6,200.0,95,3155,18.2,1978-01-01,US,chevrolet malibu
20.2,6,200.0,85,2965,15.8,1978-01-01,US,ford fairmont (auto)
25.1,4,140.0,88,2720,15.4,1978-01-01,US,ford fairmont (man)
20.5,6,225.0,100,3430,17.2,1978-01-01,US,plymouth volare
19.4,6,232.0,90,3210,17.2,1978-01-01,US,amc concord
20.6,6,231.0,105,3380,15.8,1978-01-01,US,buick century special
20.8,6,200.0,85,3070,16.7,1978-01-01,US,mercury zephyr
18.6,6,225.0,110,3620,18.7,1978-01-01,US,dodge aspen
18.1,6,258.0,120,3410,15.1,1978-01-01,US,amc concord d/l
19.2,8,305.0,145,3425,13.2,1978-01-01,US,chevrolet monte carlo landau
17.7,6,231.0,165,3445,13.4,1978-01-01,US,buick regal sport coupe (turbo)
18.1,8,302.0,139,3205,11.2,1978-01-01,US,ford futura
17.5,8,318.0,140,4080,13.7,1978-01-01,US,dodge magnum xe
30.0,4,98.0,68,2155,16.5,1978-01-01,US,chevrolet chevette
27.5,4,134.0,95,2560,14.2,1978-01-01,Asia,toyota corona
27.2,4,119.0,97,2300,14.7,1978-01-01,Asia,datsun 510
30.9,4,105.0,75,2230,14.5,1978-01-01,US,dodge omni
21.1,4,134.0,95,2515,14.8,1978-01-01,Asia,toyota celica gt liftback
23.2,4,156.0,105,2745,16.7,1978-01-01,US,plymouth sapporo
23.8,4,151.0,85,2855,17.6,1978-01-01,US,oldsmobile starfire sx
23.9,4,119.0,97,2405,14.9,1978-01-01,Asia,datsun 200-sx
20.3,5,131.0,103,2830,15.9,1978-01-01,Europe,audi 5000
17.0,6,163.0,125,3140,13.6,1978-01-01,Europe,volvo 264gl
21.6,4,121.0,115,2795,15.7,1978-01-01,Europe,saab 99gle
16.2,6,163.0,133,3410,15.8,1978-01-01,Europe,peugeot 604sl
31.5,4,89.0,71,1990,14.9,1978-01-01,Europe,volkswagen scirocco
29.5,4,98.0,68,2135,16.6,1978-01-01,Asia,honda accord lx
21.5,6,231.0,115,3245,15.4,1979-01-01,US,pontiac lemans v6
19.8,6,200.0,85,2990,18.2,1979-01-01,US,mercury zephyr 6
22.3,4,140.0,88,2890,17.3,1979-01-01,US,ford fairmont 4
20.2,6,232.0,90,3265,18.2,1979-01-01,US,amc concord dl 6
20.6,6,225.0,110,3360,16.6,1979-01-01,US,dodge aspen 6
17.0,8,305.0,130,3840,15.4,1979-01-01,US,chevrolet caprice classic
17.6,8,302.0,129,3725,13.4,1979-01-01,US,ford ltd landau
16.5,8,351.0,138,3955,13.2,1979-01-01,US,mercury grand marquis
18.2,8,318.0,135,3830,15.2,1979-01-01,US,dodge st. regis
16.9,8,350.0,155,4360,14.9,1979-01-01,US,buick estate wagon (sw)
15.5,8,351.0,142,4054,14.3,1979-01-01,US,ford country squire (sw)
19.2,8,267.0,125,3605,15.0,1979-01-01,US,chevrolet malibu classic (sw)
18.5,8,360.0,150,3940,13.0,1979-01-01,US,chrysler lebaron town @ country (sw)
31.9,4,89.0,71,1925,14.0,1979-01-01,Europe,vw rabbit custom
34.1,4,86.0,65,1975,15.2,1979-01-01,Asia,maxda glc deluxe
35.7,4,98.0,80,1915,14.4,1979-01-01,US,dodge colt hatchback custom
27.4,4,121.0,80,2670,15.0,1979-01-01,US,amc spirit dl
25.4,5,183.0,77,3530,20.1,1979-01-01,Europe,mercedes benz 300d
23.0,8,350.0,125,3900,17.4,1979-01-01,US,cadillac eldorado
27.2,4,141.0,71,3190,24.8,1979-01-01,Europe,peugeot 504
23.9,8,260.0,90,3420,22.2,1979-01-01,US,oldsmobile cutlass salon brougham
34.2,4,105.0,70,2200,13.2,1979-01-01,US,plymouth horizon
34.5,4,105.0,70,2150,14.9,1979-01-01,US,plymouth horizon tc3
31.8,4,85.0,65,2020,19.2,1979-01-01,Asia,datsun 210
37.3,4,91.0,69,2130,14.7,1979-01-01,Europe,fiat strada custom
28.4,4,151.0,90,2670,16.0,1979-01-01,US,buick skylark limited
28.8,6,173.0,115,2595,11.3,1979-01-01,US,chevrolet citation
26.8,6,173.0,115,2700,12.9,1979-01-01,US,oldsmobile omega brougham
33.5,4,151.0,90,2556,13.2,1979-01-01,US,pontiac phoenix
41.5,4,98.0,76,2144,14.7,1980-01-01,Europe,vw rabbit
38.1,4,89.0,60,1968,18.8,1980-01-01,Asia,toyota corolla tercel
32.1,4,98.0,70,2120,15.5,1980-01-01,US,chevrolet chevette
37.2,4,86.0,65,2019,16.4,1980-01-01,Asia,datsun 310
28.0,4,151.0,90,2678,16.5,1980-01-01,US,chevrolet citation
26.4,4,140.0,88,2870,18.1,1980-01-01,US,ford fairmont
24.3,4,151.0,90,3003,20.1,1980-01-01,US,amc concord
19.1,6,225.0,90,3381,18.7,1980-01-01,US,dodge aspen
34.3,4,97.0,78,2188,15.8,1980-01-01,Europe,audi 4000
29.8,4,134.0,90,2711,15.5,1980-01-01,Asia,toyota corona liftback
31.3,4,120.0,75,2542,17.5,1980-01-01,Asia,mazda 626
37.0,4,119.0,92,2434,15.0,1980-01-01,Asia,datsun 510 hatchback
32.2,4,108.0,75,2265,15.2,1980-01-01,Asia,toyota corolla
46.6,4,86.0,65,2110,17.9,1980-01-01,Asia,mazda glc
27.9,4,156.0,105,2800,14.4,1980-01-01,US,dodge colt
40.8,4,85.0,65,2110,19.2,1980-01-01,Asia,datsun 210
44.3,4,90.0,48,2085,21.7,1980-01-01,Europe,vw rabbit c (diesel)
43.4,4,90.0,48,2335,23.7,1980-01-01,Europe,vw dasher (diesel)
36.4,5,121.0,67,2950,19.9,1980-01-01,Europe,audi 5000s (diesel)
30.0,4,146.0,67,3250,21.8,1980-01-01,Europe,mercedes-benz 240d
44.6,4,91.0,67,1850,13.8,1980-01-01,Asia,honda civic 1500 gl
33.8,4,97.0,67,2145,18.0,1980-01-01,Asia,subaru dl
29.8,4,89.0,62,1845,15.3,1980-01-01,Europe,vokswagen rabbit
32.7,6,168.0,132,2910,11.4,1980-01-01,Asia,datsun 280-zx
23.7,3,70.0,100,2420,12.5,1980-01-01,Asia,mazda rx-7 gs
35.0,4,122.0,88,2500,15.1,1980-01-01,Europe,triumph tr7 coupe
32.4,4,107.0,72,2290,17.0,1980-01-01,Asia,honda accord
27.2,4,135.0,84,2490,15.7,1981-01-01,US,plymouth reliant
26.6,4,151.0,84,2635,16.4,1981-01-01,US,buick skylark
25.8,4,156.0,92,2620,14.4,1981-01-01,US,dodge aries wagon (sw)
23.5,6,173.0,110,2725,12.6,1981-01-01,US,chevrolet citation
30.0,4,135.0,84,2385,12.9,1981-01-01,US,plymouth reliant
39.1,4,79.0,58,1755,16.9,1981-01-01,Asia,toyota starlet
39.0,4,86.0,64,1875,16.4,1981-01-01,US,plymouth champ
35.1,4,81.0,60,1760,16.1,1981-01-01,Asia,honda civic 1300
32.3,4,97.0,67,2065,17.8,1981-01-01,Asia,subaru
37.0,4,85.0,65,1975,19.4,1981-01-01,Asia,datsun 210 mpg
37.7,4,89.0,62,2050,17.3,1981-01-01,Asia,toyota tercel
34.1,4,91.0,68,1985,16.0,1981-01-01,Asia,mazda glc 4
34.7,4,105.0,63,2215,14.9,1981-01-01,US,plymouth horizon 4
34.4,4,98.0,65,2045,16.2,1981-01-01,US,ford escort 4w
29.9,4,98.0,65,2380,20.7,1981-01-01,US,ford escort 2h
33.0,4,105.0,74,2190,14.2,1981-01-01,Europe,volkswagen jetta
33.7,4,107.0,75,2210,14.4,1981-01-01,Asia,honda prelude
32.4,4,108.0,75,2350,16.8,1981-01-01,Asia,toyota corolla
32.9,4,119.0,100,2615,14.8,1981-01-01,Asia,datsun 200sx
31.6,4,120.0,74,2635,18.3,1981-01-01,Asia,mazda 626
28.1,4,141.0,80,3230,20.4,1981-01-01,Europe,peugeot 505s turbo diesel
30.7,6,145.0,76,3160,19.6,1981-01-01,Europe,volvo diesel
25.4,6,168.0,116,2900,12.6,1981-01-01,Asia,toyota cressida
24.2,6,146.0,120,2930,13.8,1981-01-01,Asia,datsun 810 maxima
22.4,6,231.0,110,3415,15.8,1981-01-01,US,buick century
26.6,8,350.0,105,3725,19.0,1981-01-01,US,oldsmobile cutlass ls
20.2,6,200.0,88,3060,17.1,1981-01-01,US,ford granada gl
17.6,6,225.0,85,3465,16.6,1981-01-01,US,chrysler lebaron salon
28.0,4,112.0,88,2605,19.6,1982-01-01,US,chevrolet cavalier
27.0,4,112.0,88,2640,18.6,1982-01-01,US,chevrolet cavalier wagon
34.0,4,112.0,88,2395,18.0,1982-01-01,US,chevrolet cavalier 2-door
31.0,4,112.0,85,2575,16.2,1982-01-01,US,pontiac j2000 se hatchback
29.0,4,135.0,84,2525,16.0,1982-01-01,US,dodge aries se
27.0,4,151.0,90,2735,18.0,1982-01-01,US,pontiac phoenix
24.0,4,140.0,92,2865,16.4,1982-01-01,US,ford fairmont futura
36.0,4,105.0,74,1980,15.3,1982-01-01,Europe,volkswagen rabbit l
37.0,4,91.0,68,2025,18.2,1982-01-01,Asia,mazda glc custom l
31.0,4,91.0,68,1970,17.6,1982-01-01,Asia,mazda glc custom
