"country","year","m014","m1524","m2534","m3544","m4554","m5564","m65","mu","f014","f1524","f2534","f3544","f4554","f5564","f65","fu"
"BS",2000,1,2,7,9,4,3,2,NA,2,5,7,8,2,3,1,NA
"BT",2000,6,65,41,30,24,12,2,NA,7,57,34,31,23,3,2,NA
"BW",2000,25,185,605,488,267,135,96,NA,37,335,469,262,98,57,36,NA
"BY",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ",2000,2,5,7,2,6,3,5,NA,0,2,1,2,4,1,4,NA
"CA",2000,5,34,45,46,41,32,79,NA,4,33,40,30,25,12,66,NA
"CD",2000,485,4048,5833,4151,2549,1295,602,NA,718,4422,5146,3309,1724,855,351,NA
"CF",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",2000,0,5,18,10,7,5,8,NA,1,9,12,8,2,1,6,NA
"CI",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK",2000,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"CL",2000,6,81,160,198,150,132,126,NA,10,66,96,70,54,58,83,NA
"CM",2000,41,518,842,584,284,130,75,NA,63,368,530,293,139,60,33,NA
"CN",2000,1131,19111,29399,25206,25593,21429,21771,NA,1420,14536,18496,12377,9899,7102,6296,NA
"CO",2000,246,763,1030,963,743,610,746,NA,194,587,758,523,381,304,510,NA
"CR",2000,14,31,53,62,39,28,49,NA,13,21,33,24,20,23,24,NA
"CU",2000,0,71,167,90,74,55,75,NA,2,9,22,26,22,23,39,NA
"CV",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2000,0,7,31,52,89,61,59,NA,0,15,13,9,10,7,57,NA
"DE",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ",2000,17,302,347,139,67,60,42,NA,12,147,156,47,31,17,10,NA
"DK",2000,5,10,20,24,16,11,14,NA,5,16,15,14,6,7,8,NA
"DO",2000,73,410,481,344,173,125,113,NA,65,317,325,212,115,79,75,NA
"DZ",2000,59,927,1516,610,491,234,299,NA,36,1005,1293,746,314,208,312,NA
"EC",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2000,0,6,31,53,56,35,15,NA,0,9,11,14,11,4,10,NA
"EG",2000,21,641,827,667,476,307,158,NA,55,457,343,257,211,112,48,NA
"ER",2000,9,70,75,57,32,25,20,NA,10,100,87,71,21,12,8,NA
"ES",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ET",2000,915,5095,5187,3082,1495,610,397,NA,1037,4699,4424,2105,976,366,122,NA
"FI",2000,0,3,8,22,19,28,53,NA,0,1,5,3,4,6,49,NA
"FJ",2000,0,8,6,13,5,4,2,NA,0,7,5,7,1,4,0,NA
"FM",2000,0,2,0,1,0,0,1,NA,4,3,1,1,0,1,1,NA
"FR",2000,10,136,248,247,211,125,244,NA,18,108,127,89,46,43,155,NA
"GB",2000,8,86,130,96,87,75,138,NA,9,95,114,60,31,31,67,NA
"GD",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GE",2000,4,76,111,113,63,45,28,NA,1,49,37,33,17,10,5,NA
"GH",2000,73,550,1266,1115,811,495,426,NA,74,456,791,566,338,179,176,NA
"GN",2000,39,551,860,570,282,203,103,NA,66,314,446,245,114,82,45,NA
"GR",2000,1,10,22,32,24,19,46,NA,0,2,9,10,5,6,25,NA
"GT",2000,36,220,236,216,177,112,140,NA,41,199,167,175,135,87,111,NA
"GU",2000,2,1,6,6,9,6,9,NA,0,3,1,2,5,2,2,NA
"GW",2000,2,52,92,80,64,39,19,NA,4,30,46,47,24,15,12,NA
"GY",2000,4,20,19,14,7,6,9,NA,1,11,8,7,5,5,3,NA
"HK",2000,4,78,102,160,211,236,578,NA,5,65,115,86,44,45,211,NA
"HN",2000,30,123,371,246,277,214,43,NA,25,21,269,258,270,160,38,NA
"HR",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HT",2000,67,836,898,613,350,147,118,NA,96,914,857,513,275,132,71,NA
"HU",2000,0,8,24,85,104,58,27,NA,1,7,17,19,22,10,30,NA
"ID",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IE",2000,0,10,7,7,6,4,12,NA,0,13,8,13,6,7,15,NA
"IL",2000,0,16,28,17,24,10,31,NA,2,11,15,7,3,7,25,NA
"IN",2000,1588,20963,31090,30829,24230,15308,8534,NA,2250,14495,17287,11768,7516,4594,2697,NA
"IQ",2000,21,627,317,297,205,135,101,NA,37,338,241,136,134,103,87,NA
"IR",2000,29,438,467,387,295,344,642,NA,77,593,410,322,320,407,647,NA
"IS",2000,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA
"IT",2000,12,63,96,75,58,54,112,NA,6,38,58,33,13,19,39,NA
"JM",2000,0,6,13,13,15,6,5,NA,1,8,8,7,2,5,1,NA
"JO",2000,0,8,16,13,9,14,2,NA,0,8,9,1,2,2,5,NA
"JP",2000,2,246,572,676,1494,1509,3816,NA,5,222,464,213,292,384,1958,NA
"KE",2000,264,3739,6653,3548,1630,630,414,NA,416,3916,4363,1874,831,347,148,NA
"KG",2000,4,128,227,205,115,52,46,NA,6,128,146,100,41,30,29,NA
"KH",2000,26,519,1323,1618,1456,1373,1058,NA,38,457,1157,1649,1798,1459,892,NA
"KI",2000,2,9,3,3,3,8,2,NA,2,5,6,3,4,1,3,NA
"KM",2000,0,18,7,14,9,3,4,NA,1,9,6,12,1,2,1,NA
"KN",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KP",2000,293,928,1508,2927,2519,1167,651,NA,167,683,1121,2004,1524,591,357,NA
"KR",2000,19,821,1085,988,853,731,901,NA,25,546,544,393,220,295,795,NA
"KW",2000,0,10,44,32,21,11,5,NA,1,11,24,12,5,3,1,NA
"KY",2000,0,0,3,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KZ",2000,36,1057,1409,1379,923,439,218,NA,84,999,1079,599,275,202,204,NA
"LA",2000,7,92,128,166,201,177,176,NA,10,59,95,131,122,91,71,NA
"LB",2000,5,16,28,20,15,17,14,NA,4,31,26,9,7,4,6,NA
"LC",2000,0,0,0,1,0,1,2,NA,0,1,0,1,0,1,0,NA
"LK",2000,25,266,459,695,793,484,360,NA,23,312,264,176,202,144,113,NA
"LR",2000,12,133,196,127,52,17,26,NA,21,140,149,88,28,16,16,NA
"LS",2000,8,165,458,517,395,198,76,NA,11,222,336,195,83,36,29,NA
"LT",2000,1,38,97,145,155,74,68,NA,0,20,37,39,32,22,48,NA
"LU",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",2000,0,53,106,124,111,64,34,NA,2,25,41,27,28,7,15,NA
"LY",2000,5,101,239,86,36,29,32,NA,6,43,35,24,24,16,22,NA
"MA",2000,99,2061,2423,1705,855,485,595,NA,170,1530,1121,672,398,406,352,NA
"MC",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",2000,2,52,31,36,13,13,6,NA,1,16,32,45,23,14,6,NA
"MG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MH",2000,3,5,4,1,3,5,3,NA,7,7,3,0,2,2,0,NA
"MK",2000,5,8,14,20,19,20,14,NA,1,15,14,17,5,5,10,NA
"ML",2000,23,206,430,396,297,235,144,NA,14,174,232,152,106,75,43,NA
"MM",2000,88,1459,2636,2781,2161,1235,836,NA,72,1040,1592,1397,987,592,378,NA
"MN",2000,6,181,260,171,68,38,23,NA,32,200,213,113,41,26,17,NA
"MO",2000,0,10,8,25,22,9,17,NA,0,10,4,6,6,3,13,NA
"MP",2000,1,4,8,9,9,3,2,NA,0,10,17,7,3,1,1,NA
"MR",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2000,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MU",2000,2,6,9,18,19,14,8,NA,1,5,8,8,6,7,4,NA
"MV",2000,0,9,10,2,5,5,3,NA,0,11,4,5,4,5,2,NA
"MW",2000,50,653,1476,1113,585,245,114,NA,66,1038,1481,831,401,148,64,NA
"MX",2000,214,1079,1387,1162,1235,972,1126,NA,176,663,828,698,832,595,709,NA
"MY",2000,32,694,1138,1177,908,814,891,NA,41,464,564,424,367,356,286,NA
"MZ",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA",2000,18,269,874,665,300,147,81,NA,16,352,654,348,161,76,52,NA
"NC",2000,1,1,3,4,2,3,4,NA,1,8,1,1,3,2,4,NA
"NE",2000,29,270,174,441,252,151,78,NA,31,123,206,168,151,63,9,NA
"NG",2000,157,2173,3164,1836,1091,566,463,NA,239,2934,2434,1110,676,344,231,NA
"NI",2000,18,194,174,147,108,64,90,NA,34,188,173,98,76,46,61,NA
"NL",2000,0,34,63,41,25,10,21,NA,4,29,22,16,9,5,10,NA
"NO",2000,0,1,9,3,6,2,4,NA,1,3,1,NA,NA,2,5,NA
"NP",2000,170,1904,1763,1713,1491,1294,772,NA,176,1267,1078,833,575,419,228,NA
"NR",2000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"NU",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZ",2000,0,6,5,6,8,10,7,NA,1,6,6,5,0,4,10,NA
"OM",2000,1,8,9,11,12,9,11,NA,2,17,5,7,5,11,6,NA
"PA",2000,3,44,78,61,37,27,26,NA,6,43,34,35,19,12,16,NA
"PE",2000,552,5290,2875,1546,1041,801,796,NA,633,3686,2472,1156,609,499,624,NA
"PF",2000,1,3,3,4,4,4,3,NA,1,4,1,0,1,0,0,NA
"PG",2000,8,87,70,30,21,12,5,NA,6,77,45,21,15,5,1,NA
"PH",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PK",2000,55,498,387,256,232,153,130,NA,130,591,416,274,163,103,56,NA
"PL",2000,1,99,303,812,782,361,434,NA,1,99,158,211,170,82,421,NA
"PR",2000,0,1,4,19,9,10,14,NA,1,4,5,3,7,1,3,NA
"PS",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PT",2000,8,147,375,349,208,140,140,NA,5,114,154,87,41,25,64,NA
"PY",2000,16,112,103,105,86,80,71,NA,12,69,86,41,41,30,46,NA
"QA",2000,0,7,19,9,7,2,1,NA,0,0,4,3,1,0,0,NA
"RO",2000,46,832,1508,1799,1684,916,533,NA,53,701,766,484,341,207,321,NA
"RU",2000,1,295,526,596,402,151,54,NA,1,43,73,74,38,31,44,NA
"RW",2000,155,466,974,824,393,129,56,NA,105,396,473,309,109,52,14,NA
"SA",2000,0,131,268,213,158,86,107,NA,28,172,182,79,51,50,70,NA
"SB",2000,3,13,4,8,8,10,6,NA,8,15,13,7,7,5,2,NA
"SC",2000,NA,NA,2,4,1,1,NA,NA,NA,NA,1,0,1,1,NA,NA
"SD",2000,785,1028,1511,1351,1119,638,677,NA,817,925,1134,905,771,327,323,NA
"SE",2000,0,9,10,12,11,4,25,NA,1,9,8,10,2,2,15,NA
"SG",2000,1,8,9,34,51,26,64,NA,1,9,8,7,9,5,16,NA
"SI",2000,0,3,11,36,22,14,17,NA,0,3,9,3,4,3,20,NA
"SK",2000,2,6,15,31,50,16,32,NA,0,5,9,7,5,4,54,NA
"SL",2000,18,287,486,361,190,113,47,NA,27,249,298,225,92,49,30,NA
"SM",2000,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SN",2000,60,772,1297,857,470,279,189,NA,77,521,540,376,217,107,61,NA
"SO",2000,113,740,724,408,254,195,142,NA,85,354,319,219,110,72,41,NA
"SR",2000,1,6,6,3,2,0,4,NA,2,3,6,3,0,1,1,NA
"ST",2000,1,5,11,4,7,3,10,NA,3,7,15,5,7,4,15,NA
"SV",2000,13,99,124,114,92,62,107,NA,28,81,76,63,63,39,47,NA
"SY",2000,8,359,289,125,86,76,55,NA,23,195,101,53,46,38,28,NA
"SZ",2000,11,130,352,249,138,37,17,NA,10,198,298,62,62,24,5,NA
"TC",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TG",2000,4,101,168,144,109,48,39,NA,13,107,124,50,36,24,15,NA
"TH",2000,27,859,2570,2380,2117,1908,2213,NA,32,624,1035,780,873,1016,1321,NA
"TJ",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TK",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TM",2000,16,103,185,144,127,31,21,NA,19,73,140,76,31,34,17,NA
"TN",2000,16,139,208,156,109,65,101,NA,7,68,59,43,21,21,58,NA
"TO",2000,NA,2,1,1,NA,1,5,NA,NA,1,1,1,NA,1,1,NA
"TR",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TT",2000,0,7,18,27,17,7,7,NA,0,5,7,9,5,2,4,NA
"TV",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZ",2000,200,2357,4836,3430,2022,1202,834,NA,257,2106,3426,1738,868,494,269,NA
"UA",2000,21,693,1552,2385,2007,1062,532,NA,41,487,590,447,298,218,405,NA
"UG",2000,283,1511,3497,2479,1279,607,395,NA,400,1649,2782,1510,671,316,163,NA
"US",2000,6,365,602,906,904,577,738,NA,14,246,376,349,253,152,396,NA
"UY",2000,0,36,48,45,41,30,34,NA,2,28,22,21,13,12,16,NA
"UZ",2000,6,351,749,510,346,213,107,NA,11,261,547,288,213,112,111,NA
"VC",2000,0,1,0,4,2,0,1,NA,1,0,0,0,0,0,0,NA
"VE",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VG",2000,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VN",2000,51,2367,6147,8209,6713,5150,7712,NA,64,1334,2320,2754,2594,2847,4907,NA
"VU",2000,2,7,5,1,10,5,2,NA,5,3,15,7,3,3,1,NA
"WS",2000,0,3,1,1,1,2,1,NA,0,2,1,1,0,0,0,NA
"YE",2000,110,789,689,493,314,255,127,NA,161,799,627,517,345,247,92,NA
"YU",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZA",2000,116,723,1999,2135,1146,435,212,NA,122,1283,1716,933,423,167,80,NA
"ZM",2000,349,2175,2610,3045,435,261,174,NA,150,932,1118,1305,186,112,75,NA
"ZW",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
