
   Detailed Statistics  
    Departures 
  
  Airport: Austin-Round Rock, TX - Austin-Bergstrom International (AUS)
  Airline: Southwest Airlines (WN)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  WN,07/01/2015,1403,N8320J,LAS,11:25,11:25,0165 ,0149,0,11:36,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,1694,N248WN,PHX,07:00,07:07,0140 ,0130,7,07:18,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,1901,N374SW,MCO,10:25,10:30,0155 ,0158,5,10:40,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,2263,N494WN,DAL,18:40,18:56,0055 ,0053,16,19:05,0009,0000,0000,0000,0000,0000,
  WN,07/01/2015,2284,N375SW,FLL,16:45,20:22,0165 ,0157,217,20:30,0008,0196,0000,0000,0000,0013,
  WN,07/01/2015,2495,N908WN,SNA,07:35,07:39,0180 ,0158,4,07:48,0009,0000,0000,0000,0000,0000,
  WN,07/01/2015,2876,N467WN,STL,13:25,13:23,0120 ,0117,-2,13:34,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,2950,N720WN,DAL,14:05,14:11,0055 ,0068,6,14:31,0020,0006,0000,0013,0000,0000,
  WN,07/01/2015,3047,N8322X,LAS,20:20,21:02,0165 ,0152,42,21:11,0009,0000,0000,0000,0000,0029,
  WN,07/01/2015,3054,N467WN,PDX,18:45,18:57,0245 ,0233,12,19:09,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,3304,N486WN,ATL,18:10,19:09,0135 ,0142,59,19:24,0015,0000,0000,0057,0000,0009,
  WN,07/01/2015,3307,N621SW,HRL,09:15,09:14,0060 ,0060,-1,09:24,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,3933,N7749B,ELP,10:40,10:39,0090 ,0083,-1,10:51,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,3937,N229WN,DAL,08:10,08:12,0060 ,0057,2,08:19,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,4195,N522SW,ELP,14:25,14:25,0090 ,0089,0,14:42,0017,0000,0000,0000,0000,0000,
  WN,07/01/2015,4551,N642WN,DEN,08:30,08:33,0125 ,0125,3,08:45,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,4621,N736SA,SAN,11:35,12:00,0175 ,0152,25,12:10,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,4630,N918WN,DEN,05:50,05:52,0130 ,0127,2,06:04,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,4819,N7707C,PHX,17:25,17:22,0150 ,0127,-3,17:33,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,4913,N781WN,TPA,11:35,11:50,0140 ,0132,15,11:57,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,4924,N757LV,LAX,16:00,16:15,0185 ,0169,15,16:27,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,4927,N8609A,DCA,12:40,12:38,0195 ,0178,-2,12:49,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,5888,N521SW,DAL,20:00,20:51,0055 ,0057,51,21:02,0011,0000,0000,0002,0000,0051,
  WN,07/02/2015,0103,N8604K,MDW,06:30,06:31,0165 ,0161,1,06:56,0025,0000,0000,0000,0000,0000,
  WN,07/02/2015,0144,N8633A,SAN,20:55,21:31,0170 ,0158,36,21:43,0012,0024,0000,0000,0000,0000,
  WN,07/02/2015,0178,N636WN,ELP,20:30,21:45,0090 ,0086,75,21:53,0008,0000,0000,0000,0000,0071,
  WN,07/02/2015,0232,N913WN,ATL,05:45,05:49,0135 ,0134,4,05:57,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0238,N915WN,DAL,12:30,12:29,0055 ,0046,-1,12:34,0005,0000,0000,0000,0000,0000,
  WN,07/02/2015,0285,N522SW,DAL,09:25,09:22,0055 ,0051,-3,09:32,0010,0000,0000,0000,0000,0000,
  WN,07/02/2015,0311,N470WN,MDW,15:05,15:07,0150 ,0157,2,15:16,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,0329,N522SW,HOU,16:00,15:59,0050 ,0047,-1,16:07,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0341,N916WN,OAK,18:00,18:57,0225 ,0205,57,19:05,0008,0001,0000,0000,0000,0036,
  WN,07/02/2015,0356,N620SW,PHX,20:10,21:36,0140 ,0132,86,21:46,0010,0000,0000,0000,0000,0078,
  WN,07/02/2015,0359,N7752B,EWR,06:45,06:43,0225 ,0222,-2,06:53,0010,0000,0000,0000,0000,0000,
  WN,07/02/2015,0419,N207WN,MDW,18:15,18:18,0155 ,0147,3,18:27,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,0454,N526SW,HOU,11:30,11:26,0050 ,0045,-4,11:34,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0554,N733SA,DEN,20:25,20:49,0135 ,0142,24,21:01,0012,0004,0000,0007,0000,0020,
  WN,07/02/2015,0556,N8648A,BWI,06:00,06:20,0200 ,0187,20,06:29,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,0604,N8649A,DEN,14:50,14:50,0130 ,0133,0,15:06,0016,0000,0000,0000,0000,0000,
  WN,07/02/2015,0622,N7716A,MSY,07:20,07:15,0085 ,0078,-5,07:28,0013,0000,0000,0000,0000,0000,
  WN,07/02/2015,0626,N640SW,HOU,05:35,05:34,0045 ,0045,-1,05:46,0012,0000,0000,0000,0000,0000,
  WN,07/02/2015,0657,N947WN,DAL,17:25,20:46,0055 ,0056,201,20:58,0012,0000,0000,0001,0000,0201,
  WN,07/02/2015,0658,N249WN,DEN,10:45,10:53,0130 ,0123,8,11:01,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0664,N908WN,SJC,06:35,06:34,0220 ,0193,-1,06:44,0010,0000,0000,0000,0000,0000,
  WN,07/02/2015,0686,N8639B,MCO,17:25,17:25,0155 ,0151,0,17:33,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0709,N624SW,FLL,11:10,11:10,0165 ,0163,0,11:21,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,0771,N943WN,HOU,18:40,18:53,0050 ,0041,13,19:00,0007,0000,0000,0000,0000,0000,
  WN,07/02/2015,0801,N387SW,DAL,15:35,16:00,0060 ,0062,25,16:11,0011,0006,0000,0002,0000,0019,
  WN,07/02/2015,0829,N756SA,BWI,17:10,17:30,0205 ,0193,20,17:42,0012,0000,0000,0000,0000,0000,
  WN,07/02/2015,0836,N8647A,BNA,13:30,13:23,0120 ,0118,-7,13:31,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,0857,N778SW,DAL,10:30,11:44,0055 ,0050,74,11:51,0007,0003,0000,0000,0000,0066,
  WN,07/02/2015,0862,N8617E,SJC,18:35,18:39,0215 ,0196,4,18:50,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,0891,N521SW,LBB,16:20,16:16,0070 ,0069,-4,16:27,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,0893,N493WN,LAS,05:35,05:34,0165 ,0149,-1,05:42,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,1017,N524SW,DAL,06:30,06:26,0060 ,0063,-4,06:40,0014,0000,0000,0000,0000,0000,
  WN,07/02/2015,1030,N8305E,PHX,12:25,12:22,0140 ,0125,-3,12:33,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,1249,N570WN,LAX,05:30,05:38,0185 ,0171,8,05:47,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,1255,N778SW,BNA,05:10,05:34,0120 ,0170,24,05:42,0008,0024,0000,0050,0000,0000,
  WN,07/02/2015,1403,N8617E,LAS,11:25,11:26,0165 ,0157,1,11:35,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,1694,N237WN,PHX,07:00,07:00,0140 ,0125,0,07:14,0014,0000,0000,0000,0000,0000,
  WN,07/02/2015,1901,N371SW,MCO,10:25,11:06,0155 ,0156,41,11:13,0007,0004,0000,0001,0000,0037,
  WN,07/02/2015,2263,N228WN,DAL,18:40,18:42,0055 ,0051,2,18:51,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,2284,N273WN,FLL,16:45,16:46,0165 ,0165,1,17:02,0016,0000,0000,0000,0000,0000,
  WN,07/02/2015,2495,N957WN,SNA,07:35,07:34,0180 ,0160,-1,07:45,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,2876,N633SW,STL,13:25,13:31,0120 ,0113,6,13:39,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,2950,N7750A,DAL,14:05,14:35,0055 ,0052,30,14:42,0007,0000,0000,0000,0000,0027,
  WN,07/02/2015,3047,N8623F,LAS,20:20,20:18,0165 ,0160,-2,20:27,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,3054,N957WN,PDX,18:45,21:09,0245 ,0234,144,21:19,0010,0133,0000,0000,0000,0000,
  WN,07/02/2015,3304,N276WN,ATL,18:10,18:18,0135 ,0138,8,18:30,0012,0000,0000,0000,0000,0000,
  WN,07/02/2015,3307,N359SW,HRL,09:15,09:13,0060 ,0057,-2,09:23,0010,0000,0000,0000,0000,0000,
  WN,07/02/2015,3933,N243WN,ELP,10:40,10:44,0090 ,0083,4,10:56,0012,0000,0000,0000,0000,0000,
  WN,07/02/2015,3937,N566WN,DAL,08:10,08:05,0060 ,0053,-5,08:14,0009,0000,0000,0000,0000,0000,
  WN,07/02/2015,4195,N527SW,ELP,14:25,14:25,0090 ,0083,0,14:36,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,4551,N647SW,DEN,08:30,08:35,0125 ,0138,5,08:51,0016,0000,0000,0018,0000,0000,
  WN,07/02/2015,4621,N631SW,SAN,11:35,11:32,0175 ,0157,-3,11:45,0013,0000,0000,0000,0000,0000,
  WN,07/02/2015,4630,N624SW,DEN,05:50,05:50,0130 ,0130,0,06:02,0012,0000,0000,0000,0000,0000,
  WN,07/02/2015,4819,N7813P,PHX,17:25,17:24,0150 ,0122,-1,17:35,0011,0000,0000,0000,0000,0000,
  WN,07/02/2015,4913,N625SW,TPA,11:35,11:55,0140 ,0135,20,12:03,0008,0004,0000,0000,0000,0011,
  WN,07/02/2015,4924,N379SW,LAX,16:00,16:07,0185 ,0173,7,16:23,0016,0000,0000,0000,0000,0000,
  WN,07/02/2015,4927,N8633A,DCA,12:40,12:42,0195 ,0190,2,12:50,0008,0000,0000,0000,0000,0000,
  WN,07/02/2015,5888,N528SW,DAL,20:00,20:03,0055 ,0053,3,20:11,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,0187,N515SW,DAL,19:40,19:41,0055 ,0046,1,19:48,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,0211,N435WN,OAK,18:00,18:15,0225 ,0210,15,18:23,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,0323,N394SW,FLL,11:10,11:06,0165 ,0162,-4,11:17,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,0359,N250WN,EWR,06:45,07:13,0225 ,0218,28,07:23,0010,0021,0000,0000,0000,0000,
  WN,07/03/2015,0413,N8633A,SAN,20:55,21:40,0170 ,0158,45,21:48,0008,0033,0000,0000,0000,0000,
  WN,07/03/2015,0622,N728SW,MSY,07:20,07:18,0085 ,0073,-2,07:28,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,0626,N275WN,HOU,05:35,05:42,0045 ,0046,7,05:51,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,0657,N397SW,DAL,17:25,17:23,0055 ,0064,-2,17:37,0014,0000,0000,0000,0000,0000,
  WN,07/03/2015,0687,N269WN,HOU,18:40,18:50,0050 ,0052,10,19:05,0015,0000,0000,0000,0000,0000,
  WN,07/03/2015,0689,N378SW,DAL,15:00,14:59,0060 ,0050,-1,15:06,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,0799,N781WN,ATL,05:45,05:54,0135 ,0142,9,06:10,0016,0000,0000,0007,0009,0000,
  WN,07/03/2015,0829,N712SW,BWI,17:10,17:16,0205 ,0188,6,17:23,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,0893,N7704B,LAS,05:30,05:47,0165 ,0151,17,05:58,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,0938,N8659D,BNA,13:30,13:29,0120 ,0118,-1,13:36,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,0949,N7718B,DAL,12:30,12:38,0055 ,0048,8,12:45,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,1017,N524SW,DAL,06:35,06:33,0060 ,0056,-2,06:42,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,1061,N435WN,SJC,06:30,06:44,0220 ,0195,14,06:55,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,1146,N629SW,DAL,10:30,11:05,0055 ,0052,35,11:15,0010,0005,0000,0000,0000,0027,
  WN,07/03/2015,1249,N487WN,LAX,05:10,05:16,0185 ,0174,6,05:30,0014,0000,0000,0000,0000,0000,
  WN,07/03/2015,1270,N8654B,LAS,11:25,11:23,0165 ,0153,-2,11:32,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,1448,N8654B,SJC,18:35,18:31,0215 ,0209,-4,18:43,0012,0000,0000,0000,0000,0000,
  WN,07/03/2015,1530,N637SW,DAL,21:55,22:27,0055 ,0050,32,22:35,0008,0000,0000,0000,0000,0027,
  WN,07/03/2015,1567,N8631A,MDW,06:30,06:51,0165 ,0150,21,07:01,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,1622,N719SW,PHX,20:05,20:01,0140 ,0128,-4,20:09,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,1653,N943WN,MDW,15:05,15:06,0150 ,0143,1,15:16,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,1694,N633SW,PHX,07:00,07:03,0140 ,0133,3,07:15,0012,0000,0000,0000,0000,0000,
  WN,07/03/2015,1717,N410WN,MDW,18:15,18:16,0155 ,0149,1,18:24,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,1818,N520SW,DAL,09:25,09:24,0055 ,0058,-1,09:36,0012,0000,0000,0000,0000,0000,
  WN,07/03/2015,1821,N201LV,DEN,08:30,08:31,0125 ,0129,1,08:38,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,1887,N389SW,SAN,11:30,11:40,0175 ,0161,10,11:53,0013,0000,0000,0000,0000,0000,
  WN,07/03/2015,2018,N8637A,DEN,14:50,14:48,0130 ,0128,-2,14:58,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,2028,N520SW,LBB,16:00,15:51,0070 ,0061,-9,15:58,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,2072,N8318F,MCO,17:25,17:41,0155 ,0142,16,17:48,0007,0000,0000,0000,0000,0000,
  WN,07/03/2015,2073,N793SA,DEN,10:45,10:43,0130 ,0125,-2,10:54,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,2109,N8323C,PHX,12:30,12:28,0135 ,0128,-2,12:37,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,2120,N8625A,BWI,06:00,06:18,0200 ,0180,18,06:28,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,2125,N525SW,HOU,16:00,15:58,0050 ,0043,-2,16:06,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,2249,N522SW,HOU,10:55,10:55,0050 ,0046,0,11:03,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,2263,N480WN,DAL,18:40,19:33,0055 ,0051,53,19:42,0009,0000,0000,0000,0000,0049,
  WN,07/03/2015,2280,N218WN,ELP,11:40,11:41,0090 ,0090,1,11:52,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,2495,N725SW,SNA,07:30,07:30,0180 ,0168,0,07:41,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,2876,N957WN,STL,13:25,13:25,0120 ,0118,0,13:33,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,2950,N479WN,DAL,14:00,14:19,0055 ,0053,19,14:28,0009,0002,0000,0000,0000,0015,
  WN,07/03/2015,3047,N8326F,LAS,20:20,20:13,0165 ,0164,-7,20:22,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,3054,N957WN,PDX,18:45,18:45,0245 ,0239,0,18:55,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,3304,N478WN,ATL,18:15,18:29,0135 ,0124,14,18:38,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,3307,N429WN,HRL,09:10,09:08,0060 ,0056,-2,09:18,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,3937,N280WN,DAL,08:20,08:18,0055 ,0053,-2,08:26,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,4096,N629SW,BNA,05:30,05:33,0120 ,0120,3,05:44,0011,0000,0000,0000,0000,0000,
  WN,07/03/2015,4195,N387SW,ELP,14:25,14:17,0090 ,0090,-8,14:30,0013,0000,0000,0000,0000,0000,
  WN,07/03/2015,4787,N394SW,DEN,05:50,05:49,0130 ,0130,-1,06:02,0013,0000,0000,0000,0000,0000,
  WN,07/03/2015,4819,N554WN,PHX,17:25,17:20,0150 ,0132,-5,17:30,0010,0000,0000,0000,0000,0000,
  WN,07/03/2015,4913,N605SW,TPA,11:35,11:32,0140 ,0143,-3,11:41,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,4924,N636WN,LAX,16:00,15:56,0185 ,0169,-4,16:04,0008,0000,0000,0000,0000,0000,
  WN,07/03/2015,4927,N8633A,DCA,12:40,12:38,0195 ,0182,-2,12:47,0009,0000,0000,0000,0000,0000,
  WN,07/03/2015,5366,N657SW,MCO,10:25,10:20,0155 ,0149,-5,10:28,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,0022,N778SW,MDW,17:35,17:35,0155 ,0148,0,17:45,0010,0000,0000,0000,0000,0000,
  WN,07/04/2015,0057,N8609A,LAX,07:25,07:23,0185 ,0176,-2,07:35,0012,0000,0000,0000,0000,0000,
  WN,07/04/2015,0113,N929WN,MCO,16:25,16:33,0155 ,0148,8,16:42,0009,0000,0000,0000,0000,0000,
  WN,07/04/2015,0153,N299WN,BWI,16:10,16:04,0205 ,0191,-6,16:12,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,0184,N632SW,DEN,13:35,13:40,0135 ,0126,5,13:51,0011,0000,0000,0000,0000,0000,
  WN,07/04/2015,0351,N515SW,DAL,07:35,07:48,0055 ,0058,13,07:58,0010,0013,0000,0003,0000,0000,
  WN,07/04/2015,0414,N622SW,ATL,06:50,06:50,0135 ,0143,0,06:57,0007,0000,0000,0000,0000,0000,
  WN,07/04/2015,0422,N361SW,LBB,13:55,13:52,0070 ,0065,-3,14:03,0011,0000,0000,0000,0000,0000,
  WN,07/04/2015,0428,N929WN,BNA,06:40,06:37,0120 ,0123,-3,06:49,0012,0000,0000,0000,0000,0000,
  WN,07/04/2015,0437,N795SW,EWR,06:45,06:46,0225 ,0206,1,06:53,0007,0000,0000,0000,0000,0000,
  WN,07/04/2015,0444,N7727A,MSY,11:45,11:45,0085 ,0080,0,11:57,0012,0000,0000,0000,0000,0000,
  WN,07/04/2015,0466,N738CB,DAL,18:40,18:36,0055 ,0050,-4,18:44,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,0598,N791SW,DEN,06:25,06:24,0130 ,0132,-1,06:35,0011,0000,0000,0000,0000,0000,
  WN,07/04/2015,0802,N7701B,DAL,14:05,14:03,0055 ,0054,-2,14:15,0012,0000,0000,0000,0000,0000,
  WN,07/04/2015,0814,N617SW,BWI,05:40,05:36,0195 ,0195,-4,05:44,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,0984,N7729A,PHX,09:35,09:30,0140 ,0135,-5,09:43,0013,0000,0000,0000,0000,0000,
  WN,07/04/2015,1178,N901WN,SJC,13:10,13:12,0215 ,0198,2,13:23,0011,0000,0000,0000,0000,0000,
  WN,07/04/2015,1202,N267WN,DCA,13:05,13:01,0195 ,0172,-4,13:08,0007,0000,0000,0000,0000,0000,
  WN,07/04/2015,1204,N521SW,HRL,10:50,10:50,0060 ,0060,0,11:02,0012,0000,0000,0000,0000,0000,
  WN,07/04/2015,1219,N296WN,FLL,11:05,11:01,0165 ,0156,-4,11:09,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,1237,N725SW,HOU,07:40,07:36,0050 ,0056,-4,07:44,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,1402,N608SW,PHX,16:05,16:00,0135 ,0131,-5,16:08,0008,0000,0000,0000,0000,0000,
  WN,07/04/2015,1471,N8617E,MCO,07:10,07:12,0155 ,0150,2,07:22,0010,0000,0000,0000,0000,0000,
  WN,07/04/2015,1474,N354SW,LAS,10:35,10:33,0170 ,0159,-2,10:44,0011,0000,0000,0000,0000,0000,
