CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Antigua and Barbuda,ATG,1961,55403.0,39.04
Argentina,ARG,1961,20953079.0,74.217
Armenia,ARM,1961,1934239.0,52.147
Aruba,ABW,1961,55435.0,50.761
Australia,AUS,1961,10483000.0,81.941
Austria,AUT,1961,7086299.0,64.814
Azerbaijan,AZE,1961,4030130.0,52.364
"Bahamas, The",BHS,1961,115108.0,60.45399999999999
Bahrain,BHR,1961,167924.0,82.337
Bangladesh,BGD,1961,49593610.0,5.278
Barbados,BRB,1961,231674.0,36.849000000000004
Belarus,BLR,1961,8271216.0,33.522
Belgium,BEL,1961,9183948.0,92.554
Belize,BLZ,1961,94701.0,53.72
Benin,BEN,1961,2466002.0,9.856
Bermuda,BMU,1961,45500.0,100.0
Bhutan,BTN,1961,229297.0,3.792
Bolivia,BOL,1961,3764815.0,37.059
Bosnia and Herzegovina,BIH,1961,3277096.0,19.686
Botswana,BWA,1961,536576.0,3.097
Brazil,BRA,1961,74706888.0,47.122
Brunei Darussalam,BRN,1961,85687.0,45.228
Bulgaria,BGR,1961,7943118.0,38.782
Burkina Faso,BFA,1961,4894578.0,4.796
Burundi,BDI,1961,2840375.0,2.115
Cabo Verde,CPV,1961,205958.0,16.948
Cambodia,KHM,1961,5872247.0,10.293
Cameroon,CMR,1961,5474509.0,14.488
Canada,CAN,1961,18271000.0,69.668
Cayman Islands,CYM,1961,8026.0,100.0
Central African Republic,CAF,1961,1529229.0,20.750999999999998
Chad,TCD,1961,3061423.0,6.962000000000001
Channel Islands,CHI,1961,110399.0,38.436
Chile,CHL,1961,7873504.0,68.66
China,CHN,1961,660330000.0,16.708
Colombia,COL,1961,16982313.0,46.327
Comoros,COM,1961,191828.0,13.347999999999999
"Congo, Dem. Rep.",ZAR,1961,15637715.0,22.523000000000003
"Congo, Rep.",COG,1961,1039966.0,32.318000000000005
Costa Rica,CRI,1961,1381920.0,34.329
Cote d'Ivoire,CIV,1961,3602075.0,18.910999999999998
Croatia,HRV,1961,4171672.0,31.04
Cuba,CUB,1961,7289828.0,58.588
Curacao,CUW,1961,126125.0,75.102
Cyprus,CYP,1961,576395.0,36.175
Czech Republic,CZE,1961,9586651.0,60.063
Denmark,DNK,1961,4611687.0,74.417
Djibouti,DJI,1961,88499.0,51.448
Dominica,DMA,1961,61035.0,37.912
Dominican Republic,DOM,1961,3406299.0,31.141
Ecuador,ECU,1961,4676858.0,34.466
"Egypt, Arab Rep.",EGY,1961,27810001.0,38.272
El Salvador,SLV,1961,2843246.0,38.516
Equatorial Guinea,GNQ,1961,255100.0,26.144000000000002
Eritrea,ERI,1961,1441297.0,10.059
Estonia,EST,1961,1225077.0,58.303999999999995
Ethiopia,ETH,1961,22671131.0,6.65
Faeroe Islands,FRO,1961,34730.0,22.141
Fiji,FJI,1961,407152.0,30.248
Finland,FIN,1961,4461005.0,56.321000000000005
France,FRA,1961,47444751.0,62.607
French Polynesia,PYF,1961,80706.0,43.217
Gabon,GAB,1961,504174.0,18.33
"Gambia, The",GMB,1961,376736.0,12.331
Georgia,GEO,1961,3703600.0,43.559
Germany,DEU,1961,73377632.0,71.697
Ghana,GHA,1961,6866545.0,23.796999999999997
Greece,GRC,1961,8398050.0,56.453
Greenland,GRL,1961,33700.0,59.806000000000004
Grenada,GRD,1961,91260.0,30.519000000000002
Guam,GUM,1961,68073.0,51.23
Guatemala,GTM,1961,4240084.0,31.768
Guinea,GIN,1961,3633778.0,10.936
Guinea-Bissau,GNB,1961,623413.0,13.747
Guyana,GUY,1961,582034.0,29.049
Haiti,HTI,1961,3943363.0,15.975
Honduras,HND,1961,2069085.0,23.318
"Hong Kong SAR, China",HKG,1961,3168100.0,85.29299999999999
Hungary,HUN,1961,10029321.0,56.335
Iceland,ISL,1961,179029.0,80.803
India,IND,1961,458691457.0,18.032
Indonesia,IDN,1961,90138235.0,14.821
"Iran, Islamic Rep.",IRN,1961,22480420.0,34.389
Iraq,IRQ,1961,7475354.0,44.431999999999995
Ireland,IRL,1961,2824400.0,46.24
Isle of Man,IMY,1961,48353.0,55.345
Israel,ISR,1961,2185000.0,77.985
Italy,ITA,1961,50536350.0,59.856
Jamaica,JAM,1961,1651915.0,34.5
Japan,JPN,1961,94943000.0,64.21300000000001
Jordan,JOR,1961,891451.0,52.412
Kazakhstan,KAZ,1961,10129861.0,44.746
Kenya,KEN,1961,8361442.0,7.565
Kiribati,KIR,1961,42261.0,16.918
"Korea, Dem. Rep.",PRK,1961,11665593.0,41.162
"Korea, Rep.",KOR,1961,25765673.0,28.531
Kuwait,KWT,1961,294639.0,75.78699999999999
Kyrgyz Republic,KGZ,1961,2255900.0,34.510999999999996
Lao PDR,LAO,1961,2169287.0,8.02
Latvia,LVA,1961,2152681.0,53.663000000000004
Lebanon,LBN,1961,1864605.0,44.038999999999994
Lesotho,LSO,1961,866253.0,3.96
Liberia,LBR,1961,1144896.0,19.291
Libya,LBY,1961,1483856.0,28.197
Liechtenstein,LIE,1961,16894.0,20.315
Lithuania,LTU,1961,2823550.0,40.443000000000005
Luxembourg,LUX,1961,316845.0,69.92699999999999
"Macao SAR, China",MAC,1961,175135.0,95.32799999999999
"Macedonia, FYR",MKD,1961,1507653.0,35.214
Madagascar,MDG,1961,5223621.0,10.970999999999998
Malawi,MWI,1961,3700032.0,4.489
Malaysia,MYS,1961,8429369.0,27.241
Maldives,MDV,1961,92327.0,11.23
Mali,MLI,1961,5322267.0,11.360999999999999
Malta,MLT,1961,325250.0,90.069
Marshall Islands,MHL,1961,15052.0,36.959
Mauritania,MRT,1961,883223.0,7.435
Mauritius,MUS,1961,680757.0,33.637
Mexico,MEX,1961,39394125.0,51.59
"Micronesia, Fed. Sts.",FSM,1961,45956.0,22.553
Moldova,MDA,1961,2605000.0,24.215999999999998
Monaco,MCO,1961,22812.0,100.0
Mongolia,MNG,1961,982180.0,37.681999999999995
Montenegro,MNE,1961,480359.0,19.502
Morocco,MAR,1961,12713043.0,29.849
Mozambique,MOZ,1961,7643290.0,4.949
Myanmar,MMR,1961,21961594.0,19.566
Namibia,NAM,1961,617282.0,18.334
Nepal,NPL,1961,10215153.0,3.571
Netherlands,NLD,1961,11638712.0,60.02
New Caledonia,NCL,1961,81200.0,38.781
New Zealand,NZL,1961,2419700.0,76.525
Nicaragua,NIC,1961,1830400.0,40.03
Niger,NER,1961,3493636.0,5.896
Nigeria,NGA,1961,46144154.0,15.633
Northern Mariana Islands,MNP,1961,10340.0,52.74100000000001
Norway,NOR,1961,3609800.0,50.998000000000005
Oman,OMN,1961,564895.0,17.475
Pakistan,PAK,1961,45988447.0,22.500999999999998
Palau,PLW,1961,9901.0,57.114
Panama,PAN,1961,1167041.0,41.853
Papua New Guinea,PNG,1961,2001048.0,4.024
Paraguay,PRY,1961,1953331.0,35.67
Peru,PER,1961,10350239.0,47.398
Philippines,PHL,1961,27164618.0,30.555
Poland,POL,1961,29964000.0,48.527
Portugal,PRT,1961,8929316.0,35.344
Puerto Rico,PRI,1961,2399722.0,45.933
Qatar,QAT,1961,51355.0,85.693
Romania,ROM,1961,18555250.0,34.894
Russian Federation,RUS,1961,121236000.0,54.626000000000005
Rwanda,RWA,1961,2996091.0,2.654
Samoa,WSM,1961,112121.0,18.986
San Marino,SMR,1961,15787.0,50.001000000000005
Sao Tome and Principe,STP,1961,64549.0,16.805
Saudi Arabia,SAU,1961,4218879.0,32.373000000000005
Senegal,SEN,1961,3265558.0,23.645
Seychelles,SYC,1961,42889.0,28.717
Sierra Leone,SLE,1961,2210169.0,17.903
Singapore,SGP,1961,1702400.0,100.0
Slovak Republic,SVK,1961,4191667.0,33.953
Slovenia,SVN,1961,1594131.0,29.107
Solomon Islands,SLB,1961,121403.0,6.037999999999999
Somalia,SOM,1961,2814683.0,17.835
South Africa,ZAF,1961,17949962.0,46.793
South Sudan,SSD,1961,3011112.0,8.737
Spain,ESP,1961,30739250.0,57.303000000000004
Sri Lanka,LKA,1961,10168000.0,16.592
St. Kitts and Nevis,KNA,1961,51195.0,28.269000000000002
St. Lucia,LCA,1961,90913.0,21.695999999999998
St. Vincent and the Grenadines,VCT,1961,82144.0,26.394000000000002
Sudan,SDN,1961,7749884.0,11.232000000000001
Suriname,SUR,1961,298190.0,47.297
Swaziland,SWZ,1961,357522.0,4.335
Sweden,SWE,1961,7519998.0,73.295
Switzerland,CHE,1961,5434294.0,51.67100000000001
Syrian Arab Republic,SYR,1961,4742596.0,37.399
Tajikistan,TJK,1961,2140413.0,33.56
Tanzania,TZA,1961,10373380.0,5.394
Thailand,THA,1961,28224208.0,19.781
Timor-Leste,TMP,1961,508311.0,10.243
Togo,TGO,1961,1597528.0,10.94
Tonga,TON,1961,63740.0,17.929000000000002
Trinidad and Tobago,TTO,1961,865356.0,16.712
Tunisia,TUN,1961,4277371.0,37.95
Turkey,TUR,1961,28229291.0,32.064
Turkmenistan,TKM,1961,1649914.0,46.556999999999995
Turks and Caicos Islands,TCA,1961,5760.0,48.021
Tuvalu,TUV,1961,6242.0,16.444000000000003
Uganda,UGA,1961,7006629.0,4.617
Ukraine,UKR,1961,43203635.0,47.542
United Arab Emirates,ARE,1961,100985.0,74.383
United Kingdom,GBR,1961,52800000.0,78.374
United States,USA,1961,183691000.0,70.377
Uruguay,URY,1961,2571691.0,80.462
Uzbekistan,UZB,1961,9044671.0,34.238
Vanuatu,VUT,1961,65708.0,10.583
"Venezuela, RB",VEN,1961,8461684.0,62.875
Vietnam,VNM,1961,35428000.0,15.030999999999999
Virgin Islands (U.S.),VIR,1961,34100.0,57.864
"Yemen, Rep.",YEM,1961,5251663.0,9.459
Zambia,ZMB,1961,3142848.0,18.951
Zimbabwe,ZWE,1961,3876638.0,12.821
Arab World,ARB,1962,97691498.0,32.780322721748
Caribbean small states,CSS,1962,4353408.0,32.057860523755195
Central Europe and the Baltics,CEB,1962,93014890.0,45.866564696018
East Asia & Pacific (all income levels),EAS,1962,1059972418.0,23.651145327486
East Asia & Pacific (developing only),EAP,1962,907395358.0,17.8627360333223
Euro area,EMU,1962,270324828.0,63.06857819776361
Europe & Central Asia (all income levels),ECS,1962,683114331.0,56.449862776176396
Europe & Central Asia (developing only),ECA,1962,161168870.0,39.453126966090295
European Union,EUU,1962,416670637.0,62.126027850803396
Fragile and conflict affected situations,FCS,1962,126006115.0,18.907540755286
Heavily indebted poor countries (HIPC),HPC,1962,170332701.0,12.9417448911175
High income,HIC,1962,933025406.0,63.8128286903543
High income: nonOECD,NOC,1962,192729589.0,57.8384053913321
High income: OECD,OEC,1962,740295817.0,65.2758985974157
Latin America & Caribbean (all income levels),LCN,1962,233183206.0,50.8726951441607
Latin America & Caribbean (developing only),LAC,1962,188416186.0,46.56671495983901
Least developed countries: UN classification,LDC,1962,252585904.0,10.1294463472791
Low & middle income,LMY,1962,2195966846.0,22.217955036961303
Low income,LIC,1962,164180179.0,12.0584228121593
Lower middle income,LMC,1962,986301567.0,20.3087885085135
Middle East & North Africa (all income levels),MEA,1962,111418951.0,36.4767680069794
Middle East & North Africa (developing only),MNA,1962,103183668.0,35.3178839653868
Middle income,MIC,1962,2031786667.0,23.0393061509026
North America,NAC,1962,205198600.0,70.7397837119746
OECD members,OED,1962,809855392.0,63.464489569185886
Other small states,OSS,1962,6853517.0,15.2605267340841
Pacific island small states,PSS,1962,919276.0,22.913375298604606
Small states,SST,1962,12126201.0,21.8710659553639
South Asia,SAS,1962,596701125.0,17.0544103188409
Sub-Saharan Africa (all income levels),SSF,1962,239403621.0,15.2603620300087
Sub-Saharan Africa (developing only),SSA,1962,239101639.0,15.245848209275598
Upper middle income,UMC,1962,1045485100.0,25.612656737030505
World,WLD,1962,3128992252.0,34.5178204644136
Afghanistan,AFG,1962,9343772.0,8.805
Albania,ALB,1962,1711319.0,31.015
Algeria,DZA,1962,11690152.0,33.214
American Samoa,ASM,1962,21118.0,67.068
Andorra,ADO,1962,15376.0,63.461999999999996
Angola,AGO,1962,5465905.0,11.204
Antigua and Barbuda,ATG,1962,56311.0,38.427
Argentina,ARG,1962,21287682.0,74.767
Armenia,ARM,1962,2002170.0,53.019
Aruba,ABW,1962,56226.0,50.746
Australia,AUS,1962,10742000.0,82.337
Austria,AUT,1962,7129864.0,64.863
Azerbaijan,AZE,1962,4167558.0,52.06399999999999
"Bahamas, The",BHS,1962,121083.0,61.193000000000005
Bahrain,BHR,1962,173107.0,82.355
Bangladesh,BGD,1962,51030604.0,5.497999999999999
Barbados,BRB,1962,232584.0,36.922
Belarus,BLR,1962,8351928.0,34.663000000000004
Belgium,BEL,1962,9220578.0,92.679
Belize,BLZ,1962,97389.0,53.41
Benin,BEN,1962,2503232.0,10.47
Bermuda,BMU,1962,46600.0,100.0
Bhutan,BTN,1962,234703.0,3.9989999999999997
Bolivia,BOL,1962,3838096.0,37.357
Bosnia and Herzegovina,BIH,1962,3341809.0,20.437
Botswana,BWA,1962,549990.0,3.134
Brazil,BRA,1962,77007549.0,48.099
Brunei Darussalam,BRN,1962,89603.0,47.07
Bulgaria,BGR,1962,8012946.0,40.494
Burkina Faso,BFA,1962,4960325.0,4.893
Burundi,BDI,1962,2894510.0,2.154
Cabo Verde,CPV,1962,210866.0,17.224
Cambodia,KHM,1962,6026696.0,10.333
Cameroon,CMR,1962,5593768.0,15.058
Canada,CAN,1962,18614000.0,70.494
Cayman Islands,CYM,1962,8142.0,100.0
Central African Republic,CAF,1962,1556656.0,21.418000000000003
Chad,TCD,1962,3122357.0,7.239
