total_bill,tip,sex,smoker,day,time,size,fraction
16.45,2.47,Female,No,Sat,Dinner,2,0.1501519756838906
3.07,1.0,Female,Yes,Sat,Dinner,1,0.32573289902280134
20.23,2.01,Male,No,Sat,Dinner,2,0.09935739001482945
15.01,2.09,Male,Yes,Sat,Dinner,2,0.13924050632911392
12.02,1.97,Male,No,Sat,Dinner,2,0.1638935108153078
17.07,3.0,Female,No,Sat,Dinner,3,0.1757469244288225
26.86,3.14,Female,Yes,Sat,Dinner,2,0.11690245718540582
25.28,5.0,Female,Yes,Sat,Dinner,2,0.19778481012658228
14.73,2.2,Female,No,Sat,Dinner,2,0.14935505770536323
10.51,1.25,Male,No,Sat,Dinner,2,0.11893434823977164
17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875
27.2,4.0,Male,No,Thur,Lunch,4,0.14705882352941177
22.76,3.0,Male,No,Thur,Lunch,2,0.13181019332161686
17.29,2.71,Male,No,Thur,Lunch,2,0.156737998843262
19.44,3.0,Male,Yes,Thur,Lunch,2,0.15432098765432098
16.66,3.4,Male,No,Thur,Lunch,2,0.20408163265306123
10.07,1.83,Female,No,Thur,Lunch,1,0.1817279046673287
32.68,5.0,Male,Yes,Thur,Lunch,2,0.15299877600979192
15.98,2.03,Male,No,Thur,Lunch,2,0.12703379224030037
34.83,5.17,Female,No,Thur,Lunch,4,0.14843525696238874
13.03,2.0,Male,No,Thur,Lunch,2,0.15349194167306218
18.28,4.0,Male,No,Thur,Lunch,2,0.2188183807439825
24.71,5.85,Male,No,Thur,Lunch,2,0.23674625657628487
21.16,3.0,Male,No,Thur,Lunch,2,0.14177693761814744
28.97,3.0,Male,Yes,Fri,Dinner,2,0.10355540214014498
22.49,3.5,Male,No,Fri,Dinner,2,0.15562472209871056
5.75,1.0,Female,Yes,Fri,Dinner,2,0.17391304347826086
16.32,4.3,Female,Yes,Fri,Dinner,2,0.26348039215686275
22.75,3.25,Female,No,Fri,Dinner,2,0.14285714285714285
40.17,4.73,Male,Yes,Fri,Dinner,4,0.1177495643515061
27.28,4.0,Male,Yes,Fri,Dinner,2,0.14662756598240467
12.03,1.5,Male,Yes,Fri,Dinner,2,0.12468827930174564
21.01,3.0,Male,Yes,Fri,Dinner,2,0.1427891480247501
12.46,1.5,Male,No,Fri,Dinner,2,0.1203852327447833
11.35,2.5,Female,Yes,Fri,Dinner,2,0.22026431718061676
15.38,3.0,Female,Yes,Fri,Dinner,2,0.19505851755526657
44.3,2.5,Female,Yes,Sat,Dinner,3,0.05643340857787811
22.42,3.48,Female,Yes,Sat,Dinner,2,0.15521855486173058
20.92,4.08,Female,No,Sat,Dinner,2,0.1950286806883365
15.36,1.64,Male,Yes,Sat,Dinner,2,0.10677083333333333
20.49,4.06,Male,Yes,Sat,Dinner,2,0.19814543679843827
25.21,4.29,Male,Yes,Sat,Dinner,2,0.1701705672352241
18.24,3.76,Male,No,Sat,Dinner,2,0.20614035087719298
14.31,4.0,Female,Yes,Sat,Dinner,2,0.2795248078266946
14.0,3.0,Male,No,Sat,Dinner,2,0.21428571428571427
7.25,1.0,Female,No,Sat,Dinner,1,0.13793103448275862
38.07,4.0,Male,No,Sun,Dinner,3,0.10506960861570791
23.95,2.55,Male,No,Sun,Dinner,2,0.10647181628392484
25.71,4.0,Female,No,Sun,Dinner,3,0.15558148580318942
17.31,3.5,Female,No,Sun,Dinner,2,0.20219526285384173
29.93,5.07,Male,No,Sun,Dinner,4,0.1693952555963916
10.65,1.5,Female,No,Thur,Lunch,2,0.14084507042253522
12.43,1.8,Female,No,Thur,Lunch,2,0.14481094127111827
24.08,2.92,Female,No,Thur,Lunch,4,0.1212624584717608
11.69,2.31,Male,No,Thur,Lunch,2,0.19760479041916168
13.42,1.68,Female,No,Thur,Lunch,2,0.12518628912071533
14.26,2.5,Male,No,Thur,Lunch,2,0.1753155680224404
15.95,2.0,Male,No,Thur,Lunch,2,0.12539184952978058
12.48,2.52,Female,No,Thur,Lunch,2,0.20192307692307693
29.8,4.2,Female,No,Thur,Lunch,6,0.14093959731543623
8.52,1.48,Male,No,Thur,Lunch,2,0.17370892018779344
14.52,2.0,Female,No,Thur,Lunch,2,0.13774104683195593
11.38,2.0,Female,No,Thur,Lunch,2,0.17574692442882248
22.82,2.18,Male,No,Thur,Lunch,3,0.09553023663453111
19.08,1.5,Male,No,Thur,Lunch,2,0.07861635220125787
20.27,2.83,Female,No,Thur,Lunch,2,0.13961519486926494
11.17,1.5,Female,No,Thur,Lunch,2,0.13428827215756492
12.26,2.0,Female,No,Thur,Lunch,2,0.1631321370309951
18.26,3.25,Female,No,Thur,Lunch,2,0.17798466593647316
8.51,1.25,Female,No,Thur,Lunch,2,0.14688601645123384
10.33,2.0,Female,No,Thur,Lunch,2,0.1936108422071636
14.15,2.0,Female,No,Thur,Lunch,2,0.1413427561837456
16.0,2.0,Male,Yes,Thur,Lunch,2,0.125
13.16,2.75,Female,No,Thur,Lunch,2,0.20896656534954408
17.47,3.5,Female,No,Thur,Lunch,2,0.20034344590726963
34.3,6.7,Male,No,Thur,Lunch,6,0.19533527696793004
41.19,5.0,Male,No,Thur,Lunch,5,0.12138868657441128
27.05,5.0,Female,No,Thur,Lunch,6,0.18484288354898337
16.43,2.3,Female,No,Thur,Lunch,2,0.1399878271454656
8.35,1.5,Female,No,Thur,Lunch,2,0.17964071856287425
18.64,1.36,Female,No,Thur,Lunch,3,0.07296137339055794
11.87,1.63,Female,No,Thur,Lunch,2,0.13732097725358045
9.78,1.73,Male,No,Thur,Lunch,2,0.1768916155419223
7.51,2.0,Male,No,Thur,Lunch,2,0.2663115845539281
14.07,2.5,Male,No,Sun,Dinner,2,0.17768301350390903
13.13,2.0,Male,No,Sun,Dinner,2,0.15232292460015232
17.26,2.74,Male,No,Sun,Dinner,3,0.15874855156431053
24.55,2.0,Male,No,Sun,Dinner,4,0.0814663951120163
19.77,2.0,Male,No,Sun,Dinner,4,0.10116337885685382
29.85,5.14,Female,No,Sun,Dinner,5,0.1721943048576214
48.17,5.0,Male,No,Sun,Dinner,6,0.10379904504878555
25.0,3.75,Female,No,Sun,Dinner,4,0.15
13.39,2.61,Female,No,Sun,Dinner,2,0.19492158327109782
16.49,2.0,Male,No,Sun,Dinner,4,0.12128562765312312
21.5,3.5,Male,No,Sun,Dinner,4,0.16279069767441862
12.66,2.5,Male,No,Sun,Dinner,2,0.19747235387045814
16.21,2.0,Female,No,Sun,Dinner,3,0.12338062924120913
13.81,2.0,Male,No,Sun,Dinner,2,0.1448225923244026
17.51,3.0,Female,Yes,Sun,Dinner,2,0.17133066818960593
24.52,3.48,Male,No,Sun,Dinner,3,0.14192495921696574
20.76,2.24,Male,No,Sun,Dinner,2,0.10789980732177264
31.71,4.5,Male,No,Sun,Dinner,4,0.14191106906338694
10.59,1.61,Female,Yes,Sat,Dinner,2,0.15203021718602455
10.63,2.0,Female,Yes,Sat,Dinner,2,0.18814675446848542
50.81,10.0,Male,Yes,Sat,Dinner,3,0.19681165124975397
15.81,3.16,Male,Yes,Sat,Dinner,2,0.19987349778621127
7.25,5.15,Male,Yes,Sun,Dinner,2,0.710344827586207
31.85,3.18,Male,Yes,Sun,Dinner,2,0.09984301412872841
16.82,4.0,Male,Yes,Sun,Dinner,2,0.23781212841854935
32.9,3.11,Male,Yes,Sun,Dinner,2,0.0945288753799392
17.89,2.0,Male,Yes,Sun,Dinner,2,0.11179429849077696
14.48,2.0,Male,Yes,Sun,Dinner,2,0.13812154696132597
9.6,4.0,Female,Yes,Sun,Dinner,2,0.4166666666666667
34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512272596015
34.65,3.68,Male,Yes,Sun,Dinner,4,0.10620490620490622
23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539219889
45.35,3.5,Male,Yes,Sun,Dinner,3,0.07717750826901874
23.17,6.5,Male,Yes,Sun,Dinner,4,0.2805351747949935
40.55,3.0,Male,Yes,Sun,Dinner,2,0.07398273736128237
20.69,5.0,Male,No,Sun,Dinner,5,0.2416626389560174
20.9,3.5,Female,Yes,Sun,Dinner,3,0.1674641148325359
30.46,2.0,Male,Yes,Sun,Dinner,5,0.06565988181221273
18.15,3.5,Female,Yes,Sun,Dinner,3,0.1928374655647383
23.1,4.0,Male,Yes,Sun,Dinner,3,0.17316017316017315
15.69,1.5,Male,Yes,Sun,Dinner,2,0.09560229445506692
19.81,4.19,Female,Yes,Thur,Lunch,2,0.21150933871781932
28.44,2.56,Male,Yes,Thur,Lunch,2,0.090014064697609
15.48,2.02,Male,Yes,Thur,Lunch,2,0.13049095607235142
16.58,4.0,Male,Yes,Thur,Lunch,2,0.24125452352231608
7.56,1.44,Male,No,Thur,Lunch,2,0.19047619047619047
10.34,2.0,Male,Yes,Thur,Lunch,2,0.19342359767891684
43.11,5.0,Female,Yes,Thur,Lunch,4,0.1159823706796567
13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385
13.51,2.0,Male,Yes,Thur,Lunch,2,0.14803849000740193
18.71,4.0,Male,Yes,Thur,Lunch,3,0.2137894174238375
12.74,2.01,Female,Yes,Thur,Lunch,2,0.15777080062794346
13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385
16.4,2.5,Female,Yes,Thur,Lunch,2,0.15243902439024393
20.53,4.0,Male,Yes,Thur,Lunch,4,0.1948368241597662
16.47,3.23,Female,Yes,Thur,Lunch,3,0.19611414693381907
26.59,3.41,Male,Yes,Sat,Dinner,3,0.1282437006393381
38.73,3.0,Male,Yes,Sat,Dinner,4,0.0774593338497289
24.27,2.03,Male,Yes,Sat,Dinner,2,0.08364235681911825
12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489028213166
30.06,2.0,Male,Yes,Sat,Dinner,3,0.06653359946773121
25.89,5.16,Male,Yes,Sat,Dinner,4,0.1993047508690614
48.33,9.0,Male,No,Sat,Dinner,4,0.186219739292365
13.27,2.5,Female,Yes,Sat,Dinner,2,0.18839487565938207
28.17,6.5,Female,Yes,Sat,Dinner,3,0.23074192403265883
12.9,1.1,Female,Yes,Sat,Dinner,2,0.08527131782945736
28.15,3.0,Male,Yes,Sat,Dinner,5,0.10657193605683837
11.59,1.5,Male,Yes,Sat,Dinner,2,0.12942191544434858
7.74,1.44,Male,Yes,Sat,Dinner,2,0.18604651162790697
30.14,3.09,Female,Yes,Sat,Dinner,4,0.10252156602521566
12.16,2.2,Male,Yes,Fri,Lunch,2,0.18092105263157895
13.42,3.48,Female,Yes,Fri,Lunch,2,0.2593144560357675
8.58,1.92,Male,Yes,Fri,Lunch,1,0.22377622377622378
15.98,3.0,Female,No,Fri,Lunch,3,0.18773466833541927
13.42,1.58,Male,Yes,Fri,Lunch,2,0.11773472429210134
16.27,2.5,Female,Yes,Fri,Lunch,2,0.15365703749231716
10.09,2.0,Female,Yes,Fri,Lunch,2,0.19821605550049554
20.45,3.0,Male,No,Sat,Dinner,4,0.1466992665036675
13.28,2.72,Male,No,Sat,Dinner,2,0.20481927710843376
22.12,2.88,Female,Yes,Sat,Dinner,2,0.13019891500904157
24.01,2.0,Male,Yes,Sat,Dinner,4,0.08329862557267805
15.69,3.0,Male,Yes,Sat,Dinner,3,0.19120458891013384
11.61,3.39,Male,No,Sat,Dinner,2,0.29198966408268734
10.77,1.47,Male,No,Sat,Dinner,2,0.13649025069637882
15.53,3.0,Male,Yes,Sat,Dinner,2,0.19317450096587252
10.07,1.25,Male,No,Sat,Dinner,2,0.12413108242303872
12.6,1.0,Male,Yes,Sat,Dinner,2,0.07936507936507936
32.83,1.17,Male,Yes,Sat,Dinner,2,0.03563813585135547
35.83,4.67,Female,No,Sat,Dinner,3,0.13033770583310075
29.03,5.92,Male,No,Sat,Dinner,3,0.2039269720978298
27.18,2.0,Female,Yes,Sat,Dinner,2,0.07358351729212656
22.67,2.0,Male,Yes,Sat,Dinner,2,0.08822232024702249
17.82,1.75,Male,No,Sat,Dinner,2,0.09820426487093153
18.78,3.0,Female,No,Thur,Dinner,2,0.1597444089456869
