population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Region
1339941.0,1.62,1.2,13.0313788748608,26.26446,24743.0,129.5161,74.0,5.5,Europe & Central Asia
843206.0,2.74,0.1,1.27777955576417,26.53078,7129.0,127.4768,65.7,24.0,East Asia & Pacific
5314170.0,1.85,0.1,10.6441142837652,26.733390000000004,42122.0,126.5645,79.4,3.3,Europe & Central Asia
62309529.0,1.97,0.4,5.9990207264502295,25.85329,37505.0,120.0146,81.0,4.3,Europe & Central Asia
1473741.0,4.28,5.3,1.07953931688168,24.0762,15800.0,130.3625,57.5,68.0,Sub-Saharan Africa
1586749.0,5.8,1.7,0.251002328494815,21.65029,1566.0,130.208,62.2,87.4,Sub-Saharan Africa
4343290.0,1.79,0.1,1.4194297793045,25.54942,5900.0,130.5789,72.1,19.3,Europe & Central Asia
80665906.0,1.37,0.1,9.497246756545973,27.165090000000006,41199.0,124.9044,80.0,4.4,Europe & Central Asia
23115919.0,4.19,1.8,0.36660084873269,22.84247,2907.0,128.2953,62.7,79.9,Sub-Saharan Africa
11161755.0,1.46,0.1,8.66123553121303,26.33786,32197.0,122.9342,79.5,4.9,Europe & Central Asia
14106687.0,4.12,0.8,0.835594820071747,25.29947,6960.0,120.9596,70.8,36.9,America
10427356.0,5.34,1.4,0.12696440010279902,22.52449,1230.0,132.2765,58.3,121.0,Sub-Saharan Africa
1561293.0,5.25,2.5,0.156376432466591,21.64338,1326.0,130.7627,51.3,127.6,Sub-Saharan Africa
748096.0,2.74,1.2,2.07341531196141,23.68465,5208.0,125.1512,63.0,41.9,America
9705130.0,3.5,2.0,0.24930675467243,23.66302,1600.0,125.3461,61.7,83.3,America
7259470.0,3.27,0.8,1.1874535163184798,25.10872,4391.0,122.9621,70.9,26.5,America
10050699.0,1.33,0.06,5.45323172371614,27.11568,23334.0,128.6968,73.8,7.2,Europe & Central Asia
310033.0,2.12,0.3,6.8219030512941,27.20687,42294.0,118.7381,82.0,2.7,Europe & Central Asia
1197070109.0,2.64,0.32,1.5208494207295702,20.95956,3901.0,123.1274,64.4,65.6,South Asia
235360765.0,2.48,0.2,1.7550442204323995,21.85576,7856.0,126.4216,69.5,36.2,East Asia & Pacific
72530693.0,1.88,0.2,7.89221094080634,25.31003,15955.0,125.1859,76.9,21.4,Middle East & North Africa
4480145.0,2.0,0.2,9.88253103434228,27.65325,47713.0,124.7801,79.4,4.5,Europe & Central Asia
7093808.0,2.92,0.2,10.0011881389889,27.13151,28562.0,121.0838,80.9,4.9,Middle East & North Africa
59319234.0,1.39,0.3,7.465942414501621,26.4802,37475.0,123.703,81.4,4.1,Europe & Central Asia
2717344.0,2.39,1.7,4.39145647399792,24.00421,8951.0,125.3685,75.5,18.9,America
127317900.0,1.34,0.06,9.536605685814381,23.50004,34800.0,121.9651,82.6,3.4,East Asia & Pacific
15915966.0,2.51,0.1,14.718104264070801,26.29078,18797.0,128.8517,66.1,25.9,Europe & Central Asia
38244442.0,4.76,6.3,0.266308378184837,21.59258,2358.0,129.9341,61.5,71.0,Sub-Saharan Africa
2144215.0,1.5,0.6,3.34184866312845,26.45693,20977.0,129.5746,72.3,10.5,Europe & Central Asia
4109389.0,1.57,0.1,3.996721795381,27.20117,14158.0,127.5037,77.6,11.3,Middle East & North Africa
1972194.0,3.34,23.6,0.00861766941868,21.90157,2041.0,131.1361,45.2,114.2,Sub-Saharan Africa
3672782.0,5.19,1.6,0.15735218279458202,21.89537,588.0,131.2555,61.0,100.9,Sub-Saharan Africa
3219802.0,1.42,0.1,4.49848339141717,26.86102,23223.0,130.8226,72.0,8.2,Europe & Central Asia
485079.0,1.63,0.3,22.1680796908671,27.434040000000003,95001.0,122.3705,80.7,2.8,Europe & Central Asia
19926798.0,4.79,0.2,0.099422147564091,21.40347,1528.0,132.8371,63.4,66.7,Sub-Saharan Africa
13904671.0,5.78,11.2,0.082469880821383,22.03468,674.0,133.939,51.4,101.1,Sub-Saharan Africa
27197419.0,2.05,0.5,7.75223394597224,24.73069,19968.0,123.8593,74.5,8.0,East Asia & Pacific
321026.0,2.38,0.06,3.27772576758378,23.21991,12029.0,123.3223,78.2,16.0,South Asia
14223403.0,6.82,1.0,0.041078866582895,21.78881,1602.0,128.0308,55.8,148.3,Sub-Saharan Africa
406392.0,1.38,0.1,6.18277102166305,27.68361,27872.0,124.1571,81.4,6.6,Europe & Central Asia
3414552.0,4.94,0.7,0.613103977214908,22.62295,3356.0,129.9875,63.6,103.0,Sub-Saharan Africa
1238013.0,1.58,0.9,3.07876289709044,25.15669,14615.0,130.8786,72.1,15.8,Sub-Saharan Africa
114972821.0,2.35,0.3,4.26117186643567,27.42468,15826.0,122.1216,75.7,17.9,America
4111168.0,1.49,0.4,1.3133211868088002,24.2369,3890.0,129.9424,69.6,17.6,Europe & Central Asia
2629666.0,2.37,0.06,3.7594868153666496,24.88385,7563.0,129.7504,63.2,34.8,East Asia & Pacific
31350544.0,2.44,0.1,1.5940831352875,25.63182,6091.0,126.5284,73.3,35.8,Middle East & North Africa
22994867.0,5.54,11.4,0.104748301086439,21.93536,864.0,135.3949,55.0,114.4,Sub-Saharan Africa
51030006.0,2.05,0.6,0.191053400032007,21.44932,2891.0,123.1421,60.8,87.2,East Asia & Pacific
26325183.0,2.9,0.4,0.105412982603433,20.76344,1866.0,125.5561,68.6,50.7,South Asia
16519862.0,1.77,0.2,10.5330281250037,26.01541,47388.0,121.695,80.3,4.8,Europe & Central Asia
4285380.0,2.12,0.1,8.00908440122814,27.76893,32122.0,118.7421,80.2,6.4,East Asia & Pacific
5594524.0,2.72,0.2,0.7781516131060459,25.77291,4060.0,123.4792,75.2,28.1,America
15085130.0,7.59,0.8,0.063437108830928,21.21958,843.0,135.1021,59.7,141.3,Sub-Saharan Africa
151115683.0,6.02,3.6,0.6146896621193599,23.03322,4684.0,135.49200000000002,58.0,140.9,Sub-Saharan Africa
4771633.0,1.96,0.1,10.5297687913484,26.934240000000006,65216.0,126.0266,80.7,3.6,Europe & Central Asia
2652281.0,2.89,0.1,15.572080457708399,26.241090000000003,47799.0,126.887,74.6,11.9,Middle East & North Africa
163096985.0,3.58,0.1,0.935618056464575,22.29914,4187.0,126.5196,64.1,95.5,South Asia
3498679.0,2.61,0.9,2.2237963430752403,26.26959,14033.0,122.6829,77.1,21.0,America
6540267.0,4.07,0.9,0.53074633684253,25.01506,1982.0,120.0524,58.2,69.7,East Asia & Pacific
6047131.0,3.06,0.3,0.6985817458348059,25.54223,6684.0,123.615,73.6,25.7,America
28642048.0,2.58,0.4,1.45013443843679,24.77041,9249.0,119.6368,76.8,23.2,America
90297115.0,3.26,0.06,0.8421206970145141,22.87263,5332.0,122.3459,69.4,33.4,East Asia & Pacific
38525752.0,1.33,0.1,8.27076714913332,26.6738,19996.0,129.6765,75.3,6.7,Europe & Central Asia
10577458.0,1.36,0.5,5.48692639969689,26.68445,27747.0,127.2631,79.2,4.1,Europe & Central Asia
1388962.0,2.2,0.06,48.7020615159807,28.13138,126076.0,126.3153,80.4,9.5,Middle East & North Africa
20741669.0,1.34,0.1,4.38344907454584,25.41069,18032.0,128.7553,73.4,16.1,Europe & Central Asia
143123163.0,1.49,1.0,11.9827176136868,26.01131,22506.0,128.4903,67.6,13.5,Europe & Central Asia
9750314.0,5.06,2.9,0.054244469829612,22.55453,1173.0,135.1005,62.2,78.3,Sub-Saharan Africa
12229703.0,5.11,0.8,0.461633711070406,21.92743,2162.0,130.2795,64.3,75.8,Sub-Saharan Africa
9109535.0,1.41,0.1,5.2712226765406385,26.51495,12522.0,130.3755,76.4,8.0,Europe & Central Asia
5521838.0,5.13,1.6,0.118255775422601,22.53139,1289.0,134.716,55.9,179.1,Sub-Saharan Africa
4849641.0,1.28,0.1,4.11444075456769,23.83996,65991.0,121.1736,80.9,2.8,East Asia & Pacific
5396710.0,1.31,0.06,6.90165445635826,26.92717,24670.0,129.528,74.8,8.8,Europe & Central Asia
2030599.0,1.43,0.06,8.51182819568071,27.43983,30816.0,129.9231,78.5,3.7,Europe & Central Asia
9132589.0,7.06,0.6,0.06821888923508901,21.96917,615.0,131.5318,56.7,168.5,Sub-Saharan Africa
50348811.0,2.54,17.9,9.42796037329193,26.85538,12263.0,130.9949,55.0,66.1,Sub-Saharan Africa
45817016.0,1.42,0.4,7.29308875758134,27.49975,34676.0,122.0453,81.1,5.0,Europe & Central Asia
19949553.0,2.32,0.06,0.5807910881610201,21.96671,6907.0,124.8615,74.3,11.7,South Asia
34470138.0,4.79,1.0,0.3821179446909601,22.40484,3246.0,129.7199,67.4,84.7,Sub-Saharan Africa
506657.0,2.41,1.0,4.74113997041156,25.49887,13470.0,124.6358,69.1,26.4,America
1153750.0,3.7,25.9,0.949860795263562,23.16969,5887.0,131.8793,46.1,112.2,Sub-Saharan Africa
9226333.0,1.92,0.1,5.31568839898759,26.37629,43421.0,122.9473,81.1,3.2,Europe & Central Asia
7646542.0,1.47,0.4,5.33305762439957,26.20195,55020.0,119.6465,81.9,4.7,Europe & Central Asia
7254072.0,3.7,0.2,0.453167660377614,23.77966,2001.0,129.9657,69.5,56.2,Europe & Central Asia
42844744.0,5.54,5.8,0.15467299547587196,22.47792,2030.0,130.8328,59.7,72.4,Sub-Saharan Africa
66453255.0,1.48,1.3,3.83510188812475,23.00803,12216.0,120.4969,74.1,15.6,East Asia & Pacific
6052937.0,4.88,3.2,0.25198333736379697,21.87875,1219.0,131.0248,60.0,96.4,Sub-Saharan Africa
1315372.0,1.8,1.5,31.9577172737108,26.396690000000003,30875.0,124.9939,71.3,24.9,America
10408091.0,2.04,0.06,2.44066947552979,25.15699,9938.0,128.6291,76.5,19.4,Middle East & North Africa
70344357.0,2.15,0.06,4.0219025893496205,26.70371,16454.0,124.0675,75.1,22.2,Europe & Central Asia
31014427.0,6.34,6.4,0.100852839348851,22.35833,1437.0,134.5204,57.2,89.3,Sub-Saharan Africa
46028476.0,1.38,1.1,7.03235907972496,25.42379,8762.0,131.4962,68.2,12.9,Europe & Central Asia
61689620.0,1.87,0.2,8.52646681764135,27.39249,37739.0,124.0845,79.5,5.6,Europe & Central Asia
304473143.0,2.07,0.6,18.5459916953635,28.45698,50384.0,118.4777,78.2,7.7,America
3350832.0,2.11,0.5,2.4897635471798303,26.39123,15317.0,124.2604,76.0,13.0,America
26952719.0,2.46,0.1,4.47666901860092,25.32054,3733.0,124.3462,68.7,49.2,Europe & Central Asia
86589342.0,1.86,0.4,1.47934657540447,20.9163,4085.0,121.9367,75.4,26.2,East Asia & Pacific
13114579.0,5.88,13.6,0.14898151358324696,20.68321,3039.0,132.4493,52.0,94.9,Sub-Saharan Africa
13495462.0,3.85,15.1,0.6543231897712061,22.0266,1286.0,131.9745,49.0,98.3,Sub-Saharan Africa
