mpg,cyl,displ,hp,weight,accel,yr,origin,name,color,size,marker
15.0,6,250.0,100,3336,17.0,74,US,chevrolet nova,red,30.913599999999995,o
12.0,8,383.0,180,4955,11.5,71,US,dodge monaco (sw),green,68.20006944444444,o
17.6,8,302.0,129,3725,13.4,79,US,ford ltd landau,green,38.54340277777777,o
25.0,4,113.0,95,2228,14.0,71,Asia,toyota corona,blue,13.788844444444445,x
28.4,4,151.0,90,2670,16.0,79,US,buick skylark limited,blue,19.802500000000002,o
29.0,4,98.0,83,2219,16.5,74,Europe,audi fox,blue,13.677669444444444,s
30.9,4,105.0,75,2230,14.5,78,US,dodge omni,blue,13.813611111111111,o
20.0,6,232.0,100,2914,16.0,75,US,amc gremlin,red,23.58721111111111,o
20.8,6,200.0,85,3070,16.7,78,US,mercury zephyr,red,26.180277777777775,o
22.0,6,232.0,112,2835,14.7,82,US,ford granada l,red,22.325624999999995,o
38.0,4,91.0,67,1965,15.0,82,Asia,honda civic,blue,10.725624999999999,x
31.0,4,71.0,65,1773,19.0,71,Asia,toyota corolla 1200,blue,8.732025,x
19.0,6,250.0,88,3302,15.5,71,US,ford torino 500,red,30.286677777777772,o
16.0,6,250.0,100,3781,17.0,74,US,chevrolet chevelle malibu classic,red,39.71100277777778,o
25.0,4,140.0,75,2542,17.0,74,US,chevrolet vega,blue,17.949344444444442,o
22.0,6,225.0,100,3233,15.4,76,US,plymouth valiant,red,29.034136111111113,o
26.0,4,91.0,70,1955,20.5,71,US,plymouth cricket,blue,10.616736111111111,o
13.0,8,350.0,145,4055,12.0,76,US,chevy c10,green,45.67506944444445,o
19.9,8,260.0,110,3365,15.5,78,US,oldsmobile cutlass salon brougham,green,31.45340277777778,o
11.0,8,318.0,210,4382,13.5,70,US,dodge d200,green,53.33867777777778,o
28.0,4,98.0,80,2164,15.0,72,US,dodge colt (sw),blue,13.008044444444444,o
15.5,8,318.0,145,4140,13.7,77,US,dodge monaco brougham,green,47.61000000000001,o
26.0,4,96.0,69,2189,18.0,72,Europe,renault 12 (sw),blue,13.310336111111111,s
14.0,8,318.0,150,4237,14.5,73,US,plymouth fury gran sedan,green,49.86713611111111,o
12.0,8,429.0,198,4952,11.5,73,US,mercury marquis brougham,green,68.11751111111111,o
24.2,6,146.0,120,2930,13.8,81,Asia,datsun 810 maxima,red,23.84694444444445,x
25.0,4,140.0,92,2572,14.9,76,US,capri ii,blue,18.375511111111116,o
22.5,6,232.0,90,3085,17.6,76,US,amc hornet,red,26.43673611111111,o
26.8,6,173.0,115,2700,12.9,79,US,oldsmobile omega brougham,red,20.25,o
23.0,6,198.0,95,2904,16.0,73,US,plymouth duster,red,23.4256,o
26.0,4,116.0,75,2246,14.0,74,Europe,fiat 124 tc,blue,14.012544444444444,s
30.7,6,145.0,76,3160,19.6,81,Europe,volvo diesel,red,27.737777777777776,s
31.0,4,79.0,67,2000,16.0,74,Europe,fiat x1.9,blue,11.111111111111112,s
27.2,4,141.0,71,3190,24.8,79,Europe,peugeot 504,blue,28.26694444444444,s
21.5,6,231.0,115,3245,15.4,79,US,pontiac lemans v6,red,29.250069444444442,o
29.0,4,135.0,84,2525,16.0,82,US,dodge aries se,blue,17.710069444444443,o
20.0,4,114.0,91,2582,14.0,73,Europe,audi 100ls,blue,18.518677777777782,s
13.0,8,350.0,150,4699,14.5,74,US,buick century luxus (sw),green,61.33500277777778,o
14.0,8,440.0,215,4312,8.5,70,US,plymouth fury iii,green,51.648177777777775,o
38.0,4,91.0,67,1995,16.2,82,Asia,datsun 310 gx,blue,11.055625000000001,x
13.0,8,400.0,175,5140,12.0,71,US,pontiac safari (sw),green,73.38777777777777,o
24.5,4,98.0,60,2164,22.1,76,US,chevrolet woody,blue,13.008044444444444,o
13.0,8,350.0,175,4100,13.0,73,US,buick century 350,green,46.69444444444444,o
25.0,6,181.0,110,2945,16.4,82,US,buick century limited,red,24.09173611111111,o
24.0,4,113.0,95,2278,15.5,72,Asia,toyota corona hardtop,blue,14.41467777777778,x
34.1,4,91.0,68,1985,16.0,81,Asia,mazda glc 4,blue,10.945069444444442,x
13.0,8,400.0,150,4464,12.0,73,US,chevrolet caprice classic,green,55.35360000000001,o
44.6,4,91.0,67,1850,13.8,80,Asia,honda civic 1500 gl,blue,9.506944444444445,x
20.5,6,200.0,95,3155,18.2,78,US,chevrolet malibu,red,27.650069444444448,o
18.0,6,258.0,110,2962,13.5,71,US,amc hornet sportabout (sw),red,24.370677777777775,o
23.2,4,156.0,105,2745,16.7,78,US,plymouth sapporo,blue,20.930625000000003,o
20.0,4,130.0,102,3150,15.7,76,Europe,volvo 245,blue,27.5625,s
24.0,4,121.0,110,2660,14.0,73,Europe,saab 99le,blue,19.654444444444447,s
25.5,4,140.0,89,2755,15.8,77,US,ford mustang ii 2+2,blue,21.083402777777778,o
36.1,4,98.0,66,1800,14.4,78,US,ford fiesta,blue,9.0,o
23.0,4,120.0,88,2957,17.0,75,Europe,peugeot 504,blue,24.28846944444445,s
24.0,4,90.0,75,2108,15.5,74,Europe,fiat 128,blue,12.34351111111111,s
18.0,6,250.0,78,3574,21.0,76,US,ford granada ghia,red,35.48187777777778,o
26.6,8,350.0,105,3725,19.0,81,US,oldsmobile cutlass ls,green,38.54340277777777,o
32.0,4,85.0,70,1990,17.0,76,Asia,datsun b-210,blue,11.000277777777779,x
20.3,5,131.0,103,2830,15.9,78,Europe,audi 5000,purple,22.246944444444445,s
27.0,4,97.0,60,1834,19.0,71,Europe,volkswagen model 111,blue,9.343211111111112,s
17.0,8,304.0,150,3672,11.5,72,US,amc ambassador sst,green,37.4544,o
21.0,4,140.0,72,2401,19.5,73,US,chevrolet vega,blue,16.013336111111112,o
13.0,8,400.0,170,4746,12.0,71,US,ford country squire (sw),green,62.5681,o
24.0,4,107.0,90,2430,14.5,70,Europe,audi 100 ls,blue,16.4025,s
17.0,8,260.0,110,4060,19.0,77,US,oldsmobile cutlass supreme,green,45.78777777777778,o
39.1,4,79.0,58,1755,16.9,81,Asia,toyota starlet,blue,8.555625,x
14.5,8,351.0,152,4215,12.8,76,US,ford gran torino,green,49.35062500000001,o
13.0,8,350.0,145,3988,13.0,73,US,chevrolet malibu,green,44.178177777777776,o
20.2,8,302.0,139,3570,12.8,78,US,mercury monarch ghia,green,35.4025,o
27.0,4,101.0,83,2202,15.3,76,Europe,renault 12tl,blue,13.4689,s
35.0,4,72.0,69,1613,18.0,71,Asia,datsun 1200,blue,7.227136111111112,x
15.0,8,318.0,150,3777,12.5,73,US,dodge coronet custom,green,39.627024999999996,o
36.4,5,121.0,67,2950,19.9,80,Europe,audi 5000s (diesel),purple,24.173611111111114,s
30.0,4,111.0,80,2155,14.8,77,US,buick opel isuzu deluxe,blue,12.900069444444446,o
31.9,4,89.0,71,1925,14.0,79,Europe,vw rabbit custom,blue,10.293402777777779,s
26.0,4,97.0,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan,blue,9.353402777777777,s
16.0,6,225.0,105,3439,15.5,71,US,plymouth satellite custom,red,32.85200277777778,o
20.0,4,140.0,90,2408,19.5,72,US,chevrolet vega,blue,16.106844444444448,o
18.6,6,225.0,110,3620,18.7,78,US,dodge aspen,red,36.401111111111106,o
14.0,8,400.0,175,4464,11.5,71,US,pontiac catalina brougham,green,55.35360000000001,o
25.0,4,97.5,80,2126,17.0,72,US,dodge colt hardtop,blue,12.555211111111111,o
33.0,4,105.0,74,2190,14.2,81,Europe,volkswagen jetta,blue,13.3225,s
14.0,8,318.0,150,4096,13.0,71,US,plymouth fury iii,green,46.60337777777779,o
18.5,8,360.0,150,3940,13.0,79,US,chrysler lebaron town @ country (sw),green,43.121111111111105,o
37.2,4,86.0,65,2019,16.4,80,Asia,datsun 310,blue,11.323225,x
18.0,6,232.0,100,3288,15.5,71,US,amc matador,red,30.030400000000004,o
44.3,4,90.0,48,2085,21.7,80,Europe,vw rabbit c (diesel),blue,12.075625,s
18.0,6,250.0,105,3459,16.0,75,US,chevrolet nova,red,33.235225,o
28.0,4,140.0,90,2264,15.5,71,US,chevrolet vega 2300,blue,14.238044444444444,o
43.4,4,90.0,48,2335,23.7,80,Europe,vw dasher (diesel),blue,15.145069444444443,s
20.6,6,231.0,105,3380,15.8,78,US,buick century special,red,31.73444444444445,o
19.2,6,231.0,105,3535,19.2,78,US,pontiac phoenix lj,red,34.71173611111111,o
26.4,4,140.0,88,2870,18.1,80,US,ford fairmont,blue,22.880277777777778,o
18.0,6,232.0,100,2945,16.0,73,US,amc hornet,red,24.09173611111111,o
28.0,4,97.0,75,2155,16.4,76,Asia,toyota corolla,blue,12.900069444444446,x
26.0,4,121.0,113,2234,12.5,70,Europe,bmw 2002,blue,13.86321111111111,s
13.0,8,400.0,190,4422,12.5,72,US,chrysler newport royal,green,54.316900000000004,o
25.8,4,156.0,92,2620,14.4,81,US,dodge aries wagon (sw),blue,19.067777777777774,o
28.1,4,141.0,80,3230,20.4,81,Europe,peugeot 505s turbo diesel,blue,28.980277777777783,s
13.0,8,350.0,165,4274,12.0,72,US,chevrolet impala,green,50.74187777777777,o
16.5,8,350.0,180,4380,12.1,76,US,cadillac seville,green,53.29,o
31.5,4,89.0,71,1990,14.9,78,Europe,volkswagen scirocco,blue,11.000277777777779,s
24.0,4,120.0,97,2489,15.0,74,Asia,honda civic,blue,17.208669444444446,x
15.0,6,250.0,72,3158,19.5,75,US,ford maverick,red,27.70267777777778,o
18.0,6,225.0,105,3613,16.5,74,US,plymouth satellite sebring,red,36.26046944444444,o
33.5,4,151.0,90,2556,13.2,79,US,pontiac phoenix,blue,18.147599999999997,o
32.4,4,108.0,75,2350,16.8,81,Asia,toyota corolla,blue,15.340277777777777,x
27.0,4,97.0,88,2130,14.5,70,Asia,datsun pl510,blue,12.6025,x
13.0,8,350.0,155,4502,13.5,72,US,buick lesabre custom,green,56.300011111111104,o
31.0,4,91.0,68,1970,17.6,82,Asia,mazda glc custom,blue,10.780277777777776,x
28.0,4,151.0,90,2678,16.5,80,US,chevrolet citation,blue,19.92134444444444,o
27.2,4,135.0,84,2490,15.7,81,US,plymouth reliant,blue,17.222500000000004,o
21.0,4,120.0,87,2979,19.5,72,Europe,peugeot 504 (sw),blue,24.651225,s
19.0,4,121.0,112,2868,15.5,73,Europe,volvo 144ea,blue,22.8484,s
25.0,4,110.0,87,2672,17.5,70,Europe,peugeot 504,blue,19.832177777777776,s
23.0,8,350.0,125,3900,17.4,79,US,cadillac eldorado,green,42.25,o
19.0,6,156.0,108,2930,15.5,76,Asia,toyota mark ii,red,23.84694444444445,x
15.5,8,351.0,142,4054,14.3,79,US,ford country squire (sw),green,45.652544444444445,o
23.9,4,119.0,97,2405,14.9,78,Asia,datsun 200-sx,blue,16.066736111111116,x
22.0,6,250.0,105,3353,14.5,76,US,chevrolet nova,red,31.22946944444444,o
29.0,4,97.0,75,2171,16.0,75,Asia,toyota corolla,blue,13.09233611111111,x
14.0,8,302.0,137,4042,14.5,73,US,ford gran torino,green,45.38267777777777,o
15.0,8,318.0,150,3399,11.0,73,US,dodge dart custom,green,32.092225,o
27.0,4,112.0,88,2640,18.6,82,US,chevrolet cavalier wagon,blue,19.360000000000003,o
15.0,8,350.0,145,4440,14.0,75,US,chevrolet bel air,green,54.760000000000005,o
30.5,4,98.0,63,2051,17.0,77,US,chevrolet chevette,blue,11.685002777777779,o
25.0,4,104.0,95,2375,17.5,70,Europe,saab 99e,blue,15.668402777777779,s
17.5,8,305.0,140,4215,13.0,76,US,chevrolet chevelle malibu classic,green,49.35062500000001,o
34.0,4,112.0,88,2395,18.0,82,US,chevrolet cavalier 2-door,blue,15.933402777777777,o
38.0,6,262.0,85,3015,17.0,82,US,oldsmobile cutlass ciera (diesel),red,25.250625000000003,o
30.0,4,79.0,70,2074,19.5,71,Europe,peugeot 304,blue,11.948544444444444,s
19.8,6,200.0,85,2990,18.2,79,US,mercury zephyr 6,red,24.83361111111111,o
25.0,4,121.0,115,2671,13.5,75,Europe,saab 99le,blue,19.817336111111114,s
21.0,4,122.0,86,2226,16.5,72,US,ford pinto runabout,blue,13.7641,o
26.0,4,98.0,79,2255,17.7,76,US,dodge colt,blue,14.125069444444444,o
16.5,6,168.0,120,3820,16.7,76,Europe,mercedes-benz 280s,red,40.53444444444444,s
18.1,6,258.0,120,3410,15.1,78,US,amc concord d/l,red,32.30027777777778,o
46.6,4,86.0,65,2110,17.9,80,Asia,mazda glc,blue,12.366944444444444,x
21.5,4,121.0,110,2600,12.8,77,Europe,bmw 320i,blue,18.777777777777775,s
14.0,8,454.0,220,4354,9.0,70,US,chevrolet impala,green,52.65921111111111,o
21.6,4,121.0,115,2795,15.7,78,Europe,saab 99gle,blue,21.700069444444445,s
15.5,8,350.0,170,4165,11.4,77,US,chevrolet monte carlo landau,green,48.18673611111111,o
20.5,6,225.0,100,3430,17.2,78,US,plymouth volare,red,32.68027777777778,o
23.9,8,260.0,90,3420,22.2,79,US,oldsmobile cutlass salon brougham,green,32.49,o
12.0,8,455.0,225,4951,11.0,73,US,buick electra 225 custom,green,68.09000277777778,o
20.2,6,200.0,85,2965,15.8,78,US,ford fairmont (auto),red,24.420069444444444,o
34.4,4,98.0,65,2045,16.2,81,US,ford escort 4w,blue,11.616736111111111,o
23.0,4,120.0,97,2506,14.5,72,Asia,toyouta corona mark ii (sw),blue,17.444544444444446,x
24.3,4,151.0,90,3003,20.1,80,US,amc concord,blue,25.050024999999998,o
19.0,6,232.0,90,3211,17.0,75,US,amc pacer,red,28.64033611111111,o
29.0,4,68.0,49,1867,19.5,73,Europe,fiat 128,blue,9.682469444444445,s
23.5,6,173.0,110,2725,12.6,81,US,chevrolet citation,red,20.626736111111114,o
34.0,4,108.0,70,2245,16.9,82,Asia,toyota corolla,blue,14.000069444444444,x
37.0,4,119.0,92,2434,15.0,80,Asia,datsun 510 hatchback,blue,16.456544444444443,x
33.0,4,91.0,53,1795,17.5,75,Asia,honda civic cvcc,blue,8.950069444444445,x
18.0,6,232.0,100,2789,15.0,73,US,amc gremlin,red,21.60700277777778,o
15.0,8,390.0,190,3850,8.5,70,US,amc ambassador dpl,green,41.173611111111114,o
34.7,4,105.0,63,2215,14.9,81,US,plymouth horizon 4,blue,13.62840277777778,o
19.4,6,232.0,90,3210,17.2,78,US,amc concord,red,28.622499999999995,o
32.0,4,91.0,67,1965,15.7,82,Asia,honda civic (auto),blue,10.725624999999999,x
34.1,4,86.0,65,1975,15.2,79,Asia,maxda glc deluxe,blue,10.835069444444443,x
33.7,4,107.0,75,2210,14.4,81,Asia,honda prelude,blue,13.566944444444443,x
20.0,6,225.0,100,3651,17.7,76,US,dodge aspen se,red,37.027225,o
15.0,6,258.0,110,3730,19.0,75,US,amc matador,red,38.64694444444444,o
38.1,4,89.0,60,1968,18.8,80,Asia,toyota corolla tercel,blue,10.758399999999998,x
26.0,4,108.0,93,2391,15.5,74,Asia,subaru,blue,15.880225,x
27.0,4,97.0,88,2100,16.5,72,Asia,toyota corolla 1600 (sw),blue,12.25,x
16.0,8,318.0,150,4498,14.5,75,US,plymouth grand fury,green,56.20001111111112,o
17.0,6,250.0,100,3329,15.5,71,US,chevrolet chevelle malibu,red,30.784002777777772,o
13.0,8,318.0,150,3940,13.2,76,US,plymouth volare premier v8,green,43.121111111111105,o
28.0,4,112.0,88,2605,19.6,82,US,chevrolet cavalier,blue,18.850069444444447,o
14.0,8,455.0,225,3086,10.0,70,US,buick estate wagon (sw),green,26.45387777777778,o
31.5,4,98.0,68,2045,18.5,77,Asia,honda accord cvcc,blue,11.616736111111111,x
34.5,4,105.0,70,2150,14.9,79,US,plymouth horizon tc3,blue,12.840277777777779,o
11.0,8,429.0,208,4633,11.0,72,US,mercury marquis,green,59.62413611111111,o
16.0,6,250.0,105,3897,18.5,75,US,chevroelt chevelle malibu,red,42.185025,o
31.6,4,120.0,74,2635,18.3,81,Asia,mazda 626,blue,19.28673611111111,x
19.1,6,225.0,90,3381,18.7,80,US,dodge aspen,red,31.753224999999997,o
18.5,6,250.0,110,3645,16.2,76,US,pontiac ventura sj,red,36.905625,o
15.0,6,250.0,72,3432,21.0,75,US,mercury monarch,red,32.718399999999995,o
18.0,6,199.0,97,2774,15.5,70,US,amc hornet,red,21.37521111111111,o
35.0,4,122.0,88,2500,15.1,80,Europe,triumph tr7 coupe,blue,17.361111111111114,s
20.2,6,200.0,88,3060,17.1,81,US,ford granada gl,red,26.009999999999998,o
13.0,8,302.0,129,3169,12.0,75,US,ford mustang ii,green,27.896002777777774,o
31.0,4,112.0,85,2575,16.2,82,US,pontiac j2000 se hatchback,blue,18.41840277777778,o
22.0,4,122.0,86,2395,16.0,72,US,ford pinto (sw),blue,15.933402777777777,o
11.0,8,400.0,150,4997,14.0,73,US,chevrolet impala,green,69.36113611111111,o
33.5,4,85.0,70,1945,16.8,77,Asia,datsun f-10 hatchback,blue,10.508402777777778,x
43.1,4,90.0,48,1985,21.5,78,Europe,volkswagen rabbit custom diesel,blue,10.945069444444442,s
25.4,5,183.0,77,3530,20.1,79,Europe,mercedes benz 300d,purple,34.61361111111112,s
40.8,4,85.0,65,2110,19.2,80,Asia,datsun 210,blue,12.366944444444444,x
14.0,8,400.0,175,4385,12.0,72,US,pontiac catalina,green,53.41173611111112,o
29.8,4,134.0,90,2711,15.5,80,Asia,toyota corona liftback,blue,20.415336111111113,x
16.0,8,318.0,150,4190,13.0,76,US,dodge coronet brougham,green,48.76694444444445,o
20.6,6,225.0,110,3360,16.6,79,US,dodge aspen 6,red,31.359999999999996,o
18.0,8,307.0,130,3504,12.0,70,US,chevrolet chevelle malibu,green,34.105599999999995,o
33.0,4,91.0,53,1795,17.4,76,Asia,honda civic,blue,8.950069444444445,x
31.8,4,85.0,65,2020,19.2,79,Asia,datsun 210,blue,11.334444444444445,x
13.0,8,351.0,158,4363,13.0,73,US,ford ltd,green,52.877136111111106,o
20.0,6,198.0,95,3102,16.5,74,US,plymouth duster,red,26.7289,o
32.0,4,83.0,61,2003,19.0,74,Asia,datsun 710,blue,11.144469444444445,x
13.0,8,440.0,215,4735,11.0,73,US,chrysler new yorker brougham,green,62.27840277777778,o
23.7,3,70.0,100,2420,12.5,80,Asia,mazda rx-7 gs,black,16.267777777777777,x
19.2,8,305.0,145,3425,13.2,78,US,chevrolet monte carlo landau,green,32.58506944444444,o
37.0,4,91.0,68,2025,18.2,82,Asia,mazda glc custom l,blue,11.390625,x
18.0,8,318.0,150,3436,11.0,70,US,plymouth satellite,green,32.79471111111111,o
19.0,4,120.0,88,3270,21.9,76,Europe,peugeot 504,blue,29.7025,s
32.3,4,97.0,67,2065,17.8,81,Asia,subaru,blue,11.845069444444446,x
18.0,6,225.0,105,3121,16.5,73,US,plymouth valiant,red,27.057336111111116,o
13.0,8,360.0,175,3821,11.0,73,US,amc ambassador brougham,green,40.55566944444444,o
12.0,8,350.0,160,4456,13.5,72,US,oldsmobile delta 88 royale,green,55.15537777777778,o
36.0,4,105.0,74,1980,15.3,82,Europe,volkswagen rabbit l,blue,10.889999999999999,s
18.2,8,318.0,135,3830,15.2,79,US,dodge st. regis,green,40.74694444444445,o
19.0,6,232.0,100,2634,13.0,71,US,amc gremlin,red,19.2721,o
30.0,4,146.0,67,3250,21.8,80,Europe,mercedes-benz 240d,blue,29.340277777777782,s
15.0,8,429.0,198,4341,10.0,70,US,ford galaxie 500,green,52.345225000000006,o
11.0,8,350.0,180,3664,11.0,73,US,oldsmobile omega,green,37.291377777777775,o
10.0,8,360.0,215,4615,14.0,70,US,ford f250,green,59.16173611111111,o
16.0,6,250.0,100,3278,18.0,73,US,chevrolet nova custom,red,29.848011111111106,o
14.0,8,455.0,225,4425,10.0,70,US,pontiac catalina,green,54.390625,o
16.9,8,350.0,155,4360,14.9,79,US,buick estate wagon (sw),green,52.80444444444444,o
13.0,8,360.0,170,4654,13.0,73,US,plymouth custom suburb,green,60.16587777777778,o
25.0,4,116.0,81,2220,16.9,76,Europe,opel 1900,blue,13.690000000000001,s
21.0,6,200.0,85,2587,16.0,70,US,ford maverick,red,18.590469444444444,o
21.1,4,134.0,95,2515,14.8,78,Asia,toyota celica gt liftback,blue,17.570069444444442,x
26.0,4,122.0,80,2451,16.5,74,US,ford pinto,blue,16.687224999999998,o
28.0,4,97.0,92,2288,17.0,72,Asia,datsun 510 (sw),blue,14.541511111111111,x
29.0,4,90.0,70,1937,14.0,75,Europe,volkswagen rabbit,blue,10.422136111111111,s
16.0,8,351.0,149,4335,14.5,77,US,ford thunderbird,green,52.200624999999995,o
26.6,4,151.0,84,2635,16.4,81,US,buick skylark,blue,19.28673611111111,o
19.0,3,70.0,97,2330,13.5,72,Asia,mazda rx2 coupe,black,15.080277777777777,x
32.8,4,78.0,52,1985,19.4,78,Asia,mazda glc deluxe,blue,10.945069444444442,x
22.0,4,140.0,72,2408,19.0,71,US,chevrolet vega (sw),blue,16.106844444444448,o
19.0,4,122.0,85,2310,18.5,73,US,ford pinto,blue,14.822500000000002,o
31.0,4,76.0,52,1649,16.5,74,Asia,toyota corona,blue,7.553336111111112,x
23.0,4,115.0,95,2694,15.0,75,Europe,audi 100ls,blue,20.160100000000003,s
29.5,4,97.0,71,1825,12.2,76,Europe,volkswagen rabbit,blue,9.25173611111111,s
17.5,8,318.0,140,4080,13.7,78,US,dodge magnum xe,green,46.239999999999995,o
19.0,6,250.0,100,3282,15.0,71,US,pontiac firebird,red,29.920899999999996,o
24.0,4,134.0,96,2702,13.5,75,Asia,toyota corona,blue,20.280011111111108,x
14.0,8,304.0,150,4257,15.5,74,US,amc matador (sw),green,50.339025,o
28.0,4,90.0,75,2125,14.5,74,US,dodge colt,blue,12.543402777777777,o
21.0,6,155.0,107,2472,14.0,73,US,mercury capri v6,red,16.9744,o
22.4,6,231.0,110,3415,15.8,81,US,buick century,red,32.395069444444445,o
36.0,4,107.0,75,2205,14.5,82,Asia,honda accord,blue,13.505624999999998,x
18.0,6,171.0,97,2984,14.5,75,US,ford pinto,red,24.734044444444446,o
16.2,6,163.0,133,3410,15.8,78,Europe,peugeot 604sl,red,32.30027777777778,s
39.4,4,85.0,70,2070,18.6,78,Asia,datsun b210 gx,blue,11.902500000000002,x
30.0,4,97.0,67,1985,16.4,77,Asia,subaru dl,blue,10.945069444444442,x
18.0,4,121.0,112,2933,14.5,72,Europe,volvo 145e (sw),blue,23.89580277777778,s
17.5,8,305.0,145,3880,12.5,77,US,chevrolet caprice classic,green,41.81777777777778,o
28.8,6,173.0,115,2595,11.3,79,US,chevrolet citation,red,18.705625,o
22.0,4,121.0,98,2945,14.5,75,Europe,volvo 244dl,blue,24.09173611111111,s
34.2,4,105.0,70,2200,13.2,79,US,plymouth horizon,blue,13.444444444444443,o
30.5,4,97.0,78,2190,14.1,77,Europe,volkswagen dasher,blue,13.3225,s
16.0,8,400.0,230,4278,9.5,73,US,pontiac grand prix,green,50.8369,o
38.0,4,105.0,63,2125,14.7,82,US,plymouth horizon miser,blue,12.543402777777777,o
41.5,4,98.0,76,2144,14.7,80,Europe,vw rabbit,blue,12.768711111111111,s
27.9,4,156.0,105,2800,14.4,80,US,dodge colt,blue,21.777777777777782,o
22.0,6,198.0,95,2833,15.5,70,US,plymouth duster,red,22.29413611111111,o
29.8,4,89.0,62,1845,15.3,80,Europe,vokswagen rabbit,blue,9.455625000000001,s
17.7,6,231.0,165,3445,13.4,78,US,buick regal sport coupe (turbo),red,32.9667361111111,o
