Mid-offspr,Male BD,Female BD
8.97,9.9,9.2
8.44,9.2,7.9
8.92,9.2,8.9
10.3,11,8.8
8.4,10,9.6
9.37,10,9.5
9.91,11.4,9.1
10,9,9.2
9.21,10,9.3
9.95,10,10.6
8.84,10,7.8
9.82,10,9.9
9.5,8.9,10.1
10.29,9.7,9.85
8.4,10.65,8.2
8.31,6.7,8.8
9.29,6.7,8.4
8.86,8.6,9.6
9.4,10.6,8.6
9.62,9.95,9.2
8.62,9.5,8.4
8.3,10.2,9.1
9.8,10.3,9
8.48,11,8.3
9.61,10.5,8.55
9.5,10.5,9.2
9.37,9.3,8.8
8.74,9.2,9.4
9.31,9.2,8.6
9.5,9.2,9.7
9.49,9.7,10.3
9.74,9.7,10
9.2,9.7,8.8
9.24,10,10.2
9.7,9.9,8.35
9.64,9.9,9.4
9.2,9.9,8.3
7.5,6.4,9.7
7.5,6.4,8.4
8.7,7.7,10
8.31,7.7,10.45
9,9.7,8.3
9.74,9.1,10.3
9.31,8.9,8.5
10.5,8.9,10
9.3,9.4,10
8.12,9.4,7.3
9.34,8.6,9.1
9.72,9.8,9.6
9,9.8,9.1
9.65,10.6,10
9.9,9.7,10.3
10,10.1,10.8
10.1,10.1,8.8
8,8.5,8.5
9.07,7.7,8.9
9.75,9.4,10.6
9.33,10.1,8.35
8.11,8.9,10.6
9.36,9.1,9.2
9.74,10.2,8.9
9.9,9.5,8.5
9.23,9.1,9.45
9.7,9.5,9.2
8.2,9.5,8.4
9.35,9.85,9.9
9.49,7.9,9
9.34,7.9,9.3
8.87,8.6,10.8
9.03,8.6,8.5
9.07,8.1,10
9.43,10.3,8.9
8.2,8.5,8.8
9.19,9.2,9.2
9,9.2,8.7
9.2,10,9.2
9.06,9.3,9
9.81,9.1,9.7
8.89,9,8.9
9.4,11.5,8.4
10.45,11.4,9.7
9.64,10.3,9.1
9.03,8.9,8.8
8.71,8.9,8.7
9.91,9.6,10.4
8.33,9.6,8.5
8.2,7.2,9.2
7.83,7.2,9
7.14,7.2,7.3
8.91,7.2,9.4
9.18,8.9,9.4
8.8,8.9,8.3
9.9,11,8
7.73,7,9.1
9.25,9.85,9
8.7,9.8,8.8
9.5,9.8,9.8
9.3,10.2,8.4
9.05,10.2,9.5
10.18,9.6,9.4
8.85,8.3,9
9.24,9.5,10.15
9.15,9.5,8.5
9.98,10.9,10
8.77,9.5,8.7
9.8,10,9.1
8.65,8.5,9.6
10,8.8,11.2
8.81,9.8,8.9
8.01,8.8,7.95
7.9,8.8,7.8
9.41,8.9,8.7
10.18,9.8,10.4
9.55,9.6,9.4
9.08,10.4,9.1
8.4,10.4,9.8
9.75,9.45,9.7
8.9,9.45,9.4
9.07,10.4,8.9
9.35,8.45,9
8.9,9.5,8.55
8.19,9.7,7.3
8.65,9.6,8.3
9.19,8.7,9.9
8.9,10.4,7.3
9.28,9.6,8.3
10.58,9.1,10.5
9,9.2,9.8
9.4,8.4,8.9
8.91,9.9,8.3
9.93,9.1,9.7
10,7.95,9
9.37,9.6,9.1
7.4,8.5,7.4
9,8.8,9.9
8.8,7.8,9.35
9.18,9,9.1
8.3,7.9,8.45
10.08,9.9,9.8
7.9,8.2,7.5
9.96,9.3,10.4
10.4,10.1,10.1
9.65,9.4,9.3
8.8,9.4,8.3
8.65,9.1,8.4
9.7,9.9,9.35
9.23,9.5,9
9.43,9.3,9.8
9.93,10.35,10.3
8.47,9.8,7.3
9.55,9.8,9.55
9.28,9.5,8.8
8.85,9.6,8.4
8.9,10.1,9.2
8.75,8.5,8.7
8.63,9.25,8.35
9,8.7,9.3
9.43,10.3,9.6
8.28,8.9,7.9
9.23,9.5,9.2
10.4,10.1,10.5
9,8.3,9.8
9.8,9.45,10.5
9.77,10.8,9.15
8.97,8.5,8.8
8.37,8.8,8.65
7.7,7.4,9
7.9,7.4,8.3
9.5,8.85,8.7
8.2,9.3,7.7
8.8,9.4,9.4
