# These data are from the paper,
#   Kleinteich and Gorb, Sci. Rep., 4, 5225, 2014.
# It was featured in the New York Times.
#    http://www.nytimes.com/2014/08/25/science/a-frog-thats-a-living-breathing-pac-man.html
#
# The authors included the data in their supplemental information.
#
# Importantly, the ID refers to the identifites of the frogs they tested.
#   I:   adult, 63 mm snout-vent-length (SVL) and 63.1 g body weight,
#        Ceratophrys cranwelli crossed with Ceratophrys cornuta
#   II:  adult, 70 mm SVL and 72.7 g body weight,
#        Ceratophrys cranwelli crossed with Ceratophrys cornuta
#   III: juvenile, 28 mm SVL and 12.7 g body weight, Ceratophrys cranwelli
#   IV:  juvenile, 31 mm SVL and 12.7 g body weight, Ceratophrys cranwelli
date,ID,trial number,impact force (mN),impact time (ms),impact force / body weight,adhesive force (mN),time frog pulls on target (ms),adhesive force / body weight,adhesive impulse (N-s),total contact area (mm2),contact area without mucus (mm2),contact area with mucus / contact area without mucus,contact pressure (Pa),adhesive strength (Pa)
2013_03_25,II,1,1453,72,3.42,-92,1652,0.22,-0.008,136,0,1.00,10645,-678
2013_03_25,II,2,297,42,0.70,-566,936,1.33,-0.084,126,4,0.97,2367,-4506
2013_03_25,II,3,703,33,1.65,-223,2152,0.52,-0.209,237,8,0.97,2972,-942
2013_03_25,II,4,269,57,0.63,-512,189,1.20,-0.055,29,28,0.03,9279,-17652
2013_03_28,II,1,751,39,1.77,-227,1195,0.53,-0.026,206,0,1.00,3647,-1101
2013_03_28,II,2,245,21,0.58,-573,1466,1.35,-0.215,190,46,0.76,1288,-3014
2013_04_03,II,1,1182,28,2.78,-522,1197,1.23,-0.118,281,0,1.00,4213,-1860
2013_04_03,II,2,515,29,1.21,-599,1486,1.41,-0.226,217,0,1.00,2369,-2757
2013_04_08,II,1,435,26,1.02,-364,1017,0.86,-0.211,189,89,0.53,2302,-1927
2013_04_08,II,2,383,31,0.90,-469,974,1.10,-0.260,221,72,0.67,1737,-2129
2013_04_08,II,3,457,15,1.08,-844,780,1.99,-0.328,171,106,0.38,2665,-4925
2013_04_12,II,1,730,42,1.72,-648,786,1.52,-0.121,142,43,0.70,5149,-4573
2013_05_27,III,1,614,88,4.94,-94,683,0.76,-0.001,97,15,0.83,6326,-967
2013_05_27,III,2,414,143,3.33,-163,245,1.31,-0.032,108,10,0.60,3824,-1507
2013_05_27,III,3,324,105,2.61,-172,619,1.38,-0.079,55,23,0.37,5946,-3149
2013_06_11,III,1,776,35,6.24,-225,1823,1.81,-0.132,124,17,0.77,6272,-1818
2013_06_11,III,2,611,29,4.91,-301,918,2.42,-0.155,128,43,0.02,4770,-2354
2013_06_11,III,3,544,16,4.38,-93,1351,0.75,-0.110,43,34,0.71,12699,-2181
2013_06_14,III,1,538,38,4.32,-131,1790,1.05,-0.036,130,74,1.00,4130,-1005
2013_06_14,III,2,579,31,4.66,-289,1006,2.33,-0.073,113,4,0.48,5110,-2555
2013_06_18,III,1,806,29,6.49,-104,883,0.84,-0.055,115,55,0.66,6993,-902
2013_06_18,III,2,459,32,3.70,-229,1218,1.85,-0.137,89,6,0.95,5165,-2580
2013_06_18,III,3,458,30,3.69,-259,910,2.08,-0.194,91,88,0.15,5048,-2855
2013_06_18,III,4,626,16,5.04,-231,550,1.86,-0.042,82,23,0.01,7633,-2819
2013_06_21,III,1,621,27,4.99,-267,2081,2.14,-0.183,120,58,0.90,5152,-2213
2013_06_21,III,2,544,30,4.38,-178,376,1.43,-0.034,19,17,0.05,28641,-9364
2013_06_21,III,3,535,35,4.30,-123,289,0.99,-0.029,21,29,0.05,25471,-5843
2013_06_21,III,4,385,39,3.09,-151,607,1.22,-0.082,31,126,0.03,12409,-4882
2013_06_26,III,1,401,36,3.23,-127,2932,1.02,-0.215,142,12,0.86,2835,-896
2013_06_26,III,2,614,34,4.94,-372,680,2.99,-0.140,72,1,0.42,8475,-5136
2013_06_26,III,3,665,40,5.35,-236,685,1.90,-0.118,129,0,0.16,5171,-1834
2013_06_26,III,4,488,34,3.93,-390,1308,3.14,-0.208,112,58,0.39,4376,-3492
2013_05_27,IV,2,172,26,1.28,-456,462,3.40,-0.050,133,0,0.88,1297,-3440
2013_05_27,IV,3,142,20,1.05,-193,250,1.44,-0.047,57,74,0.83,2498,-3400
2013_05_27,IV,4,37,55,0.28,-236,743,1.76,-0.119,51,44,0.54,735,-4647
2013_05_30,IV,1,453,38,3.37,-225,844,1.68,-0.110,142,108,0.48,3177,-1581
2013_05_30,IV,2,355,31,2.64,-217,728,1.61,-0.023,174,39,0.98,2037,-1245
2013_05_30,IV,3,22,33,0.17,-161,472,1.20,-0.052,56,4,0.02,397,-2866
2013_06_03,IV,1,502,74,3.74,-139,959,1.04,-0.089,65,77,0.91,7713,-2141
2013_06_11,IV,1,273,26,2.03,-264,844,1.97,-0.160,124,81,0.29,2205,-2136
2013_06_11,IV,2,720,27,5.36,-342,1515,2.55,-0.226,137,0,0.83,5259,-2497
2013_06_11,IV,3,582,33,4.34,-231,279,1.72,-0.033,60,4,0.03,9705,-3847
2013_06_11,IV,4,198,23,1.47,-209,1427,1.55,-0.151,110,69,0.84,1793,-1889
2013_06_14,IV,1,198,6,1.47,-292,2874,2.17,-0.232,145,50,0.99,1369,-2018
2013_06_18,IV,1,597,29,4.44,-339,4251,2.53,-0.281,191,12,1.00,3116,-1772
2013_06_18,IV,2,516,31,3.84,-371,626,2.76,-0.094,83,18,0.12,6184,-4447
2013_06_18,IV,3,815,34,6.07,-331,1254,2.47,-0.077,151,20,0.71,5386,-2190
2013_06_18,IV,4,402,38,3.00,-302,986,2.25,-0.122,117,30,0.07,3446,-2591
2013_06_21,IV,1,605,39,4.50,-216,1627,1.61,-0.139,123,20,1.00,4928,-1759
2013_06_21,IV,2,711,76,5.30,-163,2021,1.21,-0.217,129,42,0.97,5498,-1257
2013_06_21,IV,3,614,33,4.57,-367,1366,2.73,-0.198,128,108,0.46,4776,-2857
2013_06_21,IV,4,468,36,3.48,-218,1269,1.63,-0.122,129,68,0.61,3617,-1688
