band,species,"Beak length, mm","Beak depth, mm"
574,fortis,11.1,9.9
576,fortis,10.5,8.9
578,fortis,10,9.1
579,fortis,10.2,8.6
601,fortis,9.7,7.8
602,fortis,10,8.6
603,fortis,10.7,9.5
604,fortis,11,9.5
605,fortis,10.9,10.2
606,fortis,10.5,9.1
607,fortis,10.9,9.7
608,fortis,10.7,9.4
609,fortis,11.9,10.5
610,fortis,10.2,9
611,fortis,10.5,9.8
615,fortis,11.2,10
616,fortis,10.7,9.6
617,fortis,10.3,9.6
618,fortis,11.6,9.9
619,fortis,10.5,9.3
620,fortis,10.9,9.6
621,fortis,9.8,7.6
622,fortis,10.9,9.2
623,fortis,10.3,8.8
624,fortis,11.7,10.1
625,fortis,11,8.9
626,fortis,9.8,9.5
627,fortis,10.4,8.2
628,fortis,10.8,9.7
629,fortis,11,9.8
670,fortis,10.6,9.3
671,fortis,11.3,9.8
672,fortis,10.1,8.8
673,fortis,11.4,10.1
674,fortis,11.8,10.5
675,fortis,9.9,8.6
676,fortis,11,9.7
677,fortis,10.8,10
678,fortis,11.3,9.7
679,fortis,11.1,10.5
680,fortis,11,10.4
681,fortis,10.4,9.2
682,fortis,9.1,8.1
683,fortis,10.8,9.4
684,fortis,10.6,8.9
685,fortis,8.7,8.2
686,fortis,10.7,9.3
687,fortis,10.3,8.6
688,fortis,10.5,9
689,fortis,9.1,7.6
701,fortis,9.5,8.7
702,fortis,10.8,9.8
703,fortis,10.6,9.4
704,fortis,9.9,9.9
705,fortis,11.5,10.1
706,fortis,11.2,9.8
707,fortis,9.7,7.9
708,fortis,12.2,10.8
709,fortis,9.2,7.9
710,fortis,10.5,10
711,fortis,10.5,8.4
712,fortis,10.8,9.5
713,fortis,10.7,8.8
714,fortis,11.8,10.4
715,fortis,9.1,8.1
716,fortis,10.1,9.8
717,fortis,10,8.2
719,fortis,11,9.5
720,fortis,12.2,10.5
721,fortis,11.4,9.7
723,fortis,10.9,9.6
725,fortis,10.6,9.6
726,fortis,9.3,7.9
780,fortis,10.9,10.1
781,fortis,10.6,9.3
785,fortis,11,10.3
786,fortis,9,7.9
787,fortis,11,9.1
788,fortis,10.4,8.9
789,fortis,10.4,8.3
790,fortis,9.6,9.4
801,fortis,10.6,9.5
802,fortis,10.1,8.5
803,fortis,9.7,8.6
804,fortis,9.6,8.5
805,fortis,10.1,8.2
807,fortis,9.9,7.9
808,fortis,11,10
809,fortis,10.9,9.4
810,fortis,9.7,8
811,fortis,10,8.6
812,fortis,10.4,9
813,fortis,11.6,9.9
814,fortis,9.6,8
815,fortis,10.8,9.6
817,fortis,10.9,9.2
818,fortis,10.2,9
818,fortis,10.2,9
819,fortis,10.4,9.2
820,fortis,11,9.5
821,fortis,10.7,9.2
822,fortis,11.1,9.7
823,fortis,10.8,9.1
824,fortis,10.9,9.4
825,fortis,9.9,8.6
826,fortis,11.8,9.8
827,fortis,9.7,8
828,fortis,11.9,10.4
829,fortis,9.6,8.1
830,fortis,10.9,9.9
831,fortis,10.2,8.6
891,fortis,9.9,8
892,fortis,11.3,9
893,fortis,10.9,9.7
894,fortis,9.8,8.1
895,fortis,10.3,8.8
896,fortis,8.8,7.5
897,fortis,11.6,10.2
898,fortis,9.9,8.2
899,fortis,9.9,8.6
900,fortis,9.9,8.7
902,fortis,10.4,8.6
903,fortis,11.2,9.9
904,fortis,10.8,9.5
905,fortis,9.9,8.4
906,fortis,9.9,8.7
907,fortis,10.2,8.2
908,fortis,10.4,9.2
909,fortis,9.4,8.2
910,fortis,10.2,9.2
911,fortis,11,9.3
912,fortis,10.6,8.9
913,fortis,10.5,9
914,fortis,10.4,9.1
915,fortis,10.2,8.8
917,fortis,10.2,8.8
919,fortis,11,9.6
921,fortis,11.1,10.2
922,fortis,9.7,8.2
923,fortis,10.5,8.9
924,fortis,10.9,9
925,fortis,10.7,8.8
926,fortis,11,9.9
927,fortis,10.9,9.3
928,fortis,11.2,9.9
929,fortis,11.5,9.5
930,fortis,10.8,10
931,fortis,10.2,8.9
932,fortis,11,9.8
933,fortis,10.9,9.9
934,fortis,10.5,8.7
936,fortis,10.8,9.2
941,fortis,9.8,8.2
942,fortis,9.7,7.9
943,fortis,10.3,9.1
944,fortis,10.3,8.3
944,fortis,10.3,8.3
945,fortis,11.6,10.8
945,fortis,11.6,10.8
951,fortis,10.9,9.9
952,fortis,10.6,9
954,fortis,11.5,9.3
991,fortis,10.8,9.6
1040,fortis,10.83,9.3
1368,fortis,11.73,10.2
1420,fortis,10.23,8.6
1433,fortis,11.83,10.98
1560,fortis,11.43,10.28
1581,fortis,10.73,9.6
1770,fortis,10.33,9.28
1857,fortis,10.23,9.5
1860,fortis,11.53,9.4
1884,fortis,11.03,9.15
2102,fortis,11.73,9.8
2105,fortis,10.53,9.35
2220,fortis,9.93,8.5
2381,fortis,11.23,10.5
2482,fortis,9.83,8.5
2939,fortis,9.63,8.31
2955,fortis,10.6,9.9
2974,fortis,11.88,10.36
3642,fortis,11.03,10.28
8016,fortis,10.73,8.9
8020,fortis,10.13,8.7
20139,fortis,10.15,9.15
20165,fortis,10.85,10.35
20166,fortis,10.95,8.85
20168,fortis,9.85,8.55
20204,fortis,10.25,8.95
20238,fortis,11.75,10.75
20267,fortis,10.95,10.05
20273,fortis,10.95,10.15
20283,fortis,10.55,8.45
20285,fortis,9.65,8.85
20286,fortis,11.45,10.25
20293,fortis,10.25,9.75
20298,fortis,10.05,8.95
302,scandens,13.9,8.4
304,scandens,14,8.8
306,scandens,12.9,8.4
310,scandens,13.5,8
317,scandens,12.9,7.9
318,scandens,14.6,8.9
319,scandens,13,8.6
322,scandens,14.2,8.5
325,scandens,14,8.9
327,scandens,14.2,9.1
351,scandens,13.1,8.6
353,scandens,15.1,9.8
357,scandens,13.5,8.2
358,scandens,14.4,9
359,scandens,14.9,9.7
361,scandens,12.9,8.6
362,scandens,13,8.2
363,scandens,14.9,9
364,scandens,14,8.4
365,scandens,13.8,8.6
367,scandens,13,8.9
404,scandens,14.75,9.1
406,scandens,13.7,8.3
407,scandens,13.8,8.7
408,scandens,14,9.6
409,scandens,14.6,8.5
412,scandens,15.2,9.1
421,scandens,13.5,9
429,scandens,15.1,9.2
460,scandens,15,9.9
464,scandens,12.8,8.6
467,scandens,14.9,9.2
469,scandens,15.3,8.4
470,scandens,13.4,8.9
471,scandens,14.2,8.5
472,scandens,15.1,10.4
478,scandens,15.1,9.6
508,scandens,14,9.1
523,scandens,13.6,9.3
525,scandens,14,9.3
562,scandens,14,8.8
568,scandens,13.9,8.3
569,scandens,14,8.8
570,scandens,14.9,9.1
571,scandens,15.6,10.1
573,scandens,13.8,8.9
575,scandens,14.4,9.2
577,scandens,12.8,8.5
612,scandens,14.2,10.2
613,scandens,13.4,10.1
614,scandens,14,9.2
718,scandens,14.8,9.7
722,scandens,14.2,9.1
724,scandens,13.5,8.5
727,scandens,13.4,8.2
728,scandens,14.6,9
729,scandens,13.5,9.3
782,scandens,13.7,8
783,scandens,13.9,9.1
784,scandens,13.1,8.1
806,scandens,13.4,8.3
816,scandens,13.8,8.7
890,scandens,13.6,8.8
901,scandens,14,8.6
916,scandens,13.5,8.7
918,scandens,12.8,8
920,scandens,14,8.8
935,scandens,13.4,9
953,scandens,14.9,9.1
1014,scandens,15.54,9.74
1642,scandens,14.63,9.1
1748,scandens,14.73,9.8
1841,scandens,15.73,10.4
1842,scandens,14.83,8.3
2084,scandens,15.94,9.44
2397,scandens,15.14,9.04
8110,scandens,14.23,9
20122,scandens,14.15,9.05
20151,scandens,14.35,9.65
20188,scandens,14.95,9.45
20210,scandens,13.95,8.65
20223,scandens,14.05,9.45
20225,scandens,14.55,9.45
20252,scandens,14.05,9.05
20255,scandens,14.45,8.75
20266,scandens,15.05,9.45
20279,scandens,13.25,8.35
