# Data from Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Proceedings of the Royal Society B 283(1835): 20160506. http://dx.doi.org/10.1098/rspb.2016.0506
# Data from Dryad repository, Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Data from: Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.bs515
# Taken from the Excel file from the "Drone Sperm Data" sheet.
Specimen,Treatment,Environment,TreatmentNCSS,Sample ID,Colony,Cage,Sample,Sperm Volume per 500 ul,Quantity,ViabilityRaw (%),Quality,Age (d),Infertil,AliveSperm,Quantity Millions,Alive Sperm Millions,Dead Sperm Millions
71,Control,Cage,1,C5-3-1,5,6,1,2412500,2412500,44.9921278052127,44.9921278052127,14,0,1085435,2.4125,1.085435,1.327065
70,Control,Cage,1,C5-3-2,5,6,2,1012500,1012500,90.58405696164,90.58405696164,14,0,917163,1.0125,0.917163,0.095337
69,Control,Cage,1,C5-3-3,5,6,3,3375000,3375000,89.9979813278077,89.9979813278077,14,0,3037431,3.375,3.037431,0.337569
68,Control,Cage,1,C5-3-4,5,6,4,3762500,3762500,77.6342643312626,77.6342643312626,14,0,2920989,3.7625,2.920989,0.841511
16,Pesticide,Cage,2,P9-1-1,9,7,1,787500,787500,85.25,85.25,14,0,671343,0.7875,0.671343,0.116157
19,Pesticide,Cage,2,P9-1-10,9,7,10,550000,550000,96.225240761533,96.225240761533,14,0,529238,0.55,0.529238,0.020762
17,Pesticide,Cage,2,P9-1-2,9,7,2,2012500,2012500,94.2555474050981,94.2555474050981,14,0,1896892,2.0125,1.896892,0.115608
21,Pesticide,Cage,2,P9-1-3,9,7,3,312500,312500,64.6849816849817,64.6849816849817,14,0,202140,0.3125,0.20214,0.11036
22,Pesticide,Cage,2,P9-1-4,9,7,4,2425000,2425000,93.3688363420629,93.3688363420629,14,0,2264194,2.425,2.264194,0.160806
23,Pesticide,Cage,2,P9-1-5,9,7,5,1175000,1175000,91.1901154401154,91.1901154401154,14,0,1071483,1.175,1.071483,0.103517
24,Pesticide,Cage,2,P9-1-6,9,7,6,2337500,2337500,84.2298005331373,84.2298005331373,14,0,1968871,2.3375,1.968871,0.368629
25,Pesticide,Cage,2,P9-1-7,9,7,7,137500,137500,50,50,14,0,68750,0.1375,0.06875,0.06875
26,Pesticide,Cage,2,P9-1-8,9,7,8,3775000,3775000,91.6445716674518,91.6445716674518,14,0,3459582,3.775,3.459582,0.315418
18,Pesticide,Cage,2,P9-1-9,9,7,9,0,0,76.3333333333333,,14,1,0,0,0,0
33,Pesticide,Cage,2,P9-2-1,9,8,1,1962500,1962500,91.6640169952838,91.6640169952838,14,0,1798906,1.9625,1.798906,0.163594
104,Pesticide,Cage,2,P9-2-10,9,8,10,2687500,2687500,96.6798007811359,96.6798007811359,14,0,2598269,2.6875,2.598269,0.089231
34,Pesticide,Cage,2,P9-2-4,9,8,4,1475000,1475000,94.5610812944981,94.5610812944981,14,0,1394775,1.475,1.394775,0.080225
35,Pesticide,Cage,2,P9-2-5,9,8,5,1512500,1512500,76.7901234567901,76.7901234567901,14,0,1161450,1.5125,1.16145,0.35105
36,Pesticide,Cage,2,P9-2-6,9,8,6,587500,587500,92.8202433478271,92.8202433478271,14,0,545318,0.5875,0.545318,0.042182
20,Pesticide,Cage,2,P9-2-7,9,8,7,3100000,3100000,85.8696381925479,85.8696381925479,14,0,2661958,3.1,2.661958,0.438042
101,Pesticide,Cage,2,P9-2-8,9,8,8,612500,612500,83.3974358974359,83.3974358974359,14,0,510809,0.6125,0.510809,0.101691
103,Pesticide,Cage,2,P9-2-9,9,8,9,550000,550000,84.7125031830914,84.7125031830914,14,0,465918,0.55,0.465918,0.084082
99,Pesticide,Cage,2,P9-3-1,9,9,1,1737500,1737500,80,80,14,0,1390000,1.7375,1.39,0.3475
38,Pesticide,Cage,2,P9-3-2,9,9,2,312500,312500,65.952380952381,65.952380952381,14,0,206101,0.3125,0.206101,0.106399
98,Pesticide,Cage,2,P9-3-3,9,9,3,612500,612500,96.4028944911298,96.4028944911298,14,0,590467,0.6125,0.590467,0.022033
37,Pesticide,Cage,2,P9-3-4,9,9,4,1462500,1462500,98.0307692307692,98.0307692307692,14,0,1433700,1.4625,1.4337,0.0288
40,Pesticide,Cage,2,P9-3-5,9,9,5,0,0,0,,14,1,0,0,0,0
39,Pesticide,Cage,2,P9-3-6,9,9,6,37500,37500,85.8057628645864,85.8057628645864,14,0,32177,0.0375,0.032177,0.005323
92,Pesticide,Cage,2,P9-3-7,9,9,7,1812500,1812500,82.98892351,82.98892351,14,0,1504174,1.8125,1.504174,0.308326
93,Pesticide,Cage,2,P9-3-8,9,9,8,525000,525000,83.4890585,83.4890585,14,0,438317,0.525,0.438317,0.086683
94,Pesticide,Cage,2,P9-3-9,9,9,9,150000,150000,0,,14,0,0,0.15,0,0.15
45,Pesticide,Cage,2,P10-1-1,10,10,1,3587500,3587500,69.2921732632089,69.2921732632089,14,0,2485856,3.5875,2.485856,1.101644
44,Pesticide,Cage,2,P10-1-2,10,10,2,4112500,4112500,88.518651277272,88.518651277272,14,0,3640329,4.1125,3.640329,0.472171
135,Pesticide,Cage,2,P10-1-3,10,10,3,2850000,2850000,84.16351963,84.16351963,14,0,2398660,2.85,2.39866,0.45134
64,Pesticide,Cage,2,P10-1-4,10,10,4,1675000,1675000,62.2375256322625,62.2375256322625,14,0,1042478,1.675,1.042478,0.632522
67,Pesticide,Cage,2,P10-1-5,10,10,5,2162500,2162500,75.1795366795367,75.1795366795367,14,0,1625757,2.1625,1.625757,0.536743
46,Pesticide,Cage,2,P10-1-6,10,10,6,1075000,1075000,90.2558852558852,90.2558852558852,14,0,970250,1.075,0.97025,0.10475
63,Pesticide,Cage,2,P10-1-7,10,10,7,912500,912500,85.8187854451692,85.8187854451692,14,0,783096,0.9125,0.783096,0.129404
156,Pesticide,Cage,2,P10-1-8,10,10,8,625000,625000,47.11523769,47.11523769,14,0,294470,0.625,0.29447,0.33053
60,Pesticide,Cage,2,P10-2-1,10,11,1,3450000,3450000,75.6472364126538,75.6472364126538,14,0,2609829,3.45,2.609829,0.840171
87,Pesticide,Cage,2,P10-2-10,10,11,10,1325000,1325000,36.9047619047619,36.9047619047619,14,0,488988,1.325,0.488988,0.836012
56,Pesticide,Cage,2,P10-2-2,10,11,2,2387500,2387500,65.4363416721234,65.4363416721234,14,0,1562292,2.3875,1.562292,0.825208
55,Pesticide,Cage,2,P10-2-3,10,11,3,2925000,2925000,22.1805903212349,22.1805903212349,14,0,648782,2.925,0.648782,2.276218
54,Pesticide,Cage,2,P10-2-4,10,11,4,1250000,1250000,57.3331249910197,57.3331249910197,14,0,716664,1.25,0.716664,0.533336
53,Pesticide,Cage,2,P10-2-5,10,11,5,3162500,3162500,67.0888753308092,67.0888753308092,14,0,2121685,3.1625,2.121685,1.040815
49,Pesticide,Cage,2,P10-2-6,10,11,6,550000,550000,80.0878127537372,80.0878127537372,14,0,440482,0.55,0.440482,0.109518
89,Pesticide,Cage,2,P10-2-7,10,11,7,1362500,1362500,87.2134857760681,87.2134857760681,14,0,1188283,1.3625,1.188283,0.174217
88,Pesticide,Cage,2,P10-2-8,10,11,8,2925000,2925000,64.3360623353885,64.3360623353885,14,0,1881829,2.925,1.881829,1.043171
57,Pesticide,Cage,2,P10-2-9,10,11,9,1375000,1375000,69.760989010989,69.760989010989,14,0,959213,1.375,0.959213,0.415787
72,Pesticide,Cage,2,P10-3-1,10,12,1,2337500,2337500,80,80,14,0,1870000,2.3375,1.87,0.4675
73,Pesticide,Cage,2,P10-3-2,10,12,2,2912500,2912500,65.95238095,65.95238095,14,0,1920863,2.9125,1.920863,0.991637
74,Pesticide,Cage,2,P10-3-3,10,12,3,2437500,2437500,96.40289449,96.40289449,14,0,2349820,2.4375,2.34982,0.08768
75,Pesticide,Cage,2,P10-3-4,10,12,4,2237500,2237500,98.03076923,98.03076923,14,0,2193438,2.2375,2.193438,0.044062
76,Pesticide,Cage,2,P10-3-5,10,12,5,3150000,3150000,0,0,14,0,0,3.15,0,3.15
137,Pesticide,Cage,2,P10-3-6,10,12,6,675000,675000,83.5136233,83.5136233,14,0,563716,0.675,0.563716,0.111284
136,Pesticide,Cage,2,P10-3-7,10,12,7,1262500,1262500,73.08722493,73.08722493,14,0,922726,1.2625,0.922726,0.339774
47,Control,Cage,1,C26-1-1,26,13,1,4637500,4637500,91.9125976104989,91.9125976104989,14,0,4262446,4.6375,4.262446,0.375054
199,Control,Cage,1,C26-1-10,26,13,10,3000000,3000000,78.308227886686,78.308227886686,14,0,2349246,3,2.349246,0.650754
186,Control,Cage,1,C26-1-2,26,13,2,1825000,1825000,81.25,81.25,14,0,1482812,1.825,1.482812,0.342188
59,Control,Cage,1,C26-1-3,26,13,3,1212500,1212500,95.8436217383421,95.8436217383421,14,0,1162103,1.2125,1.162103,0.050397
196,Control,Cage,1,C26-1-4,26,13,4,2250000,2250000,75.7647208495557,75.7647208495557,14,0,1704706,2.25,1.704706,0.545294
61,Control,Cage,1,C26-1-5,26,13,5,2662500,2662500,90.7178691961338,90.7178691961338,14,0,2415363,2.6625,2.415363,0.247137
197,Control,Cage,1,C26-1-6,26,13,6,50000,50000,100,100,14,0,50000,0.05,0.05,0
198,Control,Cage,1,C26-1-7,26,13,7,0,0,0,,14,1,0,0,0,0
133,Control,Cage,1,C26-1-8,26,13,8,2612500,2612500,78.4963132,78.4963132,14,0,2050716,2.6125,2.050716,0.561784
50,Control,Cage,1,C26-1-9,26,13,9,2100000,2100000,82.8133985826395,82.8133985826395,14,0,1739081,2.1,1.739081,0.360919
65,Control,Cage,1,C26-2-1,26,14,1,612500,612500,82.4236141825151,82.4236141825151,14,0,504844,0.6125,0.504844,0.107656
62,Control,Cage,1,C26-2-2,26,14,2,3025000,3025000,82.6329934229224,82.6329934229224,14,0,2499648,3.025,2.499648,0.525352
66,Control,Cage,1,C26-2-3,26,14,3,2725000,2725000,79.3020312966259,79.3020312966259,14,0,2160980,2.725,2.16098,0.56402
175,Control,Cage,1,C26-2-4,26,14,4,262500,262500,57.06521739,57.06521739,14,0,149796,0.2625,0.149796,0.112704
176,Control,Cage,1,C26-2-5,26,14,5,2187500,2187500,82.42361418,82.42361418,14,0,1803016,2.1875,1.803016,0.384484
177,Control,Cage,1,C26-2-6,26,14,6,4562500,4562500,82.63299342,82.63299342,14,0,3770130,4.5625,3.77013,0.79237
48,Control,Cage,1,C26-2-7,26,14,7,2625000,2625000,81.6004584,81.6004584,14,0,2142012,2.625,2.142012,0.482988
178,Control,Cage,1,C26-2-8,26,14,8,37500,37500,76.65909502,76.65909502,14,0,28747,0.0375,0.028747,0.008753
179,Control,Cage,1,C26-2-9,26,14,9,3612500,3612500,83.55252183,83.55252183,14,0,3018334,3.6125,3.018334,0.594166
157,Control,Cage,1,C26-3-1,26,15,1,1575000,1575000,92.82808489,92.82808489,14,0,1462042,1.575,1.462042,0.112958
166,Control,Cage,1,C26-3-10,26,15,10,2725000,2725000,76.14945911,76.14945911,14,0,2075072,2.725,2.075072,0.649928
158,Control,Cage,1,C26-3-2,26,15,2,662500,662500,94.86235763,94.86235763,14,0,628463,0.6625,0.628463,0.034037
159,Control,Cage,1,C26-3-3,26,15,3,2650000,2650000,88.04723817,88.04723817,14,0,2333251,2.65,2.333251,0.316749
160,Control,Cage,1,C26-3-4,26,15,4,2487500,2487500,96.61498027,96.61498027,14,0,2403297,2.4875,2.403297,0.084203
161,Control,Cage,1,C26-3-5,26,15,5,1662500,1662500,75.933258,75.933258,14,0,1262390,1.6625,1.26239,0.40011
162,Control,Cage,1,C26-3-6,26,15,6,1375000,1375000,73.73289924,73.73289924,14,0,1013827,1.375,1.013827,0.361173
163,Control,Cage,1,C26-3-7,26,15,7,1725000,1725000,73.12553419,73.12553419,14,0,1261415,1.725,1.261415,0.463585
164,Control,Cage,1,C26-3-8,26,15,8,2512500,2512500,94.24075725,94.24075725,14,0,2367799,2.5125,2.367799,0.144701
165,Control,Cage,1,C26-3-9,26,15,9,1237500,1237500,82.15099624,82.15099624,14,0,1016618,1.2375,1.016618,0.220882
27,Pesticide,Cage,2,P27-2-1,27,16,1,412500,412500,83.6744779029035,83.6744779029035,14,0,345157,0.4125,0.345157,0.067343
28,Pesticide,Cage,2,P27-2-2,27,16,2,2562500,2562500,81.6703153532941,81.6703153532941,14,0,2092801,2.5625,2.092801,0.469699
29,Pesticide,Cage,2,P27-2-3,27,16,3,2475000,2475000,46.1562090691409,46.1562090691409,14,0,1142366,2.475,1.142366,1.332634
30,Pesticide,Cage,2,P27-2-4,27,16,4,4025000,4025000,89.9080085911287,89.9080085911287,14,0,3618797,4.025,3.618797,0.406203
31,Pesticide,Cage,2,P27-2-5,27,16,5,1187500,1187500,92.0062575842632,92.0062575842632,14,0,1092574,1.1875,1.092574,0.094926
32,Pesticide,Cage,2,P27-2-6,27,16,6,1550000,1550000,90.2943843441025,90.2943843441025,14,0,1399562,1.55,1.399562,0.150438
97,Pesticide,Cage,2,P27-3-1,27,17,1,1762500,1762500,97.3668128654971,97.3668128654971,14,0,1716090,1.7625,1.71609,0.04641
102,Pesticide,Cage,2,P27-3-2,27,17,2,562500,562500,56.3148298863249,56.3148298863249,14,0,316770,0.5625,0.31677,0.24573
95,Pesticide,Cage,2,P27-3-3,27,17,3,775000,775000,73.70943059,73.70943059,14,0,571248,0.775,0.571248,0.203752
96,Pesticide,Cage,2,P27-3-4,27,17,4,300000,300000,97.66666667,97.66666667,14,0,293000,0.3,0.293,0.007
100,Pesticide,Cage,2,P27-3-5,27,17,5,1212500,1212500,97.8498168498169,97.8498168498169,14,0,1186429,1.2125,1.186429,0.026071
43,Control,Cage,1,51-1-2,51,18,2,12500,12500,0,0,14,0,0,0.0125,0,0.0125
41,Control,Cage,1,51-1-5,51,18,5,3462500,3462500,89.2028260615428,89.2028260615428,14,0,3088647,3.4625,3.088647,0.373853
185,Control,Cage,1,C51-1-1,51,18,1,1362500,1362500,95.48021298,95.48021298,14,0,1300917,1.3625,1.300917,0.061583
108,Control,Cage,1,c51-1-3,51,18,3,1950000,1950000,90.8822649,90.8822649,14,0,1772204,1.95,1.772204,0.177796
224,Control,Cage,1,C51-1-4,51,18,4,1912500,1912500,94.2353021005149,94.2353021005149,14,0,1802250,1.9125,1.80225,0.11025
217,Control,Cage,1,C51-1-6,51,18,6,2881500,2881500,95.7894736842105,95.7894736842105,14,0,2760173,2.8815,2.760173,0.121327
51,Control,Cage,1,C51-1-7,51,18,7,2550000,2550000,94.2545160570919,94.2545160570919,14,0,2403490,2.55,2.40349,0.14651
117,Control,Cage,1,C51-2-1,51,19,1,1775000,1775000,84.57685325,84.57685325,14,0,1501239,1.775,1.501239,0.273761
116,Control,Cage,1,C51-2-2,51,19,2,2612500,2612500,68.13048201,68.13048201,14,0,1779908,2.6125,1.779908,0.832592
115,Control,Cage,1,C51-2-3,51,19,3,3962500,3962500,89.28510289,89.28510289,14,0,3537922,3.9625,3.537922,0.424578
114,Control,Cage,1,C51-2-4,51,19,4,5000000,5000000,100,100,14,0,5000000,5,5,0
113,Control,Cage,1,C51-2-5,51,19,5,75000,75000,93.18261985,93.18261985,14,0,69886,0.075,0.069886,0.005114
112,Control,Cage,1,C51-2-6,51,19,6,3562500,3562500,86.62051698,86.62051698,14,0,3085855,3.5625,3.085855,0.476645
111,Control,Cage,1,C51-2-7,51,19,7,2350000,2350000,68.11131927,68.11131927,14,0,1600616,2.35,1.600616,0.749384
110,Control,Cage,1,C51-2-8,51,19,8,4750000,4750000,89.04786069,89.04786069,14,0,4229773,4.75,4.229773,0.520227
109,Control,Cage,1,C51-2-9,51,19,9,100000,100000,89.28510289,89.28510289,14,0,89285,0.1,0.089285,0.010715
1,Control,Cage,1,77-1-1,77,20,1,3575000,3575000,99.1367521367521,99.1367521367521,14,0,3544138,3.575,3.544138,0.030862
2,Control,Cage,1,77-1-2,77,20,2,2925000,2925000,93.9600358113647,93.9600358113647,14,0,2748331,2.925,2.748331,0.176669
3,Control,Cage,1,77-1-3,77,20,3,2900000,2900000,93.3635651629073,93.3635651629073,14,0,2707543,2.9,2.707543,0.192457
4,Control,Cage,1,77-1-4,77,20,4,1012500,1012500,95.4214202677118,95.4214202677118,14,0,966141,1.0125,0.966141,0.046359
5,Control,Cage,1,77-1-5,77,20,5,1600000,1600000,94.6368791994235,94.6368791994235,14,0,1514190,1.6,1.51419,0.08581
6,Control,Cage,1,77-1-6,77,20,6,3900000,3900000,95.8969476248909,95.8969476248909,14,0,3739980,3.9,3.73998,0.16002
7,Control,Cage,1,77-1-7,77,20,7,937500,937500,99.3381527123421,99.3381527123421,14,0,931295,0.9375,0.931295,0.006205
8,Control,Cage,1,77-1-8,77,20,8,4037500,4037500,97.0712056970515,97.0712056970515,14,0,3919249,4.0375,3.919249,0.118251
9,Control,Cage,1,77-1-9,77,20,9,1487500,1487500,75.3854905188791,75.3854905188791,14,0,1121359,1.4875,1.121359,0.366141
10,Control,Cage,1,77-2-1,77,21,1,1737500,1737500,94.7614218403692,94.7614218403692,14,0,1646479,1.7375,1.646479,0.091021
11,Control,Cage,1,77-2-2,77,21,2,3212500,3212500,99.0450658816933,99.0450658816933,14,0,3181822,3.2125,3.181822,0.030678
12,Control,Cage,1,77-2-3,77,21,3,2287500,2287500,95.8885240609407,95.8885240609407,14,0,2193449,2.2875,2.193449,0.094051
13,Control,Cage,1,77-2-4,77,21,4,4312500,4312500,98.264714204867,98.264714204867,14,0,4237665,4.3125,4.237665,0.074835
14,Control,Cage,1,77-2-5,77,21,5,2087500,2087500,99.5522388059701,99.5522388059701,14,0,2078152,2.0875,2.078152,0.009348
15,Control,Cage,1,77-2-6,77,21,6,737500,737500,99.2513368983957,99.2513368983957,14,0,731978,0.7375,0.731978,0.005522
42,Control,Cage,1,77-3-5,77,22,5,2850000,2850000,79.53735548,79.53735548,14,0,2266814,2.85,2.266814,0.583186
91,Control,Cage,1,C77-3-1,77,22,1,2987500,2987500,93.2874208336941,93.2874208336941,14,0,2786961,2.9875,2.786961,0.200539
52,Control,Cage,1,C77-3-10,77,22,10,850000,850000,76.1494591090057,76.1494591090057,14,0,647270,0.85,0.64727,0.20273
180,Control,Cage,1,C77-3-2,77,22,2,4262500,4262500,88.53378146,88.53378146,14,0,3773752,4.2625,3.773752,0.488748
181,Control,Cage,1,C77-3-3,77,22,3,2187500,2187500,89.70654852,89.70654852,14,0,1962330,2.1875,1.96233,0.22517
182,Control,Cage,1,C77-3-4,77,22,4,3050000,3050000,95.41407625,95.41407625,14,0,2910129,3.05,2.910129,0.139871
183,Control,Cage,1,C77-3-6,77,22,6,2087500,2087500,98.64723637,98.64723637,14,0,2059261,2.0875,2.059261,0.028239
184,Control,Cage,1,C77-3-7,77,22,7,2062500,2062500,100,100,14,0,2062500,2.0625,2.0625,0
90,Control,Cage,1,C77-3-8,77,22,8,1437500,1437500,79.5373554799784,79.5373554799784,14,0,1143349,1.4375,1.143349,0.294151
58,Control,Cage,1,C77-3-9,77,22,9,300000,300000,98.6472363704961,98.6472363704961,14,0,295941,0.3,0.295941,0.004059
258,Control,Cage,1,C80-1-1,80,23,1,687500,687500,92.59090909,92.59090909,14,0,636562,0.6875,0.636562,0.050938
105,Control,Cage,1,C80-1-2,80,23,2,1337500,1337500,NO SPERM,,14,0,0,1.3375,0,1.3375
107,Control,Cage,1,C80-1-4,80,23,4,0,0,No Sperm,,14,1,0,0,0,0
257,Control,Cage,1,C80-1-5,80,23,5,50000,50000,NO SPERM,,14,0,0,0.05,0,0.05
220,Control,Cage,1,C80-1-6,80,23,6,6340000,6340000,96.411837266676,96.411837266676,14,0,6112510,6.34,6.11251,0.22749
221,Control,Cage,1,C80-1-7,80,23,7,3920000,3920000,96.9592550235536,96.9592550235536,14,0,3800802,3.92,3.800802,0.119198
222,Control,Cage,1,C80-1-8,80,23,8,3420000,3420000,81.403220240878,81.403220240878,14,0,2783990,3.42,2.78399,0.63601
223,Control,Cage,1,C80-1-9,80,23,9,1500000,1500000,55.997149465823,55.997149465823,14,0,839957,1.5,0.839957,0.660043
218,Control,Cage,1,C80-2-1,80,24,1,4860000,4860000,90.2362153123023,90.2362153123023,14,0,4385480,4.86,4.38548,0.47452
86,Control,Cage,1,C80-2-10,80,24,10,3212500,3212500,90.6450318327302,90.6450318327302,14,0,2911971,3.2125,2.911971,0.300529
200,Control,Cage,1,C80-2-2,80,24,2,162500,162500,79.5,79.5,14,0,129187,0.1625,0.129187,0.033313
201,Control,Cage,1,C80-2-3,80,24,3,0,0,No Sperm,,14,1,0,0,0,0
202,Control,Cage,1,C80-2-4,80,24,4,3125000,3125000,94.3878045434769,94.3878045434769,14,0,2949618,3.125,2.949618,0.175382
219,Control,Cage,1,C80-2-5,80,24,5,3240000,3240000,84.6659612601236,84.6659612601236,14,0,2743177,3.24,2.743177,0.496823
