band,species,blength,bdepth
21294,fortis,10.5,9.8
21296,fortis,9.6,8.7
21298,fortis,10.6,9
21299,fortis,10.4,7.8
21341,fortis,10.5,8.5
21343,fortis,10.1,8.2
21349,fortis,10.6,9.2
22000,fortis,10.6,9
19026,scandens,14.3,9.4
19028,scandens,12.5,8.9
19029,scandens,13.7,9.5
19094,scandens,13.8,11
19122,scandens,12,8.7
19125,scandens,13,8.4
19129,scandens,13,9.1
19172,scandens,13.6,8.7
19182,scandens,12.8,10.2
19212,scandens,13.6,9.6
19214,scandens,12.95,8.85
19244,scandens,13.1,8.8
19251,scandens,13.4,9.5
19260,scandens,13.9,9.2
19270,scandens,12.3,9
19278,scandens,14,9.8
19289,scandens,12.5,9.3
19299,scandens,12.3,9
19312,scandens,13.9,10.2
19326,scandens,13.1,7.7
19343,scandens,12.5,9
19374,scandens,13.9,9.5
19401,scandens,13.7,9.4
19406,scandens,12,8
19408,scandens,14.4,8.9
19426,scandens,13.5,9.4
19430,scandens,13.8,9.5
19433,scandens,13,8
19438,scandens,14.9,10
19452,scandens,12.5,8.95
19466,scandens,12.3,8.2
19469,scandens,12.8,8.8
19486,scandens,13.4,9.2
19492,scandens,13.8,9.4
19493,scandens,13.5,9.5
19494,scandens,13.5,8.1
19495,scandens,13.4,9.5
19496,scandens,12.3,8.4
19497,scandens,14.35,9.3
19510,scandens,13.2,9.3
19513,scandens,13.8,9.6
19518,scandens,14.6,9.2
19526,scandens,14.3,10
19527,scandens,13.8,8.9
19528,scandens,13.6,10.5
19543,scandens,12.9,8.9
19553,scandens,13,8.6
19554,scandens,13.5,8.8
19573,scandens,13.2,9.15
19592,scandens,13.7,9.5
19594,scandens,13.1,9.1
19597,scandens,13.2,10.2
19598,scandens,12.6,8.4
19599,scandens,13,10
19619,scandens,13.9,10.2
19622,scandens,13.2,9.3
19652,scandens,15,10.8
19653,scandens,13.37,8.3
19664,scandens,11.4,7.8
19692,scandens,13.8,9.8
19720,scandens,13,7.9
19740,scandens,13,8.9
19747,scandens,13.1,7.7
19766,scandens,12.8,8.9
19783,scandens,13.3,9.4
19844,scandens,13.5,9.4
19848,scandens,12.4,8.5
19852,scandens,13.1,8.5
19854,scandens,14,9.6
19855,scandens,13.5,10.2
19868,scandens,11.8,8.8
19882,scandens,13.7,9.5
19900,scandens,13.2,9.3
19910,scandens,12.2,9
19936,scandens,13,9.2
19940,scandens,13.1,8.7
19941,scandens,14.7,9
19951,scandens,13.7,9.1
19955,scandens,13.5,8.7
19956,scandens,13.3,9.4
21040,scandens,14.1,9.8
21041,scandens,12.5,8.6
21045,scandens,13.7,10.6
21047,scandens,14.6,9
21053,scandens,14.1,9.5
21057,scandens,12.9,8.1
21070,scandens,13.9,9.3
21081,scandens,13.4,9.6
21092,scandens,13,8.5
21093,scandens,12.7,8.2
21106,scandens,12.1,8
21109,scandens,14,9.5
21111,scandens,14.9,9.7
21113,scandens,13.9,9.9
21131,scandens,12.9,9.1
21135,scandens,14.6,9.5
21136,scandens,14,9.8
21159,scandens,13,8.4
21167,scandens,12.7,8.3
21176,scandens,14,9.6
21248,scandens,14.1,9.4
21253,scandens,14.1,10
21255,scandens,13,8.9
21256,scandens,13.5,9.1
21257,scandens,13.4,9.8
21260,scandens,13.9,9.3
21263,scandens,13.1,9.9
21267,scandens,12.9,8.9
21268,scandens,14,8.5
21270,scandens,14,10.6
21271,scandens,14.1,9.3
21278,scandens,14.7,8.9
21279,scandens,13.4,8.9
21280,scandens,13.8,9.7
21281,scandens,13.4,9.8
21285,scandens,13.8,10.5
21286,scandens,12.4,8.4
21288,scandens,14.1,10
21289,scandens,12.9,9
21290,scandens,13.9,8.7
21291,scandens,14.3,8.8
21292,scandens,13.2,8.4
21295,scandens,14.2,9.3
21297,scandens,13,9.8
21340,scandens,14.6,8.9
21342,scandens,13.1,9.8
21347,scandens,15.2,9.1
