date,game_number,winning_team,losing_team,winning_pitcher
20060906,188717,FLO,ARI,Anibal Sanchez
20070418,189296,CHA,TEX,Mark Buehrle
20070612,190042,DET,MIL,Justin Verlander
20070901,191118,BOS,BAL,Clay Buchholz
20080519,192222,BOS,KCA,Jon Lester
20080914,193772,CHN,HOU,Carlos Zambrano
20090710,195293,SFN,SDN,Jonathan Sanchez
20090723,195432,CHA,TBA,Mark Buehrle
20100417,196635,COL,ATL,Ubaldo Jimenez
20100509,196932,OAK,TBA,Dallas Braden
20100529,197210,PHI,FLO,Roy Halladay
20100625,197562,ARI,TBA,Edwin Jackson
20100726,197954,TBA,DET,Matt Garza
20101006,198905,PHI,CIN,Roy Halladay
20110503,199365,MIN,CHA,Francisco Liriano
20110507,199428,DET,TOR,Justin Verlander
20110727,200485,ANA,CLE,Ervin Santana
20120421,201614,CHA,SEA,Philip Humber
20120502,201754,ANA,MIN,Jered Weaver
20120601,202175,NYN,SLN,Johan Santana
20120608,202263,SEA,LAN,Stephen Pryor
20120613,202335,SFN,HOU,Matt Cain
20120815,203150,SEA,TBA,Felix Hernandez
20120928,203754,CIN,PIT,Homer Bailey
20130702,205104,CIN,SFN,Homer Bailey
20130713,205267,SFN,SDN,Tim Lincecum
20130929,206295,MIA,DET,Henderson Alvarez
20140525,207079,LAN,PHI,Josh Beckett
20140618,207406,LAN,COL,Clayton Kershaw
20140625,207508,SFN,SDN,Tim Lincecum
20140901,208385,PHI,ATL,Cole Hamels
20140928,208767,WAS,MIA,Jordan Zimmermann
20150609,209673,SFN,NYN,Chris Heston
20150620,209830,WAS,PIT,Max Scherzer
20150725,210250,PHI,CHN,Cole Hamels
20150812,210490,SEA,BAL,Hisashi Iwakuma
20150821,210610,HOU,LAN,Michael Fiers
20150830,210740,CHN,LAN,Jake Arrieta
20151003,211208,WAS,NYN,Max Scherzer
