Country ,Continent,female literacy,fertility,population
Azerbaïdjan,ASI,99.2,2.153,"8,680,100"
Bénin,AF,28.1,5.378,"8,662,086"
Burundi,AF,59.9,4.45,"8,074,254"
Switzerland,EUR,99,1.46,"7,647,675"
Bulgarie,EUR,97.9,1.436,"7,623,395"
Serbie,EUR,96.2,1.612,"7,350,221"
Honduras,LAT,83.5,3.19,"7,318,789"
Israel,ASI,95.9,2.752,"7,308,800"
Tadjikistan,ASI,99.5,3.35,"6,836,083"
Papouasie-Nouvelle-Guinée,OCE,55.6,4.01,"6,576,822"
Togo,AF,53.7,4.166,"6,458,605"
Jamahiriya arabe libyenne,AF,81.3,2.642,"6,294,181"
Paraguay,LAT,93.5,2.977,"6,237,855"
Rép. démocratique populaire lao,ASI,63.2,3.415,"6,205,341"
El Salvador,LAT,81.4,2.295,"6,133,910"
Jordanie,ASI,88.9,3.019,"5,906,043"
Nicaragua,LAT,77.9,2.683,"5,667,325"
Sierra Leone,AF,28.9,5.165,"5,559,853"
Denmark,EUR,99,1.849,"5,493,621"
Finland,EUR,100,1.836,"5,313,399"
Kirghizistan,ASI,99.1,2.518,"5,277,900"
Turkménistan,ASI,99.3,2.43,"5,043,618"
Erythrée,AF,54.5,4.528,"4,926,877"
Singapour,ASI,91.6,1.263,"4,839,400"
Norway,EUR,100,1.885,"4,768,212"
Costa Rica,LAT,96.2,1.943,"4,519,126"
Emirats arabes unis,ASI,91.5,1.899,"4,484,935"
Croatie,EUR,98,1.442,"4,434,000"
Ireland,EUR,99,1.953,"4,425,675"
République centrafricaine,AF,41.1,4.697,"4,339,263"
Géorgie,ASI,99.7,1.582,"4,307,011"
New Zealand,OCE,99,2.025,"4,268,900"
Liban,ASI,86,1.841,"4,193,758"
Libéria,AF,53,5.011,"3,793,400"
Bosnie-Herzégovine,EUR,95.9,1.212,"3,773,100"
République de Moldova,EUR,97.8,1.502,"3,633,369"
Panama,LAT,92.8,2.516,"3,398,823"
Lituanie,EUR,99.7,1.367,"3,358,115"
Uruguay,LAT,98.5,2.089,"3,334,052"
Mauritanie,AF,49.5,4.388,"3,215,043"
Albanie,EUR,98.7,1.854,"3,143,291"
Arménie,ASI,99.4,1.748,"3,077,087"
Oman,ASI,80.9,2.978,"2,785,361"
Koweït,ASI,93.1,2.152,"2,728,041"
Jamaïque,LAT,90.8,2.362,"2,687,200"
Mongolie,ASI,97.8,1.988,"2,641,216"
Lettonie,EUR,99.8,1.426,"2,266,094"
Namibie,AF,87.7,3.29,"2,129,854"
Lesotho,AF,95.1,3.264,"2,049,429"
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1.436,"2,041,342"
Slovénie,EUR,99.7,1.393,"2,021,316"
Botswana,AF,83.5,2.822,"1,921,122"
Gambie,AF,34.3,4.969,"1,660,200"
Guinée-Bissau,AF,36.5,5.659,"1,575,446"
Gabon,AF,83.2,3.24,"1,448,159"
Estonie,EUR,99.8,1.693,"1,340,675"
Trinité-et-Tobago,LAT,98.2,1.647,"1,333,388"
Qatar,ASI,90.4,2.36,"1,280,862"
Maurice,AF,84.8,1.792,"1,268,854"
Swaziland,AF,85.6,3.45,"1,167,834"
Chypre,EUR,96.7,1.516,"862,434"
Bahreïn,ASI,89.4,2.233,"775,585"
Bhoutan,ASI,38.7,2.563,"686,789"
Guinée équatoriale,AF,89.1,5.283,"659,197"
Comores,AF,67.8,3.885,"643,571"
"Macao, Chine",ASI,90.7,0.966,"526,178"
Suriname,LAT,88.4,2.373,"515,124"
Cap-Vert,AF,79.3,2.663,"498,672"
Malte,EUR,93.5,1.251,"411,950"
Brunéi Darussalam,ASI,93.3,2.052,"392,280"
Bahamas,LAT,96.5,3.371,"337,668"
Iceland,EUR,99,2.093,"317,414"
Maldives,ASI,98.4,2,"305,027"
Vanuatu,OCE,79.5,3.883,"233,866"
Samoa,OCE,98.5,3.852,"178,869"
Sao Tomé-et-Principe,AF,83.3,3.718,"160,174"
Aruba,LAT,98,1.732,"105,455"
Tonga,ASI,99.1,3.928,"103,566"
